1,製品,,
2,文書,,
3,フェーズ1,1,
4,フェーズ2,1,
5,フェーズ3,1,
6,フェーズ4,1,
7,フェーズ5,1,
8,PPAP,1,
9,8.3製品の設計・開発,1,
10,文書計画,2,
11,プロセス管理図,2,
12,規定,2,
13,プロセスフロー図,2,
14,手順書,2,
15,新規見直し記録,2,
16,営業部,2,
17,管理部,2,
18,生産技術課,2,
19,設計課,2,
20,プレス,2,
21,表面処理,2,
22,品質保証部,2,
23,金型課,2,
24,内部監査,2,
25,購買先管理,2,
26,顧客固有要求事項/外部文書,2,
27,材料仕様書,2,
28,顧客満足/SPR,2,
29,スキルマップ,2,
30,顧客インプット,1/3,フェーズ1
31,顧客の声,1/3,フェーズ1
32, 設計目標,1/3,フェーズ1
33, 製品保証計画書,1/3,フェーズ1
34, 製品・製造工程の前提条件,1/3,フェーズ1
35,製品・製造工程のベンチマークデータ,1/3,フェーズ1
36,製品の信頼性調査,1/3,フェーズ1
37,経営者の支援,1/3,フェーズ1
38,特殊製品特性・特殊プロセス特性の暫定リスト,1/3,フェーズ1
39, 暫定材料明細表,1/3,フェーズ1
40,暫定プロセスマップフロー図,1/3,フェーズ1
41,信頼性目標・品質目標,1/3,フェーズ1
42,事業計画・マーケティング戦略,1/3,フェーズ1
43,試作コントロールプラン,1/4,フェーズ2
44,設計検証,1/4,フェーズ2
45,設計故障モード影響解析（DFMEA）,1/4,フェーズ2
46,製造性・組立性を考慮した設計,1/4,フェーズ2
47,特殊製品特性・特殊プロセス特性,1/4,フェーズ2
48,材料仕様書,1/4,フェーズ2
49,技術仕様書,1/4,フェーズ2
50, 実現可能性検討報告書および経営者の支援,1/4,フェーズ2
51,図面（数学的データを含む）,1/4,フェーズ2
52,図面・仕様書の変更,1/4,フェーズ2
53,デザインレビュー,1/4,フェーズ2
54,ゲージ・試験装置の要求事項,1/4,フェーズ2
55,製品・プロセスの品質システムのレビュー,1/5,フェーズ3
56,経営者の支援(Phase3),1/5,フェーズ3
57,特性マトリクス,1/5,フェーズ3
58,測定システム解析計画書,1/5,フェーズ3
59,梱包規格・仕様書,1/5,フェーズ3
60,工程能力予備調査計画書,1/5,フェーズ3
61,"先行生産（Pre-launch,量産試作）コントロールプラン",1/5,フェーズ3
62,プロセス故障モード影響解析（PFMEA）,1/5,フェーズ3
63,プロセス指示書,1/5,フェーズ3
64,プロセスフロー図(Phase3),1/5,フェーズ3
65,フロアプランレイアウト,1/5,フェーズ3
66,量産コントロールプラン,1/6,フェーズ4
67,量産の妥当性確認試験,1/6,フェーズ4
68,生産部品承認(PPAP),1/6,フェーズ4
69,測定システム解析,1/6,フェーズ4
70,梱包評価,1/6,フェーズ4
71,工程能力予備調査,1/6,フェーズ4
72,実質的生産,1/6,フェーズ4
73,品質計画承認署名,1/6,フェーズ4
74,顧客満足の向上,1/7,フェーズ5
75,引渡しおよびサービスの改善,1/7,フェーズ5
76,学んだ教訓・ベストプラクティスの効果的な利用,1/7,フェーズ5
77,変動の減少,1/7,フェーズ5
78,顧客技術承認,1/8,PPAP
79,顧客固有要求事項適合記録,1/8,PPAP
80,部品提出保証書（PSW),1/8,PPAP
81,設計FMEA,1/8,PPAP
82,製品設計文書,1/8,PPAP
83,製品サンプル,1/8,PPAP
84,測定システム解析（MSA),1/8,PPAP
85,検査補助具,1/8,PPAP
86,材料・性能試験結果,1/8,PPAP
87,有資格試験所文書,1/8,PPAP
