8.4.2.1,30,-,組織は、アウトソースしたプロセスを特定するために何を持たなければならないか？,選択肢a：アウトソースしたプロセスのリスト,選択肢b：アウトソースしたプロセスに対する内部及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するための文書化されたプロセス,選択肢c：アウトソースしたプロセスに関するリスク評価及び管理計画,b,要求事項の適合した例：組織は、購買部門と品質部門が協力して、外部から提供される製品やサービスに対する管理の方式及び程度を決める文書化された手順を作成し、アウトソースしたプロセスを特定し、そのパフォーマンスを監視している。適合していない例：組織は、アウトソースしたプロセスについて、文書化された基準や手順を持たず、管理の方式や程度も一律に決めている。箇条要求事項の概要詳細解説：この要求事項は、外部から提供される製品やサービスに対する管理の方式及び程度を選定するための文書化されたプロセスを持つことを求めている。このプロセスは、アウトソースしたプロセスを特定し、内部及び外部顧客の要求事項への適合を検証する方法を決めることを目的としている。
8.4.2.1,31,-,組織は、管理及び開発活動の方式及び程度の増大又は減少を行うための基準及び処置を含める必要があるが、その基準及び処置は何に基づいて決められなければならないか？,選択肢a：供給者のパフォーマンス及び製品、材料又はサービスのリスク評価,選択肢b：供給者の品質マネジメントシステム及び認証状況,選択肢c：供給者との契約条件や納期,a,要求事項の適合した例：組織は、供給者から提供される製品やサービスについて、不具合発生率や影響度などのパフォーマンス指標やリスク評価に基づいて、第二者監査や受入検査などの管理及び開発活動の方式及び程度を増大又は減少させる基準及び処置を定めている。適合していない例：組織は、供給者から提供される製品やサービスについて、管理及び開発活動の方式及び程度を増大又は減少させる基準及び処置を持っておらず、場当たり的に対応している。箇条要求事項の概要詳細解説：この要求事項は、管理及び開発活動の方式及び程度を増大又は減少させるための基準及び処置を含めることを求めている。この基準及び処置は、供給者のパフォーマンス及び製品、材料又はサービスのリスク評価に基づいて決められなければならない。
8.4.2.1,32,-,特性又はコンポーネントが組織の品質マネジメントシステムを妥当性確認又は管理なしでパススルーする場合とはどういう場合か？,選択肢a：自社で設計した製品を外部工場に委託し生産し，製品を自社経由なしで顧客に納品する場合,選択肢b：自社で設計・生産した製品に外部から提供された部品や材料が含まれており，その部品や材料について自社で検査や確認が行われていない場合,選択肢c：自社で設計・生産した製品が顧客から返却され，その製品について自社で再検査や再加工が行われていない場合,a,要求事項の適合した例：組織は，自社で設計した金型設計図面を外部工場に委託し，金型加工・金型組立・射出成型試作・射出成型量産まで一貫して行わせ，製品を自社経由なしで顧客に納品する場合，協力工場が製造段階で適切な管理が行われることを確実にするため，協力工場へ定期的に第二者監査（サプライヤ監査）を実施している。適合していない例：組織は，自社で設計した金型設計図面を外部工場に委託し，金型加工・金型組立・射出成型試作・射出成型量産まで一貫して行わせ，製品を自社経由なしで顧客に納品する場合，協力工場がどのような管理を行っているか確認せず，第二者監査（サプライヤ監査）も実施していない。箇条要求事項の概要詳細解説：この要求事項は，特性又はコンポーネントが組織の品質マネジメントシステムを妥当性確認又は管理なしでパススルーする場合，組織は
8.4.2.1,33,-,組織は、製造の時点で適切な管理が行われることを確実にするために何を行わなければならないか？,選択肢a：協力工場に対して品質マネジメントシステムの認証取得を要求する,選択肢b：協力工場に対して自社の品質マネジメントシステムの要求事項を遵守することを要求する,選択肢c：協力工場に対して自社の品質マネジメントシステムの要求事項に関連する部分を遵守することを要求し，その実施状況を監視する,c,要求事項の適合した例：組織は，自社で設計したプレス製品を外部工場に委託し，プレス加工・プレス部品脱脂処理・塗装まで一貫して行わせ，製品を自社経由なしで顧客に納品する場合，協力工場に対して自社の品質マネジメントシステムの要求事項に関連する部分（例えば，プレス加工能力試験や脱脂処理能力試験など）を遵守することを契約書や仕様書で明示し，その実施状況を定期的に監視している。適合していない例：組織は，自社で設計したプレス製品を外部工場に委託し，プレス加工・プレス部品脱脂処理・塗装まで一貫して行わせ，製品を自社経由なしで顧客に納品する場合，協力工場がどのような管理を行っているか確認せず，契約書や仕様書にも自社の品質マネジメントシステムの要求事項に関連する部分を明示していない。箇条要求事項の概要詳細解説：この要求事項は，特性又はコンポーネントが組織の品質マネジメントシステムを妥当性確認又は管理なしでパススルーする場合，組織は製造の時点で適切な管理が行われることを確実にしなければならないということを求めている。このために，組織は協力工場に対して自社の品質マネジメントシステムの要求事項に関連する部分を遵守することを要求し，その実施状況を監視しなければならない。
8.4.2.1,34,-,組織は、外部から供給される製品、プロセス及びサービスに対し、内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するために何を持たなければならないか？,選択肢a：外部から供給される製品、プロセス及びサービスのリスト,選択肢b：外部から供給される製品、プロセス及びサービスに関するリスク評価及び管理計画,選択肢c：外部から供給される製品、プロセス及びサービスに対する内部（組織）及び外部顧客の要求事項,c,要求事項の適合した例：組織は，自社で設計・生産した自動機に外部から提供される電気制御盤やソフトウェアが含まれており，その電気制御盤やソフトウェアに対して自社で検査や確認が行われていない場合，電気制御盤やソフトウェアに対する内部（組織）及び外部顧客（自動機のエンドユーザー）の要求事項を明確にし，それらに対する管理の方式及び程度を決める文書化されたプロセスを持っている。適合していない例：組織は，自社で設計・生産した自動機に外部から提供される電気制御盤やソフトウェアが含まれており，その電気制御盤やソフトウェアに対して自社で検査や確認が行われていない場合，電気制御盤やソフトウェアに対する内部（組織）及び外部顧客（自動機のエンドユーザー）の要求事項を明確にせず，管理の方式及び程度も一律に決めている。箇条要求事項の概要詳細解説：この要求事項は，外部から供給される製品，プロセス及びサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するために文書化されたプロセスを持つことを求めている。このプロセスは，外部から供給される製品，プロセス及びサービスに対する内部（組織）及び外部顧客の要求事項を明確にし，それらに対する管理の方式及び程度を決めることを目的としている。
8.4.2.1,35,-,管理の方式及び程度を拡大する又は縮小する判断基準及び処置は、どこで定義しなければならないか？,選択肢a：品質マネジメントシステムマニュアル,選択肢b：購買手順書,選択肢c：文書化されたプロセス,c,要求事項の適合した例：組織は，管理の方式及び程度を拡大する又は縮小する判断基準及び処置を，外部から供給される製品，プロセス及びサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するための文書化されたプロセスで定義している。適合していない例：組織は，管理の方式及び程度を拡大する又は縮小する判断基準及び処置を，品質マネジメントシステムマニュアルや購買手順書などで定義しておらず，文書化されたプロセスも持っていない。箇条要求事項の概要詳細解説：この要求事項は，管理の方式及び程度を拡大する又は縮小する判断基準及び処置を含めることを求めている。この判断基準及び処置は，外部から供給される製品，プロセス及びサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するための文書化されたプロセスで定義しなければならない。
8.4.2.1,36,-,管理の方式及び程度を拡大する又は縮小する判断基準及び処置には、何を含めなければならないか？,選択肢a：供給者のパフォーマンス及び製品、材料又はサービスのリスク評価に基づく開発活動,選択肢b：供給者の品質マネジメントシステム及び認証状況に基づく開発活動,選択肢c：供給者との契約条件や納期に基づく開発活動,a,要求事項の適合した例：組織は，管理の方式及び程度を拡大する又は縮小する判断基準及び処置に，供給者のパフォーマンス及び製品、材料又はサービスのリスク評価に基づく開発活動（例えば，供給者に対する技術支援や教育など）を含めている。適合していない例：組織は，管理の方式及び程度を拡大する又は縮小する判断基準及び処置に，供給者のパフォーマンス及び製品、材料又はサービスのリスク評価に基づく開発活動を含めておらず，管理の方式及び程度の変更が供給者の品質向上につながっていない。箇条要求事項の概要詳細解説：この要求事項は，管理の方式及び程度を拡大する又は縮小する判断基準及び処置に，供給者のパフォーマンス及び製品、材料又はサービスのリスク評価に基づく開発活動を含めることを求めている。この開発活動は，供給者の品質能力を向上させるために行われるものである。
8.4.2.1,37,-,外部から供給される製品、プロセス及びサービスに対し、内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度として、どれが適切ではないか？,選択肢a：第二者監査（サプライヤ監査）,選択肢b：自己診断（セルフオーディット）,選択肢c：第三者監査（IATF16949認証監査）,c,要求事項の適合した例：組織は，外部から提供される製品やサービスに対して，第二者監査（サプライヤ監査）や自己診断（セルフオーディット）などの管理の方式及び程度を用いて，内部（組織）及び外部顧客（エンドユーザー）の要求事項への適合を検証している。適合していない例：組織は，外部から提供される製品やサービスに対して，第三者監査（IATF16949認証監査）以外の管理の方式及び程度を用いていない。第三者監査（IATF16949認証監査）は，IATF16949要求事項に対する適合性を検証するものであり，内部（組織）及び外部顧客（エンドユーザー）の要求事項に対する適合性を検証するものではない。箇条要求事項の概要詳細解説：この要求事項は，外部から供給される製品，プロセス及びサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定することを求めている。この管理の方式及び程度として，第二者監査（サプライヤ監査）や自己診断（セルフオーディット）などが考えられるが，第三者監査（IATF16949認証監査）は適切ではない。
8.4.2.1,38,-,組織は、外部から供給される製品、プロセス及びサービスに対する管理の方式及び程度を選定するために何を行わなければならないか？,選択肢a：外部から供給される製品、プロセス及びサービスを特定する,選択肢b：外部から供給される製品、プロセス及びサービスに関するリスク評価及び管理計画を作成する,選択肢c：外部から供給される製品、プロセス及びサービスに対する内部（組織）及び外部顧客の要求事項を明確にする,a,要求事項の適合した例：組織は，自社で設計・生産した自動機に外部から提供される電気制御盤やソフトウェアが含まれていることを特定し，それらに対する管理の方式及び程度を選定するための文書化されたプロセスを持っている。適合していない例：組織は，自社で設計・生産した自動機に外部から提供される電気制御盤やソフトウェアが含まれていることを特定せず，それらに対する管理の方式及び程度も決めていない。箇条要求事項の概要詳細解説：この要求事項は，外部から供給される製品，プロセス及びサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するために文書化されたプロセスを持つことを求めている。このプロセスは，外部から供給される製品，プロセス及びサービスを特定することが必要である。
8.4.2.1,39,-,外部から供給される製品、プロセス及びサービスに対し、内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度として、どれが適切であるか？,選択肢a：第一者監査（内部監査）,選択肢b：受入検査,選択肢c：供給者の統計データ受領,b,要求事項の適合した例：組織は，外部から提供される製品やサービスに対して，受入検査などの管理の方式及び程度を用いて，内部（組織）及び外部顧客（エンドユーザー）の要求事項への適合を検証している。適合していない例：組織は，外部から提供される製品やサービスに対して，第一者監査（内部監査）や供給者の統計データ受領などの管理の方式及び程度を用いている。第一者監査（内部監査）は，自社の品質マネジメントシステムに対する適合性を検証するものであり，外部から提供される製品やサービスに対するものではない。供給者の統計データ受領は，供給者が行った検査や確認の結果を示すものであり，自社で行った検査や確認ではない。箇条要求事項の概要詳細解説：この要求事項は，外部から供給される製品，プロセス及びサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定することを求めている。この管理の方式及び程度として，受入検査などが考えられるが，第一者監査（内部監査）や供給者の統計データ受領は適切ではない。
8.4.2.1,40,-,組織は、外部から供給される製品、プロセス及びサービスに対する管理の方式及び程度を選定するために何を文書化しなければならないか？,選択肢a：外部から供給される製品、プロセス及びサービスのリスト,選択肢b：外部から供給される製品、プロセス及びサービスに対する内部（組織）及び外部顧客の要求事項,選択肢c：外部から供給される製品、プロセス及びサービスに対し、内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するためのプロセス,c,要求事項の適合した例：組織は，外部から供給される製品やサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するためのプロセスを文書化している。このプロセスでは，外部から供給される製品やサービスを特定し，それらに対する内部（組織）及び外部顧客の要求事項を明確にし，それらに対する管理の方式及び程度を決める方法が記載されている。適合していない例：組織は，外部から供給される製品やサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するためのプロセスを文書化していない。文書化されているのは，外部から供給される製品やサービスのリストや，それらに対する内部（組織）及び外部顧客の要求事項だけである。箇条要求事項の概要詳細解説：この要求事項は，外部から供給される製品，プロセス及びサービスに対し，内部（組織）及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定するために文書化されたプロセスを持つことを求めている。このプロセスは，外部から供給される製品，プロセス及びサービスを特定し，それらに対する内部（組織）及び外部顧客の要求事項を明確にし，それらに対する管理の方式及び程度を決める方法が記載されていなければならない。
