10.3.1,30,-,継続的改善の文書化したプロセスに含めるべき内容として正しいものはどれか。,選択肢a：使用される方法論、目標、評価指標、有効性及び文書化した情報の明確化,選択肢b：使用される方法論、目標、評価指標、有効性及び文書化した情報の明確化と工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画,選択肢c：使用される方法論、目標、評価指標、有効性及び文書化した情報の明確化と工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画とリスク分析（FMEAのような）,c,要求事項の適合した例：QRQC活動システムを継続的改善プロセスとして文書化し、その中で方法論（QRQC）、目標（不良率や顧客満足度など）、評価指標（KPIなど）、有効性（改善効果や再発防止など）と文書化した情報（手順書や記録など）を明確にする。また、工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画を策定し、SPCやTPMなどを用いて実施する。さらに、FMEAを定期的に見直しリスク分析を行う。適合していない例：継続的改善プロセスが文書化されておらず、各部門がバラバラに改善活動を行っている。方法論や目標などが不明確で評価指標や有効性も測定されていない。工程ばらつきや無駄に対する改善計画がなく、FMEAも更新されていない。箇条要求事項の概要詳細解説：この要求事項は、継続的改善の文書化したプロセスを持ち、その中に使用される方法論、目標、評価指標、有効性及び文書化した情報の明確化と工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画とリスク分析（FMEAのような）を含めることを求めている。これは、品質マネジメントシステムの適切性及び妥当性を必要に応じて改善するためのプロセスである。
10.3.1,31,-,継続的改善プロセスにおいて、製造工程が統計的に能力を持ち安定しているかどうかを判断するために使用するべき手法はどれか。,選択肢a：FMEA,選択肢b：SPC,選択肢c：TPM,b,要求事項の適合した例：コントロールプランで決定した頻度により、製品特性や工程パラメータ【設備等の条件値（温度、圧力、速度、電力量等）】を測定し、SPC（統計的工程管理手法）で監視する。工程能力指数や管理図などを用いて、工程が安定しているかどうかを判断する。適合していない例：製品特性や工程パラメータの測定を行わず、目視や経験に頼って工程の状態を判断する。SPCを使用せず、工程能力指数や管理図なども作成しない。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、製造工程が統計的に能力を持ち安定していることが前提であることを示している。そのためには、製品特性や工程パラメータを測定し、SPCなどの統計的手法で監視することが必要である。FMEAやTPMはリスク分析や無駄削減などの改善活動に有効な手法であるが、工程の安定性を判断する手法ではない。
10.3.1,32,-,継続的改善プロセスにおけるリスク分析（FMEAのような）の目的は何か。,選択肢a：不適合や是正処置からの品質改善を行うこと,選択肢b：不良率や顧客満足度などの評価指標を設定すること,選択肢c：不具合が発生する前に潜在的な問題点を予防すること,c,要求事項の適合した例：FMEA（製品・工程・設備）を定期的に見直し、リスク優先度数【RPN:危険度×発生率×検出率】や顧客固有要求事項などに基づいてリスク分析を行う。リスク分析の結果から改善活動の優先順位付けや対策立案・実施・効果確認を行う。適合していない例：FMEA（製品・工程・設備）を作成したまま放置し、見直しや更新を行わない。リスク分析を行わず、改善活動の優先順位付けや対策立案・実施・効果確認もしない。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、リスク分析（FMEAのような）を含めることを求めている。これは、不具合が発生する前に潜在的な問題点を予防するための手法である。FMEAは、製品・工程・設備の各段階でリスク優先度数や顧客固有要求事項などに基づいてリスク分析を行い、改善活動の優先順位付けや対策立案・実施・効果確認を行うことで品質向上に貢献する。FMEAは定期的に見直しや更新を行うことが必要である。
10.3.1,33,-,継続的改善プロセスにおいて、工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画を策定する際に参考にすべき文書はどれか。,選択肢a：コントロールプラン,選択肢b：品質マニュアル,選択肢c：顧客固有要求事項,a,要求事項の適合した例：コントロールプランを参考にして、製品特性や工程パラメータ【設備等の条件値（温度、圧力、速度、電力量等）】を特定し、そのばらつきや無駄を削減するための改善計画を策定する。例えば、プレス製造では【金属板を加圧して形状を変える工程】、射出成型では【溶けた樹脂を金型に注入して冷却する工程】などが対象となる。適合していない例：コントロールプランを参考にせずに、製品特性や工程パラメータを特定しないで改善計画を策定する。または、製品特性や工程パラメータと関係ない改善計画を策定する。例えば、品質マニュアルや顧客固有要求事項などの文書内容を改善計画として掲げるなどが該当する。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画を策定することを求めている。その際には、コントロールプランなどの文書を参考にして、製品特性や工程パラメータを特定し、そのばらつきや無駄を削減するための具体的な目標や手段を明確にすることが必要である。品質マニュアルや顧客固有要求事項などの文書は、品質マネジメントシステムの方針や要求事項を示すものであり、工程改善の参考にはならない。
10.3.1,34,-,継続的改善プロセスにおいて、使用される方法論、目標、評価指標、有効性及び文書化した情報を明確化することのメリットは何か。,選択肢a：改善活動の進捗状況や成果を可視化し、関係者へのフィードバックやコミュニケーションを促進すること,選択肢b：改善活動の優先順位付けや対策立案・実施・効果確認を行うこと,選択肢c：改善活動の計画・実行・評価・見直しをPDCAサイクルで回すこと,a,要求事項の適合した例：改善活動において、使用する方法論（例えばQCストーリー【問題解決のための手順】やQCサークル【小集団で改善活動を行う組織】など）、目標（例えば不良率や顧客満足度など）、評価指標（例えばKPI【重要業績評価指標】やQCD【品質・コスト・納期】など）、有効性（例えば改善効果や再発防止など）と文書化した情報（例えば手順書や記録など）を明確にすることで、改善活動の進捗状況や成果を可視化し、関係者へのフィードバックやコミュニケーションを促進することができる。適合していない例：改善活動において、使用する方法論や目標などが不明確で評価指標や有効性も測定されず、文書化した情報もない場合、改善活動の進捗状況や成果を可視化することができず、関係者へのフィードバックやコミュニケーションも行われない。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、使用される方法論、目標、評価指標、有効性及び文書化した情報を明確化することを求めている。これは、改善活動の進捗状況や成果を可視化し、関係者へのフィードバックやコミュニケーションを促進するための手段である。改善活動の優先順位付けや対策立案・実施・効果確認はリスク分析（FMEAのような）に関連する内容であり、改善活動の計画・実行・評価・見直しはPDCAサイクルに関連する内容である。これらは使用される方法論や目標などを明確化することのメリットではない。
10.3.1,35,-,継続的改善プロセスにおける製造工程の改善計画を実施する際に必要なことは何か。,選択肢a：改善計画に沿って工程能力や管理図などを用いて工程の状態を監視し、改善効果や再発防止を確認すること,選択肢b：改善計画に沿って品質マニュアルや顧客固有要求事項などを見直し、品質マネジメントシステムの方針や要求事項を満たすこと,選択肢c：改善計画に沿ってFMEAやTPMなどを用いてリスク分析や無駄削減などの改善活動を行うこと,a,要求事項の適合した例：工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画を策定し、その内容に沿って工程能力や管理図などを用いて工程の状態を監視する。改善効果や再発防止を確認し、必要に応じて改善計画や対策を見直す。例えば、金型設計では【金属板に穴を開けるための金型の形状や寸法などを決める工程】、金型加工では【金型設計図に基づいて金属板に穴を開けるための金型を加工する工程】などが対象となる。適合していない例：工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画を策定しても、その内容に沿って工程の状態を監視しない。改善効果や再発防止も確認せず、改善計画や対策も見直さない。または、品質マニュアルや顧客固有要求事項などの文書内容を改善計画として実施するなどが該当する。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、工程ばらつき及び無駄の削減に重点を置いた製造工程の改善計画を実施することを求めている。その際には、改善計画に沿って工程能力や管理図などを用いて工程の状態を監視し、改善効果や再発防止を確認することが必要である。品質マニュアルや顧客固有要求事項などの文書は、品質マネジメントシステムの方針や要求事項を示すものであり、工程改善の実施には関係ない。FMEAやTPMなどはリスク分析や無駄削減などの改善活動に有効な手法であるが、工程改善の実施ではなく、改善計画の策定や見直しに関連する内容である。
10.3.1,36,-,継続的改善プロセスにおいて、製造工程が統計的に能力を持ち安定してから実施されるべき改善活動の例として正しいものはどれか。,選択肢a：不良品の原因分析や是正処置,選択肢b：顧客要求事項や規制要求事項の遵守,選択肢c：特殊特性【顧客が重視する品質特性】やCTQ【顧客が重視する品質特性】のレベルアップ,c,要求事項の適合した例：製造工程が統計的に能力を持ち安定していることを確認した後、特殊特性やCTQのレベルアップを目指して改善活動を行う。例えば、自動機設計では【製品を組み立てるための機械装置の設計工程】、自動機組立では【自動機設計図に基づいて機械装置を組み立てる工程】などが対象となる。適合していない例：製造工程が統計的に能力を持ち安定していない状態で、特殊特性やCTQのレベルアップを目指して改善活動を行う。または、製造工程が統計的に能力を持ち安定している状態で、不良品の原因分析や是正処置などの改善活動を行う。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、製造工程が統計的に能力を持ち安定してから実施されるべき改善活動について注記している。これは、製造工程が統計的に能力を持ち安定していない場合は、まずその状態を是正することが優先されるためである。製造工程が統計的に能力を持ち安定してから実施されるべき改善活動としては、特殊特性やCTQなどの顧客が重視する品質特性のレベルアップなどが挙
10.3.1,37,-,継続的改善プロセスにおいて、文書化した情報を明確化する際に必要なことは何か。,選択肢a：文書化した情報を管理図やFMEAなどの統計的手法で分析すること,選択肢b：文書化した情報を品質マニュアルや顧客固有要求事項などの文書と整合させること,選択肢c：文書化した情報を改善活動の目的や内容に応じて適切な形式や媒体で作成・保管・配布すること,c,要求事項の適合した例：改善活動において、文書化した情報を改善活動の目的や内容に応じて適切な形式や媒体で作成・保管・配布する。例えば、手順書や記録などは紙媒体や電子媒体で作成し、管理番号や版数などを付けて保管・配布する。また、工程能力や管理図などはグラフや表などで作成し、モニターや掲示板などで表示する。適合していない例：改善活活動において、文書化した情報を改善活動の目的や内容に関係なく不適切な形式や媒体で作成・保管・配布する。例えば、手順書や記録などは口頭伝達やメモ書きで済ませる。また、工程能力や管理図などは数字だけで記録し、見える化しない。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、文書化した情報を明確化することを求めている。これは、改善活動の進捗状況や成果を可視化し、関係者へのフィードバックやコミュニケーションを促進するための手段である。文書化した情報を明確化するためには、改善活動の目的や内容に応じて適切な形式や媒体で作成・保管・配布することが必要である。文書化した情報を管理図やFMEAなどの統計的手法で分析することは、工程の状態を監視することに関連する内容であり、文書化した情報を品質マニュアルや顧客固有要求事項などの文書と整合させることは、品質マネジメントシステムの方針や要求事項を満たすことに関連する内容である。これらは文書化した情報を明確化することには直接関係ない。
10.3.1,38,-,継続的改善プロセスにおいて、使用される方法論の例として正しいものはどれか。,選択肢a：QCストーリー【問題解決のための手順】やQCサークル【小集団で改善活動を行う組織】など,選択肢b：KPI【重要業績評価指標】やQCD【品質・コスト・納期】など,選択肢c：SPC【統計的工程管理手法】やTPM【全員参加型保全】など,a,要求事項の適合した例：改善活動において、使用する方法論としてQCストーリー【問題解決のための手順】やQCサークル【小集団で改善活動を行う組織】などを採用する。QCストーリーは、問題発見・分析・対策立案・実施・評価・標準化などの手順に沿って問題解決を行う方法論である。QCサークルは、現場の作業者が自主的に小集団を組んで改善活動を行う組織である。適合していない例：改善活動において、使用する方法論としてKPI【重要業績評価指標】やQCD【品質・コスト・納期】などを採用する。KPIやQCDは、改善活動の目標や評価指標として用いられるものであり、方法論ではない。また、SPC【統計的工程管理手法】やTPM【全員参加型保全】などは、改善活動に用いられる手法として用いられるものであり、方法論ではない。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、使用される方法論について注記している。これは、改善活動を効果的に進めるために必要な枠組みや手順を示すものである。使用される方法論の例としては、QCストーリーやQCサークルなどが挙げられる。これらは、問題解決や小集団活動などの方法論である。KPIやQCDは、改善活動の目標や評価指標を示すものであり、SPCやTPMは、改善活動に用いられる手法を示すものである。これらは方法論ではない。
10.3.1,39,-,継続的改善プロセスにおいて、目標や評価指標を設定する際に必要なことは何か。,選択肢a：目標や評価指標をSMART【具体的・測定可能・達成可能・関連性・期限】なものにすること,選択肢b：目標や評価指標をKPI【重要業績評価指標】やQCD【品質・コスト・納期】などの数値で表すこと,選択肢c：目標や評価指標をFMEA【製品・工程・設備】やTPM【全員参加型保全】などの手法で分析すること,a,要求事項の適合した例：改善活動において、目標や評価指標をSMART【具体的・測定可能・達成可能・関連性・期限】なものにする。例えば、「不良率を50%削減する」ではなく、「2022年12月までにプレス部品脱脂処理【金属板に油分が残らないように洗浄する工程】の不良率を現状の5%から2.5%以下に削減する」というように具体的で測定可能で達成可能で関連性があり期限がある目標や評価指標を設定する。適合していない例：改善活動において、目標や評価指標をSMART【具体的・測定可能・達成可能・関連性・期限】なものにしない。例えば、「品質向上」や「コストダウン」などの抽象的で測定不可能で達成不可能で関連性がなく期限がない目標や評価指標を設定する。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、目標や評価指標を設定することを求めている。これは、改善活動の方向性や成果を明確にするための手段である。目標や評価指標を設定する際には、SMART【具体的・測定可能・達成可能・関連性・期限】なものにすることが必要である。これは、目標や評価指標が明確で現実的で有効で時間的に制限されたものであることを意味する。目標や評価指標をKPI【重要業績評価指標】やQCD【品質・コスト・納期】などの数値で表すことは、測定可能なものにすることに関連する内容であるが、それだけでは不十分である。目標や評価指標をFMEA【製品・工程・設備】やTPM【全員参加型保全】などの手法で分析することは、改善活動の優先順位付けや対策立案などに関連する内容であるが、目標や評価指標の設定には直接関係ない。
10.3.1,40,-,継続的改善プロセスにおいて、改善活動の成果を評価する際に必要なことは何か。,選択肢a：改善活動の成果を目標や評価指標と比較し、改善効果や再発防止を確認すること,選択肢b：改善活動の成果を文書化し、管理図やFMEAなどの統計的手法で分析すること,選択肢c：改善活動の成果を品質マニュアルや顧客固有要求事項などの文書と整合させること,a,要求事項の適合した例：改善活動において、改善活動の成果を目標や評価指標と比較し、改善効果や再発防止を確認する。例えば、「2022年12月までに射出成型製造【溶かしたプラスチックを金型に注入して冷却する工程】の不良率を現状の10%から5%以下に削減する」という目標や評価指標がある場合、実際に不良率が5%以下になったかどうかを確認し、その原因や効果を分析する。また、不良率が再び上がらないように対策や標準化を行う。適合していない例：改善活動において、改善活動の成果を目標や評価指標と比較しない。改善効果や再発防止も確認しない。または、改善活動の成果を文書化しても管理図やFMEAなどの統計的手法で分析しない。または、改善活動の成果を品質マニュアルや顧客固有要求事項などの文書と整合させることだけに注力する。箇条要求事項の概要詳細解説：この要求事項は、継続的改善プロセスにおいて、改善活動の成果を評価することを求めている。これは、改善活動の効果や効率を検証し、改善活動の継続性や持続性を確保するための手段である。改善活動の成果を評価するためには、改善活動の成果を目標や評価指標と比較し、改善効果や再発防止を確認することが必要である。改善活動の成果を文書化することは、改善活動の成果を明確化することに関連する内容であるが、それだけでは不十分である。管理図やFMEAなどの統計的手法で分析することは、工程の状態を監視することに関連する内容であるが、改善活動の成果の評価には直接関係ない。品質マニュアルや顧客固有要求事項などの文書と整合させることは、品質マネジメントシステムの方針や要求事項を満たすことに関連する内容であるが、改善活動の成果の評価には直接関係ない。
