5.1.1.3,30,-,プロセスオーナーの任命は、どのような形で行われる必要があるか？,選択肢a：トップマネジメントが口頭で指名する。,選択肢b：トップマネジメントが文書化して特定する。,選択肢c：トップマネジメントが部下に任せる。,b,要求事項の適合した例：会社の組織図やタートル図にプロセスオーナーを明記する。適合していない例：プロセスオーナーを任命したことを記録しない。箇条要求事項の概要詳細解説：この要求事項は、トップマネジメントが組織のプロセスと関係するアウトプットを管理する責任者を特定し、その証拠を提示することを求めている。
5.1.1.3,31,-,プロセスオーナーは、自らの役割を理解し、その役割を実行する力量があることをどのように実証する必要があるか？,選択肢a：自己申告する。,選択肢b：トップマネジメントに評価される。,選択肢c：部下にフィードバックを求める。,b,要求事項の適合した例：職位と権限表にプロセスオーナーの役割、責任、権限、職位要件、必要な知識やスキルを明記し、トップマネジメントから認定される。適合していない例：プロセスオーナーの力量に関する客観的な基準や評価方法がない。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自分の役割を理解し、その役割を実行するために必要な専門的知見やスキル・経験を持ち合わせていることをトップマネジメントが関与して判断することを求めている。
5.1.1.3,32,-,プロセスオーナーは、自らのプロセスと他のプロセスとの関係性や相互作用性をどのように管理する必要があるか？,選択肢a：自らのプロセスだけに注力し、他のプロセスとは独立して行動する。,選択肢b：自らのプロセスと他のプロセスとのインプット・アウトプットやインタフェースを定義し、協力・調整・改善する。,選択肢c：自らのプロセスと他のプロセスとの競争や対立を促進し、優位性を確保する。,b,要求事項の適合した例：タートル図やプロセスマップで自らのプロセスと他のプロセスとの関係性や相互作用性を明確にし、コミュニケーションや協働を行う。適合していない例：自らのプロセスと他のプロセスとの関係性や相互作用性を無視し、自分勝手な判断や行動をする。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスだけでなく、組織全体のプロセスを有効に管理するために、他のプロセスオーナーと連携し、顧客要求事項や法令規制等を満たすことを求めている。
5.1.1.3,33,-,プロセスオーナーは、自らのプロセスに関するリスクと機会をどのように特定・分析・管理する必要があるか？,選択肢a：自らのプロセスに関するリスクと機会は存在しないと考える。,選択肢b：自らのプロセスに関するリスクと機会は、経営者が決めることであると考える。,選択肢c：自らのプロセスに関するリスクと機会は、定期的に見直し、必要な対策や改善を行う。,c,要求事項の適合した例：FMEAやSWOT分析などのツールを用いて、自らのプロセスに関するリスクと機会を特定・分析・管理し、品質目標や品質方針に沿った対策や改善を実施する。適合していない例：自らのプロセスに関するリスクと機会を無視し、対策や改善を行わない。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関するリスクと機会を積極的に管理し、品質マネジメントシステムの有効性及び効率を向上させることを求めている。
5.1.1.3,34,-,プロセスオーナーは、自らのプロセスに関するパフォーマンスや効果的な実施・維持についてどのように報告する必要があるか？,選択肢a：自らのプロセスに関するパフォーマンスや効果的な実施・維持は報告しない。,選択肢b：自らのプロセスに関するパフォーマンスや効果的な実施・維持はトップマネジメントへ定期的に報告する。,選択肢c：自らのプロセスに関するパフォーマンスや効果的な実施・維持は部下へ定期的に報告する。,b,要求事項の適合した例：KPIやPDCAサイクルなどで自らのプロセスに関するパフォーマンスや効果的な実施・維持についてトップマネジメントへ定期的に報告する。適合していない例：自らのプロセスに関するパフォーマンスや効果的な実施・維持について報告しないか、不正確な情報を報告する。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関するパフォーマンスや効果的な実施・維持についてトップマネジメントへ定期的に報告し、経営レビューや内部監査などでフィードバックを受けることを求めている。
5.1.1.3,35,-,プロセスオーナーは、自らのプロセスに関する品質目標をどのように設定する必要があるか？,選択肢a：自らのプロセスに関する品質目標は設定しない。,選択肢b：自らのプロセスに関する品質目標は、顧客要求事項や法令規制等を考慮せずに設定する。,選択肢c：自らのプロセスに関する品質目標は、顧客要求事項や法令規制等を考慮し、SMART原則に基づいて設定する。,c,要求事項の適合した例：自らのプロセスに関する品質目標は、顧客要求事項や法令規制等を考慮し、SMART原則（具体的・測定可能・達成可能・関連性・期限付き）に基づいて設定し、トップマネジメントから承認される。適合していない例：自らのプロセスに関する品質目標がないか、不明確・曖昧・不適切・無関係・無期限なものである。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関する品質目標を設定し、その品質目標が顧客満足度や組織の方針と整合性があることを確認することを求めている。
5.1.1.3,36,-,プロセスオーナーは、自らのプロセスに関するリソース（人的・物的・財務的）をどのように確保する必要があるか？,選択肢a：自らのプロセスに関するリソースは、トップマネジメントから与えられるものに満足する。,選択肢b：自らのプロセスに関するリソースは、自分で調達する。,選択肢c：自らのプロセスに関するリソースは、必要性や優先度を根拠としてトップマネジメントへ申請する。,c,要求事項の適合した例：自らのプロセスに関するリソースは、品質目標やリスクと機会などを根拠としてトップマネジメントへ申請し、承認された範囲内で確保する。適合していない例：自らのプロセスに関するリソースが不足しているか、無駄が多いか、申請や承認がないか、根拠が不明確である。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関するリソースを確保するために、トップマネジメントとのコミュニケーションや調整を行うことを求めている。
5.1.1.3,37,-,プロセスオーナーは、自らのプロセスに関する変更や改善をどのように管理する必要があるか？,選択肢a：自らのプロセスに関する変更や改善は、事前に計画や承認を行わずに実施する。,選択肢b：自らのプロセスに関する変更や改善は、事前に計画や承認を行い、実施後に効果検証や標準化を行う。,選択肢c：自らのプロセスに関する変更や改善は、他のプロセスオーナーと協議せずに独断で実施する。,b,要求事項の適合した例：自らのプロセスに関する変更や改善は、事前に計画や承認を行い、実施後に効果検証や標準化を行う。変更や改善が他のプロセスに影響を与える場合は、他のプロセスオーナーと協議し、合意を得る。適合していない例：自らのプロセスに関する変更や改善が計画的・体系的でないか、効果検証や標準化が行われていないか、他のプロセスオーナーとの協議や合意がないか、である。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関する変更や改善を管理するために、PDCAサイクルを適用し、他のプロセスとの整合性を確保することを求めている。
5.1.1.3,38,-,プロセスオーナーは、自らのプロセスに関するリスクと機会をどのように特定する必要があるか？,選択肢a：自らのプロセスに関するリスクと機会は、特定しない。,選択肢b：自らのプロセスに関するリスクと機会は、定期的に特定し、評価し、対策を実施する。,選択肢c：自らのプロセスに関するリスクと機会は、他のプロセスオーナーに任せる。,b,要求事項の適合した例：自らのプロセスに関するリスクと機会は、定期的に特定し、評価し、対策を実施する。リスクと機会の特定には、SWOT分析やFMEAなどのツールを活用する。適合していない例：自らのプロセスに関するリスクと機会が特定されていないか、評価や対策が不十分である。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関するリスクと機会を特定するために、適切な方法や手法を用いることを求めている。
5.1.1.3,39,-,プロセスオーナーは、自らのプロセスに関するパフォーマンスや効果的な改善をどのように監視する必要があるか？,選択肢a：自らのプロセスに関するパフォーマンスや効果的な改善は、監視しない。,選択肢b：自らのプロセスに関するパフォーマンスや効果的な改善は、監視し、結果をトップマネジメントへ報告する。,選択肢c：自らのプロセスに関するパフォーマンスや効果的な改善は、監視し、結果を顧客へ報告する。,b,要求事項の適合した例：自らのプロセスに関するパフォーマンスや効果的な改善は、監視し、結果をトップマネジメントへ報告する。パフォーマンスや改善の監視には、KPIやSPCなどの指標や手法を活用する。適合していない例：自らのプロセスに関するパフォーマンスや効果的な改善が監視されていないか、報告が不適切である。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関するパフォーマンスや効果的な改善を監視するために、定量的かつ客観的な方法や手法を用いることを求めている。
5.1.1.3,40,-,プロセスオーナーは、自らのプロセスに関する顧客要求事項や法令規制などの要求事項をどのように確認する必要があるか？,選択肢a：自らのプロセスに関する要求事項は、確認しない。,選択肢b：自らのプロセスに関する要求事項は、確認し、満たすための計画を立てる。,選択肢c：自らのプロセスに関する要求事項は、確認し、満たすための計画を他のプロセスオーナーに依頼する。,b,要求事項の適合した例：自らのプロセスに関する要求事項は、確認し、満たすための計画を立てる。要求事項の確認には、顧客との契約や仕様書、法令規制や規格などの情報源を活用する。適合していない例：自らのプロセスに関する要求事項が確認されていないか、満たすための計画が不十分である。箇条要求事項の概要詳細解説：この要求事項は、プロセスオーナーが自らのプロセスに関する要求事項を確認するために、適切な情報源や手法を用いることを求めている。
