7.1.5.2.1,30,-,校正/検証の記録をマネジメントする文書化したプロセスをもたなければならないという要求事項は、どのような目的があるか？,選択肢a：内部要求事項、法令・規制要求事項及び顧客が定めた要求事項への適合の証拠を提供するため,選択肢b：校正/検証の活動及び記録に必要な詳細事項を明確にするため,選択肢c：校正/検証の対象となるゲージ、測定機器及び試験設備を特定するため,a,適合した例：文書化したプロセスに従って、内部要求事項、法令・規制要求事項及び顧客が定めた要求事項に基づいて校正/検証の記録を作成し、保持している。適合していない例：文書化したプロセスがないか不十分であり、校正/検証の記録が不足しているか見つからない。箇条要求事項の概要詳細解説：この要求事項は、校正/検証の記録を管理するために必要な文書化したプロセスを定めることを求めている。文書化したプロセスは、内部要求事項、法令・規制要求事項及び顧客が定めた要求事項に対応できるように作成されるべきである。
7.1.5.2.1,31,-,校正/検証の対象となるゲージ、測定機器及び試験設備にはどのようなものが含まれるか？,選択肢a：製品や工程の管理に使用されるソフトウェアを含む生産に関係するソフトウェア,選択肢b：測定に関連する従業員所有の機器、顧客所有の機器、サイト内供給者所有の機器,選択肢c：製品や工程の管理に使用されるソフトウェアを含む生産に関係するソフトウェア、測定に関連する従業員所有の機器、顧客所有の機器、サイト内供給者所有の機器,c,適合した例：校正/検証の対象となるゲージ、測定機器及び試験設備をすべて洗い出し、文書化したプロセスに従って校正/検証の活動と記録を行っている。適合していない例：校正/検証の対象となるゲージ、測定機器及び試験設備を漏れや重複がある状態で管理しており、文書化したプロセスに従っていないか不適切な校正/検証の活動と記録を行っている。箇条要求事項の概要詳細解説：この要求事項は、校正/検証の対象となるゲージ、測定機器及び試験設備の範囲を示している。製品や工程の管理に使用されるソフトウェアを含む生産に関係するソフトウェア、測定に関連する従業員所有の機器、顧客所有の機器、サイト内供給者所有の機器が対象となる。
7.1.5.2.1,32,-,校正/検証の活動及び記録には次の詳細事項を含めなければならないことを確実にしなければならないが、その中で最も重要なものはどれか？,選択肢a：仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価,選択肢b：校正/検証後の仕様への適合表明,選択肢c：疑わしい製品又は材料が出荷された場合の顧客への通知,a,適合した例：仕様外れ状態にある測定機器が発見された場合、その影響をFMEAに基づいてリスク評価し、必要な対策を講じている。適合していない例：仕様外れ状態にある測定機器が発見された場合、その影響を考えずに放置しているか、不適切な対策を講じている。箇条要求事項の概要詳細解説：この要求事項は、校正/検証の活動及び記録に必要な詳細事項を示している。その中で最も重要なものは、仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価である。これは、製品や工程に影響を与えた可能性がある測定機器について、その危険度や発生頻度、検出可能性を分析し、その結果に応じて是正処置や予防処置を実施することを意味する。このようにして、製品や工程の安全性や信頼性を確保することができる。
7.1.5.2.1,33,-,校正/検証のために受け入れた状態で、仕様外れの値とはどのようなものか？,選択肢a：校正/検証の基準となる標準器との差異が許容範囲内である値,選択肢b：校正/検証の基準となる標準器との差異が許容範囲外である値,選択肢c：校正/検証の基準となる標準器と同じ値,b,適合した例：校正/検証の際に、測定機器が示す値と標準器が示す値との間に許容範囲を超える差異がある場合、その値を仕様外れの値として記録し、その影響を評価している。適合していない例：校正/検証の際に、測定機器が示す値と標準器が示す値との間に許容範囲を超える差異がある場合、その値を無視して校正/検証を完了させているか、記録していない。箇条要求事項の概要詳細解説：この要求事項は、校正/検証の活動及び記録において、仕様外れの値を正しく扱うことを求めている。仕様外れの値とは、校正/検証の基準となる標準器との差異が許容範囲外である値であり、これは測定機器の精度や安定性に問題があることを示す。このような場合、その影響をリスク評価し、必要な対策を講じることが重要である。
7.1.5.2.1,34,-,仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価とはどのようなものか？,選択肢a：仕様外れ状態にある測定機器が製品や工程に与えた影響をFMEAに基づいて危険度や発生頻度、検出可能性を分析すること,選択肢b：仕様外れ状態にある測定機器が製品や工程に与えた影響を顧客や法令・規制要求事項に基づいて安全性や信頼性を分析すること,選択肢c：仕様外れ状態にある測定機器が製品や工程に与えた影響を内部要求事項や品質目標に基づいて効率性や効果性を分析すること,a,適合した例：仕様外れ状態にある測定機器が発見された場合、その影響をFMEAに基づいてリスク評価し、必要な対策を講じている。適合していない例：仕様外れ状態にある測定機器が発見された場合、その影響を考えずに放置しているか、不適切な対策を講じている。箇条要求事項の概要詳細解説：この要求事項は、仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価を行うことを求めている。リスクの評価とは、仕様外れ状態にある測定機器が製品や工程に与えた影響をFMEAに基づいて危険度や発生頻度、検出可能性を分析することであり、これによって製品や工程の安全性や信頼性を確保することができる。
7.1.5.2.1,35,-,校正/検証の記録には、どのような詳細事項を含めなければならないか？,選択肢a：測定機器の識別番号、校正/検証の日付、校正/検証の結果、次回の校正/検証の日付、校正/検証を行った者の署名,選択肢b：測定機器の名称、校正/検証の方法、校正/検証の基準、校正/検証の有効期限、校正/検証を承認した者の署名,選択肢c：測定機器の型式、校正/検証の範囲、校正/検証の不適合、校正/検証の対策、校正/検証を確認した者の署名,a,適合した例：測定機器には識別番号を付与し、校正/検証の記録にはその番号と日付、結果、次回日付、実施者の署名を記入している。適合していない例：測定機器には識別番号がなく、校正/検証の記録には日付や結果が欠落しているか、実施者の署名がない。箇条要求事項の概要詳細解説：この要求事項は、校正/検証の記録には測定機器の識別番号、校正/検証の日付、校正/検証の結果、次回の校正/検証の日付、校正/検証を行った者の署名を含めることを求めている。これらの情報は、測定機器が適切に管理されていることや、校正/検証が計画通りに実施されていることを示すために重要である。
7.1.5.2.1,36,-,仕様外れ状態にある測定機器が発見された場合に必要な対策とはどれか？,選択肢a：仕様外れ状態にある測定機器を直ちに修理または交換すること,選択肢b：仕様外れ状態にある測定機器が製品や工程に与えた影響をリスク評価し、必要な対策を講じること,選択肢c：仕様外れ状態にある測定機器を使用禁止とし、その旨を明示すること,b,適合した例：仕様外れ状態にある測定機器が発見された場合、その影響をFMEAに基づいてリスク評価し、必要な対策を講じている。適合していない例：仕様外れ状態にある測定機器が発見された場合、その影響を考えずに放置しているか、不適切な対策を講じている。箇条要求事項の概要詳細解説：この要求事項は、仕様外れ状態にある測定機器が発見された場合に必要な対策を行うことを求めている。対策とは、仕様外れ状態にある測定機器が製品や工程に与えた影響をリスク評価し、必要な場合は製品の再検査や工程の再調整などを行うことであり、これによって製品や工程の安全性や信頼性を確保することができる。
7.1.5.2.1,37,-,測定機器の校正/検証には、どのような基準を用いなければならないか？,選択肢a：国際的に認められた基準、またはそれに準ずる基準,選択肢b：国内的に認められた基準、またはそれに準ずる基準,選択肢c：組織内で定められた基準、またはそれに準ずる基準,a,適合した例：測定機器の校正/検証には、JISやISOなどの国際的に認められた基準、またはそれらとトレーサビリティが確保できる基準を用いている。適合していない例：測定機器の校正/検証には、自社で作成した基準やトレーサビリティが不明な基準を用いている。箇条要求事項の概要詳細解説：この要求事項は、測定機器の校正/検証には、国際的に認められた基準、またはそれに準ずる基準を用いることを求めている。これは、測定結果の信頼性や一貫性を確保するために必要である。
7.1.5.2.1,38,-,測定機器の校正/検証の周期は、どのように決めなければならないか？,選択肢a：測定機器の種類や使用頻度に応じて決めること,選択肢b：測定機器の製造元や規格に応じて決めること,選択肢c：測定機器の安定性や能力に応じて決めること,c,適合した例：測定機器の校正/検証の周期は、測定システム解析（MSA）や校正/検証の結果などに基づいて、測定機器の安定性や能力に応じて決めている。適合していない例：測定機器の校正/検証の周期は、一律で決めているか、根拠が不明確である。箇条要求事項の概要詳細解説：この要求事項は、測定機器の校正/検証の周期は、測定機器の安定性や能力に応じて決めることを求めている。これは、測定機器が仕様内で動作することを確実にするために必要である。
7.1.5.2.1,39,-,測定機器の校正/検証の記録には、どのような詳細事項を含めなければならないか？,選択肢a：校正/検証の日付、実施者、結果、次回校正/検証の日付,選択肢b：校正/検証の日付、実施者、結果、基準、不適合時の対策,選択肢c：校正/検証の日付、実施者、結果、基準、不適合時の対策、次回校正/検証の日付,c,適合した例：測定機器の校正/検証の記録には、校正/検証の日付、実施者、結果、基準、不適合時の対策、次回校正/検証の日付を含めている。適合していない例：測定機器の校正/検証の記録には、校正/検証の日付や結果だけを含めている。基準や不適合時の対策や次回校正/検証の日付を含めていない。箇条要求事項の概要詳細解説：この要求事項は、測定機器の校正/検証の記録には、校正/検証の日付、実施者、結果、基準、不適合時の対策、次回校正/検証の日付を含めることを求めている。これは、測定機器が適切に管理されていることを示すために必要である。
7.1.5.2.1,40,-,測定機器が不適合であることが判明した場合には、どのような対策を講じなければならないか？,選択肢a：測定機器を修理または交換し、再度校正/検証すること,選択肢b：測定機器を修理または交換し、再度校正/検証することとともに、影響を受けた製品やプロセスについても評価すること,選択肢c：測定機器を修理または交換し、再度校正/検証することとともに、影響を受けた製品やプロセスについても評価し、必要に応じて顧客に報告すること,b,適合した例：測定機器が不適合であることが判明した場合には、測定機器を修理または交換し、再度校正/検証することとともに、影響を受けた製品やプロセスについても評価し、是正処置を実施すること。適合していない例：測定機器が不適合であることが判明した場合には、測定機器を修理または交換するだけで、再度校正/検証しないことや、影響を受けた製品やプロセスについても評価しないこと。箇条要求事項の概要詳細解説：この要求事項は、測定機器が不適合であることが判明した場合には、測定機器を修理または交換し、再度校正/検証することとともに、影響を受けた製品やプロセスについても評価することを求めている。これは、測定機器の不適合が製品品質に及ぼす影響を把握し、適切な対策を講じるために必要である。
