7.2.4,30,-,第二者監査員は、監査員の適格性確認に対する顧客固有要求事項を満たす必要があるが、その方法として最も適切なものはどれか？,選択肢a：顧客固有要求事項を含む監査計画書を作成し、顧客に承認してもらうこと,選択肢b：顧客固有要求事項に関する教育訓練を受けた証明書を取得すること,選択肢c：顧客固有要求事項に関する知識テストを受けて合格すること,b,要求事項の適合した例：第二者監査員は、顧客固有要求事項に関する教育訓練を受けた証明書を取得し、監査前に組織に提出することで、適格性確認に対する顧客固有要求事項を満たす。適合していない例：第二者監査員は、顧客固有要求事項に関する教育訓練を受けていないが、自分で勉強したと主張し、監査計画書にその旨を記載することで、適格性確認に対する顧客固有要求事項を満たしたと考える。箇条要求事項の概要詳細解説：第二者監査員は、監査員の適格性確認に対する顧客固有要求事項を満たさなければならない。これは、第二者監査員が顧客のニーズや期待を理解し、適切な監査方法や技術を用いることができることを確保するためである。顧客固有要求事項は、顧客から提供されるか、または公開されているものであり、組織はそれらに従って第二者監査員の選択や教育訓練を行わなければならない。一般的には、顧客固有要求事項に関する教育訓練を受けた証明書や知識テストの合格証明書などが必要とされることが多い。ただし、顧客から特別な指示がある場合は、それに従う必要がある。
7.2.4,31,-,第二者監査員は、リスクに基づく考え方を含む、監査に対する自動車産業プロセスアプローチの理解を実証しなければならないが、その方法として最も適切なものはどれか？,選択肢a：自動車産業プロセスアプローチ監査ガイドライン（AIAG CQI-8）に基づく教育訓練を受けること,選択肢b：自動車産業プロセスアプローチ監査ガイドライン（AIAG CQI-8）に基づく知識テストを受けて合格すること,選択肢c：自動車産業プロセスアプローチ監査ガイドライン（AIAG CQI-8）に基づく実践的な監査経験を積むこと,c,要求事項の適合した例：第二者監査員は、自動車産業プロセスアプローチ監査ガイドライン（AIAG CQI-8）に基づく教育訓練や知識テストだけでなく、実際のサプライヤや自社工場でプロセスアプローチ監査を行うことで、リスクに基づく考え方やプロセス間の相互作用などの理解を深める。適合していない例：第二者監査員は、自動車産業プロセスアプローチ監査ガイドライン（AIAG CQI-8）に基づく教育訓練や知識テストだけで十分だと考え、実際のサプライヤや自社工場でプロセスアプローチ監査を行う機会を逃す。箇条要求事項の概要詳細解説：第二者監査員は、リスクに基づく考え方を含む、監査に対する自動車産業プロセスアプローチの理解を実証しなければならない。これは、第二者監査員がサプライヤのビジネスプロセスや品質マネジメントシステムの全体像や効果性を評価できるようにするためである。自動車産業プロセスアプローチ監査ガイドライン（AIAG CQI-8）は、この目的のために作成された参考文書であり、教育訓練や知識テストのベースとなるものである。しかし、それだけでは十分ではなく、実践的な経験も必要である。実践的な経験とは、サプライヤや自社工場でタートル図やコントロールプランなどの文書化した情報を入手し分析し、リスクや機会を特定し評価し、効果的な改善策や予防策を提案しフォローアップすることである。
7.2.4,32,-,第二者監査員は、該当するISO9001及びIATF16949要求事項に関係する監査範囲を理解しなければならないが、その方法として最も適切なものはどれか？,選択肢a：監査計画書に監査範囲と該当する要求事項を明記すること,選択肢b：監査チェックリストに監査範囲と該当する要求事項を明記すること,選択肢c：監査報告書に監査範囲と該当する要求事項を明記すること,a,要求事項の適合した例：第二者監査員は、監査計画書に監査範囲と該当するISO9001及びIATF16949要求事項を明記し、組織や顧客に共有することで、監査範囲の理解を実証する。適合していない例：第二者監査員は、監査チェックリストや監査報告書に監査範囲と該当する要求事項を明記するが、監査計画書には記載しないことで、監査範囲の理解を実証したと考える。箇条要求事項の概要詳細解説：第二者監査員は、該当するISO9001及びIATF16949要求事項に関係する監査範囲を理解しなければならない。これは、第二者監査員がサプライヤの品質マネジメントシステムの有効性や改善点を正確に評価できるようにするためである。監査範囲の理解を実証する方法としては、監査計画書に監査範囲と該当する要求事項を明記し、組織や顧客に共有することが最も適切である。これは、ISO19011:2018のガイドラインにも沿っている。監査チェックリストや監査報告書にも同様の内容を記載することは望ましいが、それだけでは十分ではない。
7.2.4,33,-,第二者監査員は、監査対象となる製造工程について、PFMEA及びコントロールプランを含む理解を実証しなければならないが、その方法として最も適切なものはどれか？,選択肢a：サプライヤからPFMEA及びコントロールプランを入手し、それらの文書に基づいて監査チェックリストを作成すること,選択肢b：サプライヤからPFMEA及びコントロールプランを入手し、それらの文書に基づいて監査計画書を作成すること,選択肢c：サプライヤからPFMEA及びコントロールプランを入手し、それらの文書に基づいて監査報告書を作成すること,b,要求事項の適合した例：第二者監査員は、サプライヤからPFMEA及びコントロールプランを入手し、それらの文書に基づいて監査計画書を作成することで、製造工程のリスクや特性や制御方法などの理解を実証する。適合していない例：第二者監査員は、サプライヤからPFMEA及びコントロールプランを入手するが、それらの文書に基づいて監査チェックリストや監査報告書だけを作成することで、製造工程の理解を実証したと考える。箇条要求事項の概要詳細解説：第二者監査員は、監査対象となる製造工程について、PFMEA及びコントロールプランを含む理解を実証しなければならない。これは、第二者監査員がサプライヤの製品品質や顧客満足度に影響する重要な要素やリスクを特定し評価できるようにするためである。製造工程の理解を実証する方法としては、サプライヤからPFMEA及びコントロールプランを入手し、それらの文書に基づいて監査計画書を作成することが最も適切である。これは、ISO19011:2018のガイドラインにも沿っている。監査チェックリストや監査報告書にも同様の内容を記載することは望ましいが、それだけでは十分ではない。
7.2.4,34,-,第二者監査員は、該当するコアツール要求事項に関係する監査範囲を理解しなければならないが、その方法として最も適切なものはどれか？,選択肢a：該当するコアツール（APQP/PPAP/FMEA/MSA/SPC）に関する教育訓練を受けること,選択肢b：該当するコアツール（APQP/PPAP/FMEA/MSA/SPC）に関する知識テストを受けて合格すること,選択肢c：該当するコアツール（APQP/PPAP/FMEA/MSA/SPC）に関する実践的な経験を積むこと,c,要求事項の適合した例：第二者監査員は、該当するコアツール（APQP/PPAP/FMEA/MSA/SPC）に関する教育訓練や知識テストだけでなく、実際のサプライヤや自社工場でコアツールの適用や改善などの活動に参加することで、コアツール要求事項の理解を深める。適合していない例：第二者監査員は、該当するコアツール（APQP/PPAP/FMEA/MSA/SPC）に関する教育訓練や知識テストだけで十分だと考え、実際のサプライヤや自社工場でコアツールの活動に参加する機会を逃す。箇条要求事項の概要詳細解説：第二者監査員は、該当するコアツール要求事項に関係する監査範囲を理解しなければならない。これは、第二者監査員がサプライヤの品質計画や品質保証や品質改善などの活動や成果物を正確に評価できるようにするためである。コアツール要求事項の理解を実証する方法としては、該当するコアツール（APQP/PPAP/FMEA/MSA/SPC）に関する教育訓練や知識テストだけでなく、実践的な経験も必要である。実践的な経験とは、サプライヤや自社工場でコアツールの適用や改善などの活動に参加し、その効果や問題点や改善点などを把握し分析し提案しフォローアップすることである。
7.2.4,35,-,第二者監査員は、監査計画、実施、監査報告書の準備及び監査所見の完了の仕方を理解しなければならないが、その方法として最も適切なものはどれか？,選択肢a：ISO19011:2018に基づく教育訓練を受けること,選択肢b：ISO19011:2018に基づく知識テストを受けて合格すること,選択肢c：ISO19011:2018に基づく実践的な経験を積むこと,c,要求事項の適合した例：第二者監査員は、ISO19011:2018に基づく教育訓練や知識テストだけでなく、実際のサプライヤや自社工場で監査計画、実施、監査報告書の準備及び監査所見の完了などの活動に参加することで、監査プロセスの理解を深める。適合していない例：第二者監査員は、ISO19011:2018に基づく教育訓練や知識テストだけで十分だと考え、実際のサプライヤや自社工場で監査プロセスの活動に参加する機会を逃す。箇条要求事項の概要詳細解説：第二者監査員は、監査計画、実施、監査報告書の準備及び監査所見の完了の仕方を理解しなければならない。これは、第二者監査員がサプライヤの品質マネジメントシステムに対する効果的かつ効率的な監査を行うためである。監査プロセスの理解を実証する方法としては、ISO19011:2018に基づく教育訓練や知識テストだけでなく、実践的な経験も必要である。実践的な経験とは、サプライヤや自社工場で監査計画、実施、監査報告書の準備及び監査所見の完了などの活動に参加し、その効果や問題点や改善点などを把握し分析し提案しフォローアップすることである。
7.2.4,36,-,第二者監査員は、該当する顧客及び組織の固有要求事項を理解しなければならないが、その方法として最も適切なものはどれか？,選択肢a：顧客及び組織から固有要求事項を入手し、それらの文書に基づいて監査チェックリストを作成すること,選択肢b：顧客及び組織から固有要求事項を入手し、それらの文書に基づいて監査計画書を作成すること,選択肢c：顧客及び組織から固有要求事項を入手し、それらの文書に基づいて監査報告書を作成すること,b,要求事項の適合した例：第二者監査員は、顧客及び組織から固有要求事項を入手し、それらの文書に基づいて監査計画書を作成することで、固有要求事項の理解を実証する。適合していない例：第二者監査員は、顧客及び組織から固有要求事項を入手するが、それらの文書に基づいて監査チェックリストや監査報告書だけを作成することで、固有要求事項の理解を実証したと考える。箇条要求事項の概要詳細解説：第二者監査員は、該当する顧客及び組織の固有要求事項を理解しなければならない。これは、第二者監査員がサプライヤが顧客や組織から受けた特別なニーズや期待に応えているかどうかを評価できるようにするためである。固有要求事項の理解を実証する方法としては、顧客及び組織から固有要求事項を入手し、それらの文書に基づいて監査計画書を作成することが最も適切である。これは、ISO19011:2018のガイドラインにも沿っている。監査チェックリストや監査報告書にも同様の内容を記載することは望ましいが、それだけでは十分ではない。
7.2.4,37,-,第二者監査員は、プレス製造に関する知識を持っている必要があるが、その理由として最も適切なものはどれか？,選択肢a：プレス製造は、自動車部品の主要な製造工程であり、品質に大きな影響を与えるから,選択肢b：プレス製造は、自動車部品の特殊な製造工程であり、固有要求事項に対応するために必要だから,選択肢c：プレス製造は、自動車部品の複雑な製造工程であり、コアツールの適用に関する知識が必要だから,a,要求事項の適合した例：第二者監査員は、プレス製造に関する知識を持っており、プレス製造の特性やリスクや制御方法などを理解し、監査対象となるプレス製造工程に対して効果的な監査を行うことができる。適合していない例：第二者監査員は、プレス製造に関する知識を持っていないが、プレス製造は特殊な工程ではなく、一般的な品質マネジメントシステムの要求事項だけで監査できると考える。箇条要求事項の概要詳細解説：第二者監査員は、プレス製造に関する知識を持っている必要がある。これは、プレス製造が自動車部品の主要な製造工程であり、品質に大きな影響を与えるからである。プレス製造では、金属板を加圧して成形することで、自動車のボディやドアやフェンダーなどの部品を作成する。この工程では、金属板の材質や厚さや温度や加圧力や成形速度などの要因が品質に影響する。また、プレス製造後には、切断や曲げや穴あけなどの加工も行われることが多い。これらの工程では、寸法精度や表面状態や強度などの特性が重要となる。したがって、第二者監査員は、プレス製造に関する知識を持っており、これらの特性やリスクや制御方法などを理解し、監査対象となるプレス製造工程に対して効果的な監査を行うことができるようにしなければならない。
7.2.4,38,-,第二者監査員は、金型設計に関する知識を持っている必要があるが、その理由として最も適切なものはどれか？,選択肢a：金型設計は、自動車部品の主要な製造工程であり、品質に大きな影響を与えるから,選択肢b：金型設計は、自動車部品の特殊な製造工程であり、固有要求事項に対応するために必要だから,選択肢c：金型設計は、自動車部品の複雑な製造工程であり、コアツールの適用に関する知識が必要だから,b,要求事項の適合した例：第二者監査員は、金型設計に関する知識を持っており、金型設計の特性やリスクや制御方法などを理解し、監査対象となる金型設計工程に対して効果的な監査を行うことができる。適合していない例：第二者監査員は、金型設計に関する知識を持っていないが、金型設計は一般的な工程ではなく、監査の対象外だと考える。箇条要求事項の概要詳細解説：第二者監査員は、金型設計に関する知識を持っている必要がある。これは、金型設計が自動車部品の特殊な製造工程であり、固有要求事項に対応するために必要だからである。金型設計では、プレス製造や射出成型などの成形工程で使用する金型の形状や寸法や強度などを決定する。この工程では、顧客から提供される製品図面や仕様書や検査基準などの固有要求事項を満たすことが重要となる。また、金型設計後には、金型加工や金型組立などの工程も行われることが多い。これらの工程では、金型の精度や品質や耐久性などの特性が重要となる。したがって、第二者監査員は、金型設計に関する知識を持っており、これらの特性やリスクや制御方法などを理解し、監査対象となる金型設計工程に対して効果的な監査を行うことができるようにしなければならない。
7.2.4,39,-,第二者監査員は、溶接に関する知識を持っている必要があるが、その理由として最も適切なものはどれか？,選択肢a：溶接は、自動車部品の主要な製造工程であり、品質に大きな影響を与えるから,選択肢b：溶接は、自動車部品の特殊な製造工程であり、固有要求事項に対応するために必要だから,選択肢c：溶接は、自動車部品の複雑な製造工程であり、コアツールの適用に関する知識が必要だから,a,要求事項の適合した例：第二者監査員は、溶接に関する知識を持っており、溶接の特性やリスクや制御方法などを理解し、監査対象となる溶接工程に対して効果的な監査を行うことができる。適合していない例：第二者監査員は、溶接に関する知識を持っていないが、溶接は一般的な工程ではなく、監査の対象外だと考える。箇条要求事項の概要詳細解説：第二者監査員は、溶接に関する知識を持っている必要がある。これは、溶接が自動車部品の主要な製造工程であり、品質に大きな影響を与えるからである。溶接では、金属部品同士を高温や圧力や電流などで接合することで、自動車のフレームやシャーシやエキゾーストパイプなどの部品を作成する。この工程では、溶接材料や溶接方法や溶接条件や溶接検査などの要因が品質に影響する。また、溶接後には、熱処理や塗装や防錆処理などの工程も行われることが多い。これらの工程では、溶接部分の強度や耐食性や外観などの特性が重要となる。したがって、第二者監査員は、溶接に関する知識を持っており、これらの特性やリスクや制御方法などを理解し、監査対象となる溶接工程に対して効果的な監査を行うことができるようにしなければならない。
7.2.4,40,-,第二者監査員は、サプライヤの品質マネジメントシステムの有効性を評価するために、どのような資料や証拠を収集する必要があるか？,選択肢a：サプライヤの品質マネジメントシステムの文書や記録やデータなどの資料、監査対象となる工程や部門や人員などから得られる観察や聞き取りや検査などの証拠,選択肢b：サプライヤの品質マネジメントシステムの文書や記録やデータなどの資料、監査対象となる工程や部門や人員などから得られる観察や聞き取りや検査などの証拠、サプライヤの顧客や関係者などから得られるフィードバックやクレームなどの証拠,選択肢c：サプライヤの品質マネジメントシステムの文書や記録やデータなどの資料、監査対象となる工程や部門や人員などから得られる観察や聞き取りや検査などの証拠、自分の経験や知識に基づく推測や仮説などの証拠,b,要求事項の適合した例：第二者監査員は、サプライヤの品質マネジメントシステムの文書や記録やデータなどの資料を収集し、その内容に基づいて監査計画やチェックリストを作成する。また、監査対象となる工程や部門や人員などから得られる観察や聞き取りや検査などの証拠を収集し、その内容に基づいて監査結果や所見を記録する。さらに、サプライヤの顧客や関係者などから得られるフィードバックやクレームなどの証拠を収集し、その内容に基づいてサプライヤの品質マネジメントシステムの有効性を評価する。適合していない例：第二者監査員は、サプライヤの品質マネジメントシステムの文書や記録やデータなどの資料を収集せずに、自分の経験や知識に基づいて監査計画やチェックリストを作成する。また、監査対象となる工程や部門や人員などから得られる観察や聞き取りや検査などの証拠を収集せずに、自分の推測や仮説に基づいて監査結果や所見を記録する。さらに、サプライヤの顧客や関係者などから得られるフィードバックやクレームなどの証拠を収集せずに、自分の感想や意見に基づいてサプライヤの品質マネジメントシステムの有効性を評価する。箇条要求事項の概要詳細解説：第二者監査員は、サプライヤの品質マネジメントシステムの有効性を評価するために、以下の資料や証拠を収集する必要がある。まず、サプライヤの品質マネジメントシステムの文書や記録やデータなどの資料を収集することが必要である。これは、サプライヤの品質マネジメントシステムの内容や目的や要求事項などを把握し、監査計画やチェックリストを作成するためである。次に、監査対象となる工程や部門や人員などから得られる観察や聞き取りや検査などの証拠を収集することが必要である。これは、サプライヤの品質マネジメントシステムの有効性を評価するために、確認項目や証拠や評価基準などに基づいて、監査結果や所見を記録し、報告するためである。最後に、サプライヤの顧客や関係者などから得られるフィードバックやクレームなどの証拠を収集することが必要である。これは、サプライヤの品質マネジメントシステムの有効性を評価するために、サプライヤが提供する製品やサービスに対する顧客満足度や不満度などを把握し、改善点や問題点などを特定するためである。
