8.2.2.1,30,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果としてリサイクル、環境影響及び特性を含めなければならない。この場合の「特性」とは何を指すか。,選択肢a：製品の機能や性能などの顧客が求める特性,選択肢b：製品や材料が持つ物理的・化学的・生物的な特性,選択肢c：製品や材料が環境に与える影響やリサイクル性などの特性,b,要求事項の適合した例：製品や材料の含有規制物質や保安基準などの特性を考慮して、要求事項を明確化する。適合していない例：製品や材料の特性に関する法令・規制や顧客固有要求事項を無視して、要求事項を明確化する。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、リサイクル、環境影響及び特性という3つの観点を含めることを求めている。特性とは、製品や材料が持つ物理的・化学的・生物的な特性であり、顧客が求める機能や性能などの特性ではない。
8.2.2.1,31,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、ISO9001の8.2.2 a）1）（法令・規制）への適合には、材料の入手、保管、取扱い、リサイクル、除去、又は廃棄に関係する、全ての該当する政府の安全規制及び環境規制を含めなければならないとある。この場合、「全て」とはどこまでを指すか。,選択肢a：自社が所在する国や地域の政府の安全規制及び環境規制,選択肢b：自社が所在する国や地域だけでなく、海外と取引に関係する各国の政府の安全規制及び環境規制,選択肢c：自社が所在する国や地域だけでなく、海外と取引に関係する各国の政府の安全規制及び環境規制、および産業団体自主基準,c,要求事項の適合した例：製品や材料の入手、保管、取扱い、リサイクル、除去、又は廃棄に関係する、自社が所在する国や地域だけでなく、海外と取引に関係する各国の政府の安全規制及び環境規制、および産業団体自主基準を調査し、要求事項を明確化する。適合していない例：製品や材料の入手、保管、取扱い、リサイクル、除去、又は廃棄に関係する、自社が所在する国や地域の政府の安全規制及び環境規制だけを調査し、要求事項を明確化する。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、ISO9001の8.2.2 a）1）（法令・規制）への適合として、材料の入手、保管、取扱い、リサイクル、除去、又は廃棄に関係する全ての該当する政府の安全規制及び環境規制を含めることを求めている。全てとは、自社が所在する国や地域だけでなく、海外と取引に関係する各国の政府の安全規制及び環境規制、および産業団体自主基準を指す。
8.2.2.1,32,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果としてリサイクルを含めなければならないとある。この場合、「リサイクル」とはどういう意味か。,選択肢a：製品や材料が使用済みになった後に再利用や再生が可能であること,選択肢b：製品や材料が使用済みになった後に再利用や再生が可能であることだけでなく、そのために必要な情報や方法を提供すること,選択肢c：製品や材料が使用済みになった後に再利用や再生が可能であることだけでなく、そのために必要な情報や方法を提供することだけでなく、その効果や費用を評価すること,b,要求事項の適合した例：製品や材料が使用済みになった後に再利用や再生が可能であることだけでなく、そのために必要な情報や方法を提供する。例えば、プレス部品脱脂処理時に使用した溶剤を回収し再利用可能であることやその方法を顧客に伝える。適合していない例：製品や材料が使用済みになった後に再利用や再生が可能であることだけを考慮し、そのために必要な情報や方法を提供しない。例えば、射出成型製品の廃棄物をリサイクルすることは可能だが、その方法や条件を顧客に伝えない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、リサイクルという観点を含めることを求めている。リサイクルとは、製品や材料が使用済みになった後に再利用や再生が可能であることだけでなく、そのために必要な情報や方法を提供することを指す。
8.2.2.1,33,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、ISO9001の8.2.2 a）1）（法令・規制）への適合には、材料の入手、保管、取扱い、リサイクル、除去、又は廃棄に関係する、全ての該当する政府の安全規制及び環境規制を含めなければならないとある。この場合、「材料」とはどういう範囲を指すか。,選択肢a：製品を構成する部品や素材だけを指す,選択肢b：製品を構成する部品や素材だけでなく、製造工程で使用する溶剤や塗料なども含む,選択肢c：製品を構成する部品や素材だけでなく、製造工程で使用する溶剤や塗料なども含むだけでなく、包装資材や廃棄物も含む,b,要求事項の適合した例：製品を構成する部品や素材だけでなく、製造工程で使用する溶剤や塗料なども含めて、入手、保管、取扱い、リサイクル、除去、又は廃棄に関係する政府の安全規制及び環境規制を調査し、要求事項を明確化する。適合していない例：製品を構成する部品や素材だけを考慮し、製造工程で使用する溶剤や塗料などは無視して、要求事項を明確化する。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、ISO9001の8.2.2 a）1）（法令・規制）への適合として、材料の入手、保管、取扱い、リサイクル、除去、又は廃棄に関係する全ての該当する政府の安全規制及び環境規制を含めることを求めている。材料とは、製品を構成する部品や素材だけでなく、製造工程で使用する溶剤や塗料なども指す。
8.2.2.1,34,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果として環境影響を含めなければならないとある。この場合、「環境影響」とはどういう意味か。,選択肢a：製品や材料が使用済みになった後に環境に与える影響だけを指す,選択肢b：製品や材料が使用済みになった後に環境に与える影響だけでなく、製造工程で発生する排ガスや廃水などの影響も含む,選択肢c：製品や材料が使用済みになった後に環境に与える影響だけでなく、製造工程で発生する排ガスや廃水などの影響も含むだけでなく、製品の使用中に発生する騒音や振動などの影響も含む,b,要求事項の適合した例：製品や材料が使用済みになった後に環境に与える影響だけでなく、製造工程で発生する排ガスや廃水などの影響も考慮して、要求事項を明確化する。例えば、金型設計時に環境負荷の低い素材や加工方法を選択する。適合していない例：製品や材料が使用済みになった後に環境に与える影響だけを考慮し、製造工程で発生する排ガスや廃水などの影響は無視して、要求事項を明確化する。例えば、金型加工時に大量の切削油を使用し、処理方法を考慮しない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、環境影響という観点を含めることを求めている。環境影響とは、製品や材料が使用済みになった後に環境に与える影響だけでなく、製造工程で発生する排ガスや廃水などの影響も指す。
8.2.2.1,35,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果として特性を含めなければならないとある。この場合、「組織の知識」とはどういう意味か。,選択肢a：組織が持つ製品や材料に関する技術的な知識だけを指す,選択肢b：組織が持つ製品や材料に関する技術的な知識だけでなく、市場や競合他社に関する知識も含む,選択肢c：組織が持つ製品や材料に関する技術的な知識だけでなく、市場や競合他社に関する知識も含むだけでなく、法令・規制や顧客固有要求事項に関する知識も含む,c,要求事項の適合した例：組織が持つ製品や材料に関する技術的な知識だけでなく、市場や競合他社に関する知識も含むだけでなく、法令・規制や顧客固有要求事項に関する知識も活用して、特性を考慮した要求事項を明確化する。例えば、自動機設計時に自社の技術力や競合他社の動向や顧客のニーズや安全規制などを踏まえて、特性を決定する。適合していない例：組織が持つ製品や材料に関する技術的な知識だけを活用し、市場や競合他社に関する知識や法令・規制や顧客固有要求事項に関する知識を無視して、特性を考慮した要求事項を明確化する。例えば、金型加工時に自社の加工能力だけを考慮し、競合他社の加工精度や顧客の品質基準や含有規制物質などを考慮しない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、特性という観点を含めることを求めている。組織の知識とは、組織が持つ製品や材料に関する技術的な知識だけでなく、市場や競合他社に関する知識も含むだけでなく、法令・規制や顧客固有要求事項に関する知識も指す。
8.2.2.1,36,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果として機能を含めなければならないとある。この場合、「機能」とはどういう意味か。,選択肢a：製品が顧客のニーズや期待を満たすために必要な性能や特性だけを指す,選択肢b：製品が顧客のニーズや期待を満たすために必要な性能や特性だけでなく、製品が使用される環境や条件も含む,選択肢c：製品が顧客のニーズや期待を満たすために必要な性能や特性だけでなく、製品が使用される環境や条件も含むだけでなく、製品が使用される目的や方法も含む,c,要求事項の適合した例：製品が顧客のニーズや期待を満たすために必要な性能や特性だけでなく、製品が使用される環境や条件も含むだけでなく、製品が使用される目的や方法も考慮して、機能を考慮した要求事項を明確化する。例えば、自動車部品設計時に顧客の要求する耐久性や安全性だけでなく、使用される気温や湿度や道路状況や走行距離や運転手の操作方法なども踏まえて、機能を決定する。適合していない例：製品が顧客のニーズや期待を満たすために必要な性能や特性だけを考慮し、製品が使用される環境や条件や目的や方法は無視して、機能を考慮した要求事項を明確化する。例えば、家電製品設計時に顧客の要求する消費電力や操作性だけを考慮し、使用される電圧や周波数や温度や湿度や設置場所や用途などは考慮しない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、機能という観点を含めることを求めている。機能とは、製品が顧客のニーズや期待を満たすために必要な性能や特性だけでなく、製品が使用される環境や条件も含むだけでなく、製品が使用される目的や方法も指す。
8.2.2.1,37,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果として信頼性を含めなければならないとある。この場合、「信頼性」とはどういう意味か。,選択肢a：製品が故障や不具合を起こさない確率だけを指す,選択肢b：製品が故障や不具合を起こさない確率だけでなく、故障や不具合が発生した場合の回復時間や方法も含む,選択肢c：製品が故障や不具合を起こさない確率だけでなく、故障や不具合が発生した場合の回復時間や方法も含むだけでなく、故障や不具合が発生する原因や影響も含む,b,要求事項の適合した例：製品が故障や不具合を起こさない確率だけでなく、故障や不具合が発生した場合の回復時間や方法も考慮して、信頼性を考慮した要求事項を明確化する。例えば、電子部品設計時に顧客の要求する寿命や耐久性だけでなく、故障診断機能や保守性も踏まえて、信頼性を決定する。適合していない例：製品が故障や不具合を起こさない確率だけを考慮し、故障や不具合が発生した場合の回復時間や方法は無視して、信頼性を考慮した要求事項を明確化する。例えば、機械部品設計時に顧客の要求する強度や剛性だけを考慮し、交換部品の有無や交換方法は考慮しない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、信頼性という観点を含めることを求めている。信頼性とは、製品が故障や不具合を起こさない確率だけでなく、故障や不具合が発生した場合の回復時間や方法も指す。
8.2.2.1,38,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果として保守性を含めなければならないとある。この場合、「保守性」とはどういう意味か。,選択肢a：製品が故障や不具合を起こした場合に修理や交換が容易であることだけを指す,選択肢b：製品が故障や不具合を起こした場合に修理や交換が容易であることだけでなく、故障や不具合を予防するために必要な点検や清掃が容易であることも含む,選択肢c：製品が故障や不具合を起こした場合に修理や交換が容易であることだけでなく、故障や不具合を予防するために必要な点検や清掃が容易であることも含むだけでなく、故障や不具合の発生状況や履歴を管理することも含む,b,要求事項の適合した例：製品が故障や不具合を起こした場合に修理や交換が容易であることだけでなく、故障や不具合を予防するために必要な点検や清掃が容易であることも考慮して、保守性を考慮した要求事項を明確化する。例えば、半導体設備設計時に顧客の要求する稼働率や信頼性だけでなく、部品の交換性や点検箇所のアクセス性も踏まえて、保守性を決定する。適合していない例：製品が故障や不具合を起こした場合に修理や交換が容易であることだけを考慮し、故障や不具合を予防するために必要な点検や清掃が容易であることは無視して、保守性を考慮した要求事項を明確化する。例えば、医療機器設計時に顧客の要求する安全性や精度だけを考慮し、フィルターの交換方法やセンサーの清掃方法は考慮しない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、保守性という観点を含めることを求めている。保守性とは、製品が故障や不具合を起こした場合に修理や交換が容易であることだけでなく、故障や不具合を予防するために必要な点検や清掃が容易であることも指す。
8.2.2.1,39,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果として安全性を含めなければならないとある。この場合、「安全性」とはどういう意味か。,選択肢a：製品が使用される際に人や環境に危害を及ぼさないことだけを指す,選択肢b：製品が使用される際に人や環境に危害を及ぼさないことだけでなく、製品が製造される際に人や環境に危害を及ぼさないことも含む,選択肢c：製品が使用される際に人や環境に危害を及ぼさないことだけでなく、製品が製造される際に人や環境に危害を及ぼさないことも含むだけでなく、製品が廃棄される際に人や環境に危害を及ぼさないことも含む,c,要求事項の適合した例：製品が使用される際に人や環境に危害を及ぼさないことだけでなく、製品が製造される際に人や環境に危害を及ぼさないことも含むだけでなく、製品が廃棄される際に人や環境に危害を及ぼさないことも考慮して、安全性を考慮した要求事項を明確化する。例えば、化学薬品設計時に顧客の要求する効果や用量だけでなく、取扱い時や使用時や廃棄時の安全対策や影響評価も踏まえて、安全性を決定する。適合していない例：製品が使用される際に人や環境に危害を及ぼさないことだけを考慮し、製品が製造される際や廃棄される際に人や環境に危害を及ぼさないことは無視して、安全性を考慮した要求事項を明確化する。例えば、食品設計時に顧客の要求する味や栄養だけを考慮し、生産時や廃棄時の衛生管理や環境負荷は考慮しない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、安全性という観点を含めることを求めている。安全性とは、製品が使用される際に人や環境に危害を及ぼさないことだけでなく、製品が製造される際に人や環境に危害を及ぼさないことも含むだけでなく、製品が廃棄される際に人や環境に危害を及ぼさないことも指す。
8.2.2.1,40,-,製品及びサービスに関する要求事項の明確化-補足の要求事項には、製品及び製造工程について組織の知識の結果として環境性能を含めなければならないとある。この場合、「環境性能」とはどういう意味か。,選択肢a：製品が使用される際に環境に与える影響だけを指す,選択肢b：製品が使用される際に環境に与える影響だけでなく、製品が製造される際に環境に与える影響も含む,選択肢c：製品が使用される際に環境に与える影響だけでなく、製品が製造される際に環境に与える影響も含むだけでなく、製品が廃棄される際に環境に与える影響も含む,c,要求事項の適合した例：製品が使用される際に環境に与える影響だけでなく、製品が製造される際に環境に与える影響も含むだけでなく、製品が廃棄される際に環境に与える影響も考慮して、環境性能を考慮した要求事項を明確化する。例えば、紙コップ設計時に顧客の要求する容量や耐久性だけでなく、原料の調達や生産時のエネルギー消費や廃棄時の分解性やリサイクル性も踏まえて、環境性能を決定する。適合していない例：製品が使用される際に環境に与える影響だけを考慮し、製品が製造される際や廃棄される際に環境に与える影響は無視して、環境性能を考慮した要求事項を明確化する。例えば、プラスチック容器設計時に顧客の要求する形や色だけを考慮し、原料の種類や生産時の排出物や廃棄時の分解性やリサイクル性は考慮しない。箇条要求事項の概要詳細解説：この要求事項は、製品及びサービスに関する要求事項を明確化する際に、組織が持つ製品及び製造工程に関する知識を活用して、環境性能という観点を含めることを求めている。環境性能とは、製品が使用される際に環境に与える影響だけでなく、製品が製造される際に環境に与える影響も含むだけでなく、製品が廃棄される際に環境に与える影響も指す。
