8.2.3.1.3,30,-,組織の製造フィージビリティ分析は、以下のどのような場合に実施しなければならないか？,選択肢a：新規の製造技術又は製品技術に対して,選択肢b：変更された製造工程又は製品設計に対して,選択肢c：新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して,c,要求事項の適合した例：顧客から新型車のエンジン部品の引き合いを受けた場合、自社の製造技術で顧客の仕様を満たすことができるか、また既存の工程で生産可能かを分析する。適合していない例：顧客から既存の車種のエンジン部品の引き合いを受けた場合、自社の製造技術で顧客の仕様を満たすことができると仮定して分析を省略する。箇条要求事項の概要詳細解説：組織は、自社の製造工程が一貫して、顧客の規定した全ての技術及び生産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定するための分析を実施するために、部門横断的アプローチを利用しなければならない。組織は、このフィージビリティ分析を、組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して実施しなければならない。
8.2.3.1.3,31,-,組織の製造フィージビリティ分析は、どのような場合に実施しなければならないか？,選択肢a：組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して,選択肢b：組織にとって新規の製造技術又は製品技術に対してのみ,選択肢c：変更された製造工程又は製品設計に対してのみ,a,要求事項の適合した例：新規の金型設計や金型加工に対して、部門横断的アプローチを利用して分析を実施する。適合していない例：既存のプレス製造や射出成型製造に対して、分析を実施しない。箇条要求事項の概要詳細解説：組織は、新規又は変更された技術や設計に対して、部門横断的アプローチを利用して、顧客の規定した全ての技術及び生産能力の要求事項を満たすことができるかどうかを判断するための分析を実施しなければならない。
8.2.3.1.3,32,-,組織の製造フィージビリティ分析では、どのような方法で生産能力の妥当性確認を行うことが望ましいか？,選択肢a：生産稼働、ベンチマーキング調査、又は他の適切な方法で、仕様どおりの製品を要求される速度で生産する能力を確認する。,選択肢b：生産稼働、ベンチマーキング調査、又は他の適切な方法で、仕様どおりの製品を最低限必要な速度で生産する能力を確認する。,選択肢c：生産稼働、ベンチマーキング調査、又は他の適切な方法で、仕様どおりの製品を最大限可能な速度で生産する能力を確認する。,a,要求事項の適合した例：自動機設計や自動機組立に対して、顧客から要求される生産量や納期に応じて、生産能力を検証する。適合していない例：自動機設計や自動機組立に対して、顧客から要求される生産量や納期に関係なく、生産能力を検証する。箇条要求事項の概要詳細解説：組織は、生産稼働、ベンチマーキング調査、又は他の適切な方法で、仕様どおりの製品を要求される速度で生産する能力の妥当性確認を行うことが望ましい。これは、必須ではないが推奨される要件である。
8.2.3.1.3,33,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する目的は何か？,選択肢a：顧客要求事項に対する見解や意見を多角的に集約するため,選択肢b：顧客要求事項に対する責任や負担を分散させるため,選択肢c：顧客要求事項に対するコミュニケーションや調整を円滑化するため,a,要求事項の適合した例：顧客から新規開発された金型設計技術を用いたプレス部品の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門、品質管理部門などが協力して、技術的な要求事項や生産能力の要求事項に対する実現可能性を分析する。適合していない例：顧客から新規開発された金型設計技術を用いたプレス部品の引き合いを受けた場合、金型設計部門だけが独断で実現可能性を判断し、他の部門には連絡しない。箇条要求事項の概要詳細解説：組織は、組織の製造工程が一貫して、顧客の規定した全ての技術及び生産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定するための分析を実施するために、部門横断的アプローチを利用しなければならない。部門横断的アプローチとは、関係する部門や機能が協力して、顧客要求事項に対する見解や意見を多角的に集約し、最適な判断を下すことである。
8.2.3.1.3,34,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用するとはどういうことか？,選択肢a：製品開発に関係する部門や関係者が協力して分析を実施すること。,選択肢b：製品開発に関係しない部門や関係者が客観的に分析を実施すること。,選択肢c：製品開発に関係する部門や関係者が個別に分析を実施すること。,a,要求事項の適合した例：プレス部品脱脂処理に対して、製造部門、品質部門、工程設計部門などが連携して分析を実施する。適合していない例：プレス部品脱脂処理に対して、製造部門だけが分析を実施し、他の部門や関係者の意見を聞かない。箇条要求事項の概要詳細解説：組織は、製品開発に関係する部門や関係者が協力して分析を実施することで、部門横断的アプローチを利用しなければならない。これは、製品の品質や生産性を向上させるために必要な要件である。
8.2.3.1.3,35,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する際に必要なことは何か？,選択肢a：関係する部門や機能の代表者を決めること,選択肢b：関係する部門や機能の役割や責任を明確にすること,選択肢c：関係する部門や機能の意思決定プロセスを定めること,b,要求事項の適合した例：顧客から新規開発された脱脂処理技術を用いたプレス部品の引き合いを受けた場合、プレス部門、脱脂処理部門、品質管理部門などが協力して、フィージビリティ分析を行う前に、各部門の役割や責任を明確にし、誰が何をするかを決める。適合していない例：顧客から新規開発された脱脂処理技術を用いたプレス部品の引き合いを受けた場合、プレス部門、脱脂処理部門、品質管理部門などが協力して、フィージビリティ分析を行うが、各部門の役割や責任が不明確で、誰が何をするかが決まらない。箇条要求事項の概要詳細解説：組織は、組織の製造工程が一貫して、顧客の規定した全ての技術及び生産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定するための分析を実施するために、部門横断的アプローチを利用しなければならない。部門横断的アプローチとは、関係する部門や機能が協力して、顧客要求事項に対する見解や意見を多角的に集約し、最適な判断を下すことである。その際には、各部門や機能の役割や責任を明確にし、誰が何をするかを決めることが必要である。
8.2.3.1.3,36,-,組織は、新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対してフィージビリティ分析を実施しなければならないが、その基準はどのように決めるべきか？,選択肢a：顧客からの指示や要望に従って決めること,選択肢b：自社内で定めた基準やガイドラインに従って決めること,選択肢c：外部から入手した基準やガイドラインに従って決めること,b,要求事項の適合した例：組織は、新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対してフィージビリティ分析を実施する基準やガイドラインを自社内で定め、それに従って分析の必要性や範囲を決める。適合していない例：組織は、新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対してフィージビリティ分析を実施する基準やガイドラインを自社内で定めていないか、あってもそれに従わない。箇条要求事項の概要詳細解説：組織は、このフィージビリティ分析を、組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して実施しなければならない。その際には、自社内で定めた基準やガイドラインに従って、分析の必要性や範囲を決めることが望ましい。顧客からの指示や要望だけではなく、自社の事情やリスクも考慮することが重要である。
8.2.3.1.3,37,-,組織の製造フィージビリティ分析において、設備投資（製造設備・計測機器等）のコストを評価する際に、どのような要素を考慮しなければならないか？,選択肢a：設備投資のコストと製品の売上価格とのバランスを考慮する。,選択肢b：設備投資のコストと製品の品質とのバランスを考慮する。,選択肢c：設備投資のコストと製品の生産性とのバランスを考慮する。,c,要求事項の適合した例：プレス製造能力レベル3【高速プレス機で高精度な製品を大量に生産できる能力】を実現するために、高速プレス機や高精度な計測機器などの設備投資を行う際に、そのコストと製品の生産性とのバランスを評価する。適合していない例：プレス製造能力レベル3を実現するために、高速プレス機や高精度な計測機器などの設備投資を行う際に、そのコストと製品の売上価格や品質とのバランスを評価しない。箇条要求事項の概要詳細解説：組織は、設備投資（製造設備・計測機器等）のコストを評価する際に、そのコストと製品の生産性とのバランスを考慮しなければならない。これは、顧客の規定した全ての技術及び生産能力の要求事項を満たすことができるかどうかを判断するために必要な要件である。
8.2.3.1.3,38,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する際に、以下の記号変換表を用いて、関係する部門や機能の代表者を決めることが望ましいとされる理由は何か？【記号変換表とは、顧客要求事項に対応するために必要な製造工程や製品設計の変更内容を、各部門や機能が理解できるように記号化したものである。例えば、金型設計部門が提案した金型設計の変更内容を、金型加工部門やプレス部門が理解できるように記号化したものである。】,選択肢a：記号変換表を用いることで、顧客要求事項に対応するための製造工程や製品設計の変更内容を、各部門や機能が共通の言語で理解できるようになるため,選択肢b：記号変換表を用いることで、顧客要求事項に対応するための製造工程や製品設計の変更内容を、各部門や機能が自分たちの専門分野で理解できるようになるため,選択肢c：記号変換表を用いることで、顧客要求事項に対応するための製造工程や製品設計の変更内容を、各部門や機能が他の部門や機能に説明しやすくなるため,a,要求事項の適合した例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力して、フィージビリティ分析を行う前に、関係する部門や機能の代表者を決め、記号変換表を用いて、顧客要求事項に対応するための金型設計技術やプレス製造技術の変更内容を共有する。適合していない例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門だけがフィージビリティ分析を行った後、記号変換表を用いずに、金型加工部門やプレス部門に金型設計技術やプレス製造技術の変更内容を伝える。箇条要求事項の概要詳細解説：組織は、組織の製造工程が一貫して、顧客の規定した全ての技術及び生産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定するための分析を実施するために、部門横断的アプローチを利用しなければならない。部門横断的アプローチとは、関係する部門や機能が協力して、顧客要求事項に対する見解や意見を多角的に集約し、最適な判断を下すことである。その際には、関係する部門や機能の代表者を決めることが望ましい。また、記号変換表を用いることで、顧客要求事項に対応するための製造工程や製品設計の変更内容を、各部門や機能が共通の言語で理解できるようになることが望ましい。
8.2.3.1.3,39,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する際に、以下のどのような方法が適切でないか？,選択肢a：関係する部門や機能の代表者が定期的に会議を開いて、顧客要求事項に対する実現可能性を議論すること,選択肢b：関係する部門や機能の代表者が各自で顧客要求事項に対する実現可能性を判断し、最終的に統合すること,選択肢c：関係する部門や機能の代表者が共通のデータベースやツールを用いて、顧客要求事項に対する実現可能性を共有すること,b,要求事項の適合した例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力して、定期的に会議を開いたり、共通のデータベースやツールを用いたりして、顧客要求事項に対する実現可能性を議論し、最適な判断を下す。適合していない例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力せずに、各自で顧客要求事項に対する実現可能性を判断し、最終的に統合する。箇条要求事項の概要詳細解説：組織は、組織の製造工程が一貫して、顧客の規定した全ての技術及び生産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定するための分析を実施するために、部門横断的アプローチを利用しなければならない。部門横断的アプローチとは、関係する部門や機能が協力して、顧客要求事項に対する見解や意見を多角的に集約し、最適な判断を下すことである。その際には、関係する部門や機能の代表者が定期的に会議を開いたり、共通のデータベースやツールを用いたりして、顧客要求事項に対する実現可能性を共有することが望ましい。各自で判断し、最終的に統合することは適切でない。
8.2.3.1.3,40,-,組織の製造フィージビリティ分析において、金型のコストと製品の売上価格とのバランスを評価する際に、どのような指標を用いることが望ましいか？,選択肢a：金型のコストと製品の売上価格との比率を用いる。,選択肢b：金型のコストと製品の利益率との比率を用いる。,選択肢c：金型のコストと製品の回収期間との比率を用いる。,c,要求事項の適合した例：射出成型製品に対して、高精度な金型を設計や加工する際に、そのコストと製品の回収期間との比率を用いて、バランスを評価する。例えば、金型のコストが1000万円で、製品の売上価格が100円で、月間生産量が10万個であれば、回収期間は100ヶ月となり、バランスが悪いと判断する。適合していない例：射出成型製品に対して、高精度な金型を設計や加工する際に、そのコストと製品の売上価格や利益率との比率を用いて、バランスを評価しない。例えば、金型のコストが1000万円で、製品の売上価格が100円で、利益率が10%であれば、比率は1000倍となり、バランスが良いと判断する。箇条要求事項の概要詳細解説：組織は、金型のコストと製品の売上価格とのバランスを評価する際に、そのコストと製品の回収期間との比率を用いることが望ましい。これは、顧客から要求される生産量や納期に応じて、投資効果を判断するために必要な指標である。
