8.3.4.1,30,-,製品及び工程の設計・開発中の規定された段階での測定項目を定める際に参考にすべきコアツールはどれか。,選択肢a：FMEA,選択肢b：APQP,選択肢c：MSA,b,測定項目を定める際には、APQPのフローに従って各段階で必要なインプット項目を確認することが重要である。FMEAやMSAは測定項目の一部ではあるが、全体をカバーするものではない。8.3.4.1項の監視では、設計開発の進捗状況をマネジメントレビューへのインプットとすることを要求しているため、節目管理（DR）をきちんと行うことを意図している。
8.3.4.1,31,-,製品及び工程の設計・開発中の規定された段階での測定項目を分析し、その要約した結果を報告する対象者は誰か。,選択肢a：顧客,選択肢b：トップマネジメント,選択肢c：設計・開発チーム,b,測定項目の分析結果は、マネジメントレビューへのインプットとしてトップマネジメントに報告する必要がある。顧客には必要に応じて報告することが求められるが、必須ではない。設計・開発チームは分析結果を活用して改善策を検討することが求められるが、報告対象者ではない。8.3.4.1項の監視では、設計開発の進捗状況をマネジメントレビューへのインプットとすることを要求しているため、節目管理（DR）をきちんと行うことを意図している。
8.3.4.1,32,-,製品及び工程の設計・開発中の規定された段階での測定項目に含めてもよいものはどれか。,選択肢a：品質リスク,選択肢b：顧客満足度,選択肢c：製品特性,a,品質リスクは、8.3.4.1項の注記で測定項目に含めてもよいとされている。顧客満足度は、8.2.1項や9.1.2項で測定するものであり、設計・開発中に測定するものではない。製品特性は、8.3.5項で設計・開発からのアウトプットとして確認するものであり、測定項目として定めるものではない。8.3.4.1項の監視では、設計開発の進捗状況をマネジメントレビューへのインプットとすることを要求しているため、節目管理（DR）をきちんと行うことを意図している。
8.3.4.1,33,-,工程設計において、【工程能力指数(Cp)】とは何を表すか。,選択肢a：工程のばらつきと規格幅の比率を表す指数である。,選択肢b：工程の中心値と規格中心値の差と規格幅の比率を表す指数である。,選択肢c：工程のばらつきと規格幅の比率と工程の中心値と規格中心値の差と規格幅の比率の和を表す指数である。,a,要求事項の適合した例：Cp=1.33となる工程は、規格幅に対して工程のばらつきが小さく、高い品質を持つと言える。要求事項の適合していない例：Cp=0.67となる工程は、規格幅に対して工程のばらつきが大きく、低い品質を持つと言える。箇条要求事項の概要詳細解説：工程能力指数(Cp)は、工程がどれだけ規格に収まっているかを示す指標である。Cpが大きいほど、工程は規格に対して余裕があり、品質が高いと評価される。Cpが小さいほど、工程は規格に対して余裕がなく、品質が低いと評価される。Cpは、次式で計算される。 Cp=(USL-LSL)/(6σ) ここで、USLは上限規格値、LSLは下限規格値、σは工程の標準偏差である。
8.3.4.1,34,-,工程設計において、顧客に要求される場合、製品及び工程の開発活動の測定項目は、規定された段階で顧客に報告する、又は顧客に合意されなければならない。この要求事項を満たすためには、どのような工程管理手法が有効か。,選択肢a：【APQP】という工程管理手法が有効である。【APQP】とは、Advanced Product Quality Planningの略で、製品企画終了時、製品の設計・開発終了時、工程設計終了時、量産試作終了～量産開始前の4段階で測定項目を顧客に報告する手法である。,選択肢b：【DMAIC】という工程管理手法が有効である。【DMAIC】とは、Define-Measure-Analyze-Improve-Controlの略で、プロジェクトの目的やスコープを明確化し、測定項目を定義し、分析し、改善し、制御する手法である。,選択肢c：【PDCA】という工程管理手法が有効である。【PDCA】とは、Plan-Do-Check-Actの略で、計画を立てて実行し、結果をチェックして改善策を実施する手法である。,a,要求事項の適合した例：自動車メーカーが新型車の開発を行う際にAPQPを用いて測定項目を顧客に報告する場合。適合していない例：ソフトウエア開発会社が新規システムの開発を行う際にPDCAサイクルを回して測定項目を顧客に報告する場合。箇条要求事項の概要詳細解説：この問題では，工程設計において，顧客に要求される場合，製品及び工程の開発活動の測定項目は，規定された段階で顧客に報告する，又は顧客に合意されなければならないという要求事項が与えられている．この要求事項を満たすためには，製品や工程の開発活動を段階的に分けて，各段階で測定項目を決めて，それらを顧客と共有することが必要である．このような工程管理手法として，APQPが有効である．APQPは，製品企画終了時，製品の設計・開発終了時，工程設計終了時，量産試作終了～量産開始前の4段階で測定項目を顧客に報告する手法であり，自動車業界では広く用いられている．一方，DMAICやPDCAは，プロジェクト全体を一つのサイクルとして捉えて，測定項目を定義し，分析し，改善し，制御する手法である．これらの手法は，顧客に要求される場合に，規定された段階で測定項目を報告するという要求事項を満たすことができない．したがって，正解は選択肢aである．
8.3.4.1,35,-,工程設計において、顧客に要求される場合、製品及び工程の開発活動の測定項目は、規定された段階で顧客に報告する、又は顧客に合意されなければならない。この要求事項を満たすためには、測定項目をどのように決めるべきか。,選択肢a：測定項目は、製品や工程の開発活動の目的やスコープに応じて、SMART原則に基づいて決めるべきである。SMART原則とは、Specific (明確)・Measurable (測定可能)・Achievable (達成可能)・Relevant (関連性)・Time-bound (期限付き)の略である。,選択肢b：測定項目は、製品や工程の開発活動のリスクやコストに応じて、KPI原則に基づいて決めるべきである。KPI原則とは、Key Performance Indicator (重要業績評価指標)の略である。,選択肢c：測定項目は、製品や工程の開発活動の品質やリードタイムに応じて、QCD原則に基づいて決めるべきである。QCD原則とは、Quality (品質)・Cost (コスト)・Delivery (納期)の略である。,a,要求事項の適合した例：家電メーカーが新型冷蔵庫の開発を行う際にSMART原則に基づいて測定項目を顧客に報告する場合。適合していない例：食品メーカーが新商品の開発を行う際にQCD原則に基づいて測定項目を顧客に報告する場合。箇条要求事項の概要詳細解説：この問題では，工程設計において，顧客に要求される場合，製品及び工程の開発活動の測定項目は，規定された段階で顧客に報告する，又は顧客に合意されなければならないという要求事項が与えられている．この要求事項を満たすためには，測定項目をどのように決めるべきかという問いが出されている．測定項目とは，プロジェクトの進捗や成果を評価するための指標であり，その決め方はプロジェクト管理の重要な要素である．測定項目を決める際には，SMART原則が有効である．SMART原則とは，Specific (明確)・Measurable (測定可能)・Achievable (達成可能)・Relevant (関連性)・Time-bound (期限付き)の略であり，測定項目がこれらの条件を満たすように設定することで，プロジェクトの目的やスコープに応じた適切な測定項目を決めることができる．一方，KPI原則やQCD原則は，測定項目を決める際の原則ではなく，測定項目の一種である．KPI原則とは，Key Performance Indicator (重要業績評価指標)の略であり，プロジェクトの成果や効果を測るための指標である．QCD原則とは，Quality (品質)・Cost (コスト)・Delivery (納期)の略であり，プロジェクトの品質やコストや納期を測るための指標である．これらの指標は，測定項目として用いられることがあるが，それらが必ずしもプロジェクトの目的やスコープに応じた適切な測定項目であるとは限らない．したがって，正解は選択肢aである．
8.3.4.1,36,-,工程設計において、顧客に要求される場合、製品及び工程の開発活動の測定項目は、規定された段階で顧客に報告する、又は顧客に合意されなければならない。この要求事項を満たすためには、測定項目を報告する際には、どのような書式や方法が適切か。,選択肢a：測定項目を報告する際には，【PPAP】という書式や方法が適切である。【PPAP】とは，Production Part Approval Processの略で，製品や工程の開発活動の測定項目を顧客に提出するための書式や方法である。,選択肢b：測定項目を報告する際には，【FMEA】という書式や方法が適切である。【FMEA】とは，Failure Mode and Effect Analysisの略で，製品や工程の開発活動のリスクや影響を分析するための書式や方法である。,選択肢c：測定項目を報告する際には，【QFD】という書式や方法が適切である。【QFD】とは，Quality Function Deploymentの略で，製品や工程の開発活動の顧客要求を機能や特性に落とし込むための書式や方法である。,a,要求事項の適合した例：自動車部品メーカーが新型ブレーキシステムの開発を行う際にPPAPを用いて測定項目を顧客に報告する場合。適合していない例：医療機器メーカーが新型人工心臓の開発を行う際にQFDを用いて測定項目を顧客に報告する場合。箇条要求事項の概要詳細解説：この問題では，工程設計において，顧客に要求される場合，製品及び工程の開発活動の測定項目は，規定された段階で顧客に報告する，又は顧客に合意されなければならないという要求事項が与えられている．この要求事項を満たすためには，測定項目を報告する際には，どのような書式や方法が適切かという問いが出されている．測定項目を報告する際には，PPAPという書式や方法が適切である．PPAPとは，Production Part Approval Processの略で，製品や工程の開発活動の測定項目を顧客に提出するための書式や方法であり，自動車業界では広く用いられている．PPAPでは，製品や工程の設計・開発・試作・量産・検査などの各段階で必要な文書やデータをまとめてパッケージ化し，それらを顧客に提出することで，測定項目を報告することができる．一方，FMEAやQFDは，測定項目を報告する際の書式や方法ではなく，測定項目を決める際の分析や設計のツールである．FMEAとは，Failure Mode and Effect Analysisの略で，製品や工程の開発活動のリスクや影響を分析するためのツールである．QFDとは，Quality Function Deploymentの略で，製品や工程の開発活動の顧客要求を機能や特性に落とし込むためのツールである．これらのツールは，測定項目を決める際に用いられることがあるが，それらを顧客に報告するという要求事項を満たすことができない．したがって，正解は選択肢aである．
8.3.4.1,37,-,工程設計において、顧客に要求される場合、製品及び工程の開発活動の測定項目は、規定された段階で顧客に報告する、又は顧客に合意されなければならない。この要求事項を満たすためには、測定項目を報告する際には、どのようなタイミングや頻度が適切か。,選択肢a：測定項目を報告する際には，【APQP】の各段階の終了時に一括して報告するタイミングと，月次で報告する頻度が適切である。【APQP】とは，Advanced Product Quality Planningの略で，製品企画終了時，製品の設計・開発終了時，工程設計終了時，量産試作終了～量産開始前の4段階で測定項目を顧客に報告する手法である。,選択肢b：測定項目を報告する際には，【PDCA】サイクルの各ステップの終了時に逐次的に報告するタイミングと，週次で報告する頻度が適切である。【PDCA】サイクルとは，Plan-Do-Check-Actの略で，計画を立てて実行し，結果をチェックして改善策を実施する手法である。,選択肢c：測定項目を報告する際には，【DMAIC】の各段階の終了時に一括して報告するタイミングと，四半期ごとで報告する頻度が適切である。【DMAIC】とは，Define-Measure-Analyze-Improve-Controlの略で，プロジェクトの目的やスコープを明確化し，測定項目を定義し，分析し，改善し，制御する手法である。,a,要求事項の適合した例：自動車メーカーが新型車の開発を行う際にAPQPの各段階の終了時に一括して測定項目を顧客に報告し，月次で進捗状況を報告する場合。適合していない例：建設会社が新築ビルの開発を行う際にPDCAサイクルの各ステップの終了時に逐次的に測定項目を顧客に報告し，週次で進捗状況を報告する場合。箇条要求事項の概要詳細解説：この問題では，工程設計において，顧客に要求される場合，製品及び工程の開発活動の測定項目は，規定された段階で顧客に報告する，又は顧客に合意されなければならないという要求事項が与えられている．この要求事項を満たすためには，測定項目を報告する際には，どのようなタイミングや頻度が適切かという問いが出されている．測定項目を報告する際には，APQPの各段階の終了時に一括して報告するタイミングと，月次で報告する頻度が適切である．APQPとは，Advanced Product Quality Planningの略で，製品企画終了時，製品の設計・開発終了時，工程設計終了時，量産試作終了～量産開始前の4段階で測定項目を顧客に報告する手法であり，自動車業界では広く用いられている．APQPでは，各段階の終了時に測定項目をまとめてパッケージ化して顧客に提出することで，測定項目を一括して報告することができる．また，月次で進捗状況を報告することで，顧客とのコミュニケーションを維持することができる．一方，PDCAサイクルやDMAICは，プロジェクト全体を一つのサイクルとして捉えて，測定項目を定義し，分析し，改善し，制御する手法である．これらの手法では，各ステップや段階の終了時に測定項目を逐次的に報告することが多いが，それらが必ずしも顧客に要求される場合に規定された段階で測定項目を報告するという要求事項を満たすことができない．また，週次や四半期ごとの報告は，プロジェクトの規模や期間によっては適切ではない場合がある．したがって，正解は選択肢aである．
8.3.4.1,38,-,工程設計において、顧客に要求される場合、製品及び工程の開発活動の測定項目は、規定された段階で顧客に報告する、又は顧客に合意されなければならない。この要求事項を満たすためには、測定項目を報告する際には、どのような内容や形式が適切か。,選択肢a：測定項目を報告する際には，【PSW】という内容や形式が適切である。【PSW】とは，Part Submission Warrantの略で，製品や工程の開発活動の測定項目を顧客に提出するための文書である。,選択肢b：測定項目を報告する際には，【DFM】という内容や形式が適切である。【DFM】とは，Design For Manufacturingの略で，製品や工程の開発活動の製造性を考慮した設計を行うための手法である。,選択肢c：測定項目を報告する際には，【SPC】という内容や形式が適切である。【SPC】とは，Statistical Process Controlの略で，製品や工程の開発活動のプロセスを統計的に管理するための手法である。,a,要求事項の適合した例：自動車部品メーカーが新型エンジンの開発を行う際にPSWを用いて測定項目を顧客に報告する場合。適合していない例：半導体メーカーが新型チップの開発を行う際にSPCを用いて測定項目を顧客に報告する場合。箇条要求事項の概要詳細解説：この問題では，工程設計において，顧客に要求される場合，製品及び工程の開発活動の測定項目は，規定された段階で顧客に報告する，又は顧客に合意されなければならないという要求事項が与えられている．この要求事項を満たすためには，測定項目を報告する際には，どのような内容や形式が適切かという問いが出されている．測定項目を報告する際には，PSWという内容や形式が適切である．PSWとは，Part Submission Warrantの略で，製品や工程の開発活動の測定項目を顧客に提出するための文書であり，自動車業界では広く用いられている．PSWでは，製品や工程の設計・開発・試作・量産・検査などの各段階で必要な文書やデータをまとめてパッケージ化し，それらを顧客に提出することで，測定項目を報告することができる．一方，DFMやSPCは，測定項目を報告する際の内容や形式ではなく，測定項目を決める際の分析や設計や管理のツールである．DFMとは，Design For Manufacturingの略で，製品や工程の開発活動の製造性を考慮した設計を行うための手法である．SPCとは，Statistical Process Controlの略で，製品や工程の開発活動のプロセスを統計的に管理するための手法である．これらのツールは，測定項目を決める際に用いられることがあるが，それらを顧客に報告するという要求事項を満たすことができない．したがって，正解は選択肢aである．
8.3.4.1,39,-,工程設計において、顧客に要求される場合、製品及び工程の開発活動の測定項目は、規定された段階で顧客に報告する、又は顧客に合意されなければならない。この要求事項を満たすためには、測定項目を報告する際には、どのような基準や手順が適切か。,選択肢a：測定項目を報告する際には，【ISO 9001】という基準や手順が適切である。【ISO 9001】とは，品質マネジメントシステムの国際規格で，製品や工程の開発活動の測定項目を顧客に報告するための基準や手順を定めている。,選択肢b：測定項目を報告する際には，【IATF 16949】という基準や手順が適切である。【IATF 16949】とは，自動車業界向けの品質マネジメントシステムの国際規格で，製品や工程の開発活動の測定項目を顧客に報告するための基準や手順を定めている。,選択肢c：測定項目を報告する際には，【ISO 14001】という基準や手順が適切である。【ISO 14001】とは，環境マネジメントシステムの国際規格で，製品や工程の開発活動の環境への影響を評価するための基準や手順を定めている。,b,要求事項の適合した例：自動車部品メーカーが新型エアバッグの開発を行う際にIATF 16949を用いて測定項目を顧客に報告する場合。適合していない例：食品メーカーが新型チョコレートの開発を行う際にISO 14001を用いて測定項目を顧客に報告する場合。箇条要求事項の概要詳細解説：この問題では，工程設計において，顧客に要求される場合，製品及び工程の開発活動の測定項目は，規定された段階で顧客に報告する，又は顧客に合意されなければならないという要求事項が与えられている．この要求事項を満たすためには，測定項目を報告する際には，どのような基準や手順が適切かという問いが出されている．測定項目を報告する際には，IATF 16949という基準や手順が適切である．IATF 16949とは，自動車業界向けの品質マネジメントシステムの国際規格で，製品や工程の開発活動の測定項目を顧客に報告するための基準や手順を定めている．IATF 16949では，製品や工程の設計・開発・試作・量産・検査などの各段階で必要な文書やデータをまとめてパッケージ化し，それらを顧客に提出することで，測定項目を報告することができる．また，IATF 16949は，ISO 9001という品質マネジメントシステムの国際規格に準拠しており，ISO 9001に加えて，自動車業界特有の要求事項を満たすことができる．一方，ISO 14001は，環境マネジメントシステムの国際規格で，製品や工程の開発活動の環境への影響を評価するための基準や手順を定めている．これは，測定項目を報告する際の基準や手順ではなく，測定項目を決める際の評価や管理のツールである．したがって，正解は選択肢bである．
8.3.4.1,40,-,工程設計において、顧客に要求される場合、製品及び工程の開発活動の測定項目は、規定された段階で顧客に報告する、又は顧客に合意されなければならない。この要求事項を満たすためには、測定項目を報告する際には、どのような方法やツールが適切か。,選択肢a：測定項目を報告する際には，【FMEA】という方法やツールが適切である。【FMEA】とは，Failure Mode and Effect Analysisの略で，製品や工程の開発活動の潜在的な不具合やその影響を分析するための方法やツールである。,選択肢b：測定項目を報告する際には，【QFD】という方法やツールが適切である。【QFD】とは，Quality Function Deploymentの略で，製品や工程の開発活動の顧客要求を品質特性に変換するための方法やツールである。,選択肢c：測定項目を報告する際には，【PPAP】という方法やツールが適切である。【PPAP】とは，Production Part Approval Processの略で，製品や工程の開発活動の測定項目を顧客に承認してもらうための方法やツールである。,c,要求事項の適合した例：自動車部品メーカーが新型ブレーキシステムの開発を行う際にPPAPを用いて測定項目を顧客に報告する場合。適合していない例：家電メーカーが新型冷蔵庫の開発を行う際にFMEAを用いて測定項目を顧客に報告する場合。箇条要求事項の概要詳細解説：この問題では，工程設計において，顧客に要求される場合，製品及び工程の開発活動の測定項目は，規定された段階で顧客に報告する，又は顧客に合意されなければならないという要求事項が与えられている．この要求事項を満たすためには，測定項目を報告する際には，どのような方法やツールが適切かという問いが出されている．測定項目を報告する際には，PPAPという方法やツールが適切である．PPAPとは，Production Part Approval Processの略で，製品や工程の開発活動の測定項目を顧客に承認してもらうための方法やツールであり，自動車業界では広く用いられている．PPAPでは，製品や工程の設計・開発・試作・量産・検査などの各段階で必要な文書やデータをまとめてパッケージ化し，それらを顧客に提出することで，測定項目を報告することができる．また，PPAPは，顧客の要求事項に応じて，承認のレベルや範囲を変えることができる．一方，FMEAやQFDは，測定項目を報告する際の方法やツールではなく，測定項目を決める際の分析や設計のツールである．FMEAとは，Failure Mode and Effect Analysisの略で，製品や工程の開発活動の潜在的な不具合やその影響を分析するための方法やツールである．QFDとは，Quality Function Deploymentの略で，製品や工程の開発活動の顧客要求を品質特性に変換するための方法やツールである．これらのツールは，測定項目を決める際に用いられることがあるが，それらを顧客に報告するという要求事項を満たすことができない．したがって，正解は選択肢cである．
