8.4.1.1,30,-,組織は、顧客要求事項に影響する全ての製品及びサービスを、外部から提供される製品、プロセス及びサービスの定義の範囲に含めなければならない。この要求事項に適合しているのはどれか？,選択肢a：購買部門は、材料・部品・工程外注先だけを管理対象とする。,選択肢b：購買部門は、製品品質に影響を及ぼす外注先だけを管理対象とする。,選択肢c：購買部門は、製品品質に影響を及ぼす可能性のある外注先全てを管理対象とする。,c,要求事項の適合した例：組織は、サブアセンブリ、整列、選別、手直し及び校正サービスなどの外注先も管理対象としている。要求事項の適合していない例：組織は、物流業者や外部試験所などの外注先を管理対象としていない。箇条要求事項の概要詳細解説：この要求事項は、ISO9001で管理すべきだった材料・部品・工程外注先から管理対象が広くなっていることを意味している。製品品質に影響を及ぼす可能性のある全ての外注先を管理対象とする必要がある。
8.4.1.1,31,-,組織は、外部から提供される製品、プロセス及びサービスの定義の範囲に含めるべき外注先を決定する際に、以下のどれを参考にしなければならないか？,選択肢a：顧客要求事項と法令・規制要求事項。,選択肢b：顧客指定の供給者と供給者選定プロセス。,選択肢c：供給者のパフォーマンス評価と供給者開発。,a,要求事項の適合した例：組織は、顧客から指示された外注先や法令・規制で必要とされる外注先を管理対象としている。要求事項の適合していない例：組織は、自社で決めた基準や優先順位で外注先を管理対象としている。箇条要求事項の概要詳細解説：この要求事項は、外部から提供される製品、プロセス及びサービスの定義の範囲に含めるべき外注先を決定する際に、顧客要求事項と法令・規制要求事項を参考にしなければならないことを意味している。顧客指定の供給者や供給者選定プロセスは、その後の段階で考慮する必要がある。
8.4.1.1,32,-,組織が金型設計や金型加工を外部から提供されるプロセスとして管理する場合、以下のどれが必要か？,選択肢a：金型設計や金型加工に関する技術的な情報や仕様書を外部提供者に明確に伝えること。,選択肢b：金型設計や金型加工に関する自動車産業特有のソフトウェアや組込みソフトウェアをもつ製品であることを確認すること。,選択肢c：金型設計や金型加工に関する法令・規制要求事項や顧客指定の供給者であることを確認すること。,a,要求事項の適合した例：組織は、金型設計や金型加工に関する技術的な情報や仕様書を外部提供者に明確に伝えており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、金型設計や金型加工に関する技術的な情報や仕様書を外部提供者に十分に伝えておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるプロセスとして管理する場合、そのプロセスに関する技術的な情報や仕様書を外部提供者に明確に伝えることが必要であることを意味している。自動車産業特有のソフトウェアや組込みソフトウェアをもつ製品であるかどうかは、8.4.2.3.1項で別途考慮する必要がある。
8.4.1.1,33,-,組織がプレス製造や射出成型製造を外部から提供されるプロセスとして管理する場合、以下のどれが必要か？,選択肢a：プレス製造や射出成型製造に関する品質計画や品質目標を外部提供者と共有すること。,選択肢b：プレス製造や射出成型製造に関する特殊特性やリスク分析を外部提供者と共有すること。,選択肢c：プレス製造や射出成型製造に関する設計変更や工程変更を外部提供者に承認させること。,b,要求事項の適合した例：組織は、プレス製造や射出成型製造に関する特殊特性やリスク分析を外部提供者と共有しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、プレス製造や射出成型製造に関する特殊特性やリスク分析を外部提供者と共有しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるプロセスとして管理する場合、そのプロセスに関する特殊特性やリスク分析を外部提供者と共有することが必要であることを意味している。品質計画や品質目標は、8.1.1項で別途考慮する必要がある。設計変更や工程変更は、8.3.6.1項や8.5.6.1項で別途考慮する必要がある。
8.4.1.1,34,-,組織が自動機設計や自動機組立を外部から提供されるサービスとして管理する場合、以下のどれが必要か？,選択肢a：自動機設計や自動機組立に関する顧客のフィードバックや苦情を外部提供者に報告すること。,選択肢b：自動機設計や自動機組立に関するコアツールの適用範囲や方法を外部提供者に指示すること。,選択肢c：自動機設計や自動機組立に関する監査計画や監査結果を外部提供者に通知すること。,b,要求事項の適合した例：組織は、自動機設計や自動機組立に関するコアツールの適用範囲や方法を外部提供者に指示しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、自動機設計や自動機組立に関するコアツールの適用範囲や方法を外部提供者に指示しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるサービスとして管理する場合、そのサービスに関するコアツールの適用範囲や方法を外部提供者に指示することが必要であることを意味している。コアツールとは、APQP、PPAP、FMEA、MSA、SPCなどの自動車産業で使用される品質管理手法のことである。顧客のフィードバックや苦情は、9.1.2項で別途考慮する必要がある。監査計画や監査結果は、8.4.2.4項で別途考慮する必要がある。
8.4.1.1,35,-,組織がプレス部品脱脂処理を外部から提供されるサービスとして管理する場合、以下のどれが必要か？,選択肢a：プレス部品脱脂処理に関する製品安全性や機能性に関する要求事項を外部提供者に伝えること。,選択肢b：プレス部品脱脂処理に関する環境保護や廃棄物管理に関する要求事項を外部提供者に伝えること。,選択肢c：プレス部品脱脂処理に関するコスト削減やリードタイム短縮に関する要求事項を外部提供者に伝えること。,b,要求事項の適合した例：組織は、プレス部品脱脂処理に関する環境保護や廃棄物管理に関する要求事項を外部提供者に伝えており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、プレス部品脱脂処理に関する環境保護や廃棄物管理に関する要求事項を外部提供者に伝えておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるサービスとして管理する場合、そのサービスに関する環境保護や廃棄物管理に関する要求事項を外部提供者に伝えることが必要であることを意味している。製品安全性や機能性に関する要求事項は、8.3.3.3項で別途考慮する必要がある。コスト削減やリードタイム短縮に関する要求事項は、8.4.3.1項で別途考慮する必要がある。
8.4.1.1,36,-,組織が金型組立を外部から提供されるプロセスとして管理する場合、以下のどれが必要か？,選択肢a：金型組立に関する設計入力や設計出力を外部提供者と確認すること。,選択肢b：金型組立に関する製造能力試験や製品承認プロセスを外部提供者と実施すること。,選択肢c：金型組立に関する保守計画や予防保全活動を外部提供者と実施すること。,b,要求事項の適合した例：組織は、金型組立に関する製造能力試験や製品承認プロセスを外部提供者と実施しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、金型組立に関する製造能力試験や製品承認プロセスを外部提供者と実施しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるプロセスとして管理する場合、そのプロセスに関する製造能力試験や製品承認プロセスを外部提供者と実施することが必要であることを意味している。設計入力や設計出力は、8.3.3項で別途考慮する必要がある。保守計画や予防保全活動は、8.5.1.5項で別途考慮する必要がある。
8.4.1.1,37,-,組織が塗装を外部から提供される製品として管理する場合、以下のどれが必要か？,選択肢a：塗装に関する特殊特性や製品安全性に関する要求事項を外部提供者に伝えること。,選択肢b：塗装に関する環境保護や廃棄物管理に関する要求事項を外部提供者に伝えること。,選択肢c：塗装に関するコスト削減やリードタイム短縮に関する要求事項を外部提供者に伝えること。,a,要求事項の適合した例：組織は、塗装に関する特殊特性や製品安全性に関する要求事項を外部提供者に伝えており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、塗装に関する特殊特性や製品安全性に関する要求事項を外部提供者に伝えておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供される製品として管理する場合、その製品に関する特殊特性や製品安全性に関する要求事項を外部提供者に伝えることが必要であることを意味している。特殊特性や製品安全性に関する要求事項は、8.3.3.3項で別途考慮する必要がある。環境保護や廃棄物管理に関する要求事項は、8.4.1.1項で別途考慮する必要がある。コスト削減やリードタイム短縮に関する要求事項は、8.4.3.1項で別途考慮する必要がある。
8.4.1.1,38,-,組織が設計開発を外部から提供されるサービスとして管理する場合、以下のどれが必要か？,選択肢a：設計開発に関する設計入力や設計出力を外部提供者と確認すること。,選択肢b：設計開発に関する製造能力試験や製品承認プロセスを外部提供者と実施すること。,選択肢c：設計開発に関する保守計画や予防保全活動を外部提供者と実施すること。,a,要求事項の適合した例：組織は、設計開発に関する設計入力や設計出力を外部提供者と確認しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、設計開発に関する設計入力や設計出力を外部提供者と確認しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるサービスとして管理する場合、そのサービスに関する設計入力や設計出力を外部提供者と確認することが必要であることを意味している。設計入力や設計出力は、8.3.3項で別途考慮する必要がある。製造能力試験や製品承認プロセスは、8.4.2.1項で別途考慮する必要がある。保守計画や予防保全活動は、8.5.1.5項で別途考慮する必要がある。
8.4.1.1,39,-,組織が試験を外部から提供されるサービスとして管理する場合、以下のどれが必要か？,選択肢a：試験に関する試験方法や試験結果を外部提供者と確認すること。,選択肢b：試験に関する校正や検定を外部提供者と実施すること。,選択肢c：試験に関する保管や廃棄を外部提供者と実施すること。,a,要求事項の適合した例：組織は、試験に関する試験方法や試験結果を外部提供者と確認しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、試験に関する試験方法や試験結果を外部提供者と確認しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるサービスとして管理する場合、そのサービスに関する試験方法や試験結果を外部提供者と確認することが必要であることを意味している。試験方法や試験結果は、8.3.2項で別途考慮する必要がある。校正や検定は、7.1.5.2項で別途考慮する必要がある。保管や廃棄は、8.5.4項で別途考慮する必要がある。
8.4.1.1,40,-,組織が物流を外部から提供されるサービスとして管理する場合、以下のどれが必要か？,選択肢a：物流に関する配送条件や配送先を外部提供者と確認すること。,選択肢b：物流に関する包装材料や包装方法を外部提供者と確認すること。,選択肢c：物流に関する輸送手段や輸送時間を外部提供者と確認すること。,c,要求事項の適合した例：組織は、物流に関する輸送手段や輸送時間を外部提供者と確認しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、物流に関する輸送手段や輸送時間を外部提供者と確認しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるサービスとして管理する場合、そのサービスに関する輸送手段や輸送時間を外部提供者と確認することが必要であることを意味している。輸送手段や輸送時間は、8.5.1項で別途考慮する必要がある。配送条件や配送先は、8.4.3項で別途考慮する必要がある。包装材料や包装方法は、8.5.4項で別途考慮する必要がある。
8.4.1.1,41,-,組織が校正を外部から提供されるサービスとして管理する場合、以下のどれが必要か？,選択肢a：校正に関する校正基準や校正結果を外部提供者と確認すること。,選択肢b：校正に関する校正機器や校正方法を外部提供者と確認すること。,選択肢c：校正に関する校正周期や校正履歴を外部提供者と確認すること。,b,要求事項の適合した例：組織は、校正に関する校正機器や校正方法を外部提供者と確認しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、校正に関する校正機器や校正方法を外部提供者と確認しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるサービスとして管理する場合、そのサービスに関する校正機器や校正方法を外部提供者と確認することが必要であることを意味している。校正機器や校正方法は、7.1.5.2項で別途考慮する必要がある。校正基準や校正結果は、8.4.3項で別途考慮する必要がある。校正周期や校正履歴は、7.1.5.1項で別途考慮する必要がある。
8.4.1.1,42,-,組織がソフトウェア開発を外部から提供されるサービスとして管理する場合、以下のどれが必要か？,選択肢a：ソフトウェア開発に関する開発プロセスや開発成果物を外部提供者と確認すること。,選択肢b：ソフトウェア開発に関する品質マネジメントシステムや品質保証活動を外部提供者と確認すること。,選択肢c：ソフトウェア開発に関する変更管理や変更履歴を外部提供者と確認すること。,b,要求事項の適合した例：組織は、ソフトウェア開発に関する品質マネジメントシステムや品質保証活動を外部提供者と確認しており、その内容が契約書や発注書に反映されている。要求事項の適合していない例：組織は、ソフトウェア開発に関する品質マネジメントシステムや品質保証活動を外部提供者と確認しておらず、その内容が契約書や発注書に反映されていない。箇条要求事項の概要詳細解説：この要求事項は、外部から提供されるサービスとして管理する場合、そのサービスに関する品質マネジメントシステムや品質保証活動を外部提供者と確認することが必要であることを意味している。品質マネジメントシステムや品質保証活動は、8.4.2.3.1項で別途考慮する必要がある。開発プロセスや開発成果物は、8.3.2項で別途考慮する必要がある。変更管理や変更履歴は、8.5.6項で別途考慮する必要がある。
