8.4.1.2,30,-,供給者選定プロセスを文書化する際に必要なことは何でしょうか？,選択肢a：供給者の品質マネジメントシステムの認証取得状況を確認すること,選択肢b：供給者の製品適合性とリスク評価を行うこと,選択肢c：供給者の財務状況や自動車産業との取引実績を考慮すること,b,要求事項の適合した例：文書化した供給者選定プロセスには、製品適合性とリスク評価の方法や基準が明記されている。適合していない例：文書化した供給者選定プロセスには、品質マネジメントシステムの認証取得状況や財務状況などの要素が含まれていない。箇条要求事項の概要詳細解説：8.4.1.2項では、文書化した供給者選定プロセスを持つことが求められる。そのプロセスには、製品適合性とリスク評価を含めることが必須である。その他にも、11項目の考慮事項が望ましいとされる12。
8.4.1.2,31,-,供給者選定プロセスにおいて部門横断的意思決定を行う目的は何でしょうか？,選択肢a：購買部門だけでなく、品質や設計など関係する部門の意見や判断を反映させるため,選択肢b：購買部門が最終的な決定権を持ち、他の部門は協力的な役割を果たすため,選択肢c：購買部門が他の部門に責任を分散させるため,a,要求事項の適合した例：供給者選定プロセスには、品質部門や設計部門などの関連部門から承認を得る仕組みがある。適合していない例：供給者選定プロセスには、購買部門だけで採用の決定を行う方法が記述されている。箇条要求事項の概要詳細解説：8.4.1.2項では、部門横断的意思決定を行うことが求められる。これは、購買部門だけでなく、品質や設計など関係する部門の意見や判断を反映させるためである。
8.4.1.2,32,-,ソフトウェア開発能力の評価はどのような場合に必要でしょうか？,選択肢a：自社製品にソフトウェアが含まれる場合,選択肢b：自社製品に組込みソフトウェアが含まれる場合,選択肢c：自社製品に関係するソフトウェア又は組込みソフトウェアを持つ製品を購入する場合,c,要求事項の適合した例：自社製品に関係するソフトウェア又は組込みソフトウェアを持つ製品を購入する場合、供給者のソフトウェア開発能力を評価する方法や基準が供給者選定プロセスに記載されている。適合していない例：自社製品に関係するソフトウェア又は組込みソフトウェアを持つ製品を購入する場合でも、供給者のソフトウェア開発能力について言及しないか、あるいは自社製品に含まれるか否かで判断する方法が供給者選定プロセスに記載されている。箇条要求事項の概要詳細解説：8.4.1.2項では、該当する場合には必ずソフトウェア開発能力の評価を行うことが求められる。これは、自社製品に関係するソフトウェア又は組込みソフトウェアを持つ製品を購入する場合であっても、その開発能力が重要であるからである。
8.4.1.2,33,-,顧客指定の供給者とはどのような供給者でしょうか？,選択肢a：顧客が指定した特定の供給者で、他の供給者を使用することができない場合,選択肢b：顧客が推奨した特定の供給者で、他の供給者を使用することができる場合,選択肢c：顧客が認めた特定の供給者で、他の供給者を使用することができる場合,a,要求事項の適合した例：顧客が指定した特定の供給者を使用することを契約書や仕様書などで明確に示している。適合していない例：顧客が推奨や認可した特定の供給者を使用することを顧客指定の供給者と誤解している。箇条要求事項の概要詳細解説：8.4.1.2項では、顧客指定の供給者とは、顧客が指定した特定の供給者で、他の供給者を使用することができない場合を意味する。この場合、その供給者に対しては、8.4.1.2項以外の要求事項は適用されない 。
8.4.1.2,34,-,顧客指定の供給者に対してはどのような管理を行わなければならないでしょうか？,選択肢a：顧客指定の供給者に対しては、8.4.1.2項以外の要求事項は適用されないため、管理は不要である,選択肢b：顧客指定の供給者に対しては、8.4.1.2項以外の要求事項も適用されるため、管理は必要である,選択肢c：顧客指定の供給者に対しては、8.4.1.2項以外の要求事項も適用されるが、管理は顧客に委ねられるため、管理は不要である,b,要求事項の適合した例：顧客指定の供給者に対しても、品質や納期などのパフォーマンスを監視し、必要に応じて改善活動や開発活動を行う。適合していない例：顧客指定の供給者に対しては、何も管理しないか、あるいは管理責任を顧客に任せてしまう。箇条要求事項の概要詳細解説：8.4.1.2項では、顧客指定の供給者に対しては、8.4.1.2項以外の要求事項も適用されることを明記している。つまり、その供給者に対しても、品質や納期などのパフォーマンスを監視し、必要に応じて改善活動や開発活動を行わなければならない 。
8.4.1.2,35,-,顧客指定の供給者から購入する製品やサービスに関する情報はどこから入手すべきでしょうか？,選択肢a：自社が直接その供給者から入手すべきである,選択肢b：自社が直接その製品やサービスを使用する顧客から入手すべきである,選択肢c：自社が直接その製品やサービスを提供する仕入先から入手すべきである,b,要求事項の適合した例：自社が直接その製品やサービスを使用する顧客から、その製品やサービスに関する仕様や条件などの情報を入手し、それに基づいて購入する。適合していない例：自社が直接その製品やサービスを提供する仕入先から情報を入手するか、あるいは自社が直接その供給者から情報を入手する。箇条要求事項の概要詳細解説：8.4.1.2項では、顧客指定の供給者から購入する製品やサービスに関する情報は、自社が直接その製品やサービスを使用する顧客から入手しなければならないことを明記している。これは、その製品やサービスが自社製品に影響する可能性があるため、最も信頼できる情報源である顧客から情報を得る必要があるからである 。
8.4.1.2,36,-,供給者が持つ技術や製品種やプロセスなどの独自性のある能力を評価することの目的は何でしょうか？,選択肢a：自社製品に影響する可能性があるため,選択肢b：自社製品と差別化するため,選択肢c：自社製品の価格競争力を高めるため,a,要求事項の適合した例：自社製品に影響する可能性がある技術や製品種やプロセスなどの独自性のある能力を持つ供給者を評価し、その能力が自社製品の品質や安全性や信頼性に影響しないことを確認する。適合していない例：自社製品に影響する可能性がある技術や製品種やプロセスなどの独自性のある能力を持つ供給者を評価せず、その能力が自社製品に不具合や事故や故障を引き起こすリスクを無視する。箇条要求事項の概要詳細解説：8.4.1.2項では、9番目の要求事項として、供給者が持つ技術や製品種やプロセスなどの独自性のある能力を評価しなければならないことを明記している。これは、そのような能力が自社製品に影響する可能性があるためである。
8.4.1.2,37,-,供給者が持つ設計開発能力を評価する場合、どのような方法が有効でしょうか？,選択肢a：供給者から設計開発計画書や設計レビュー記録などの文書資料を入手すること,選択肢b：供給者から設計開発能力認証書や設計開発実績表などの証明書類を入手すること,選択肢c：供給者から設計開発サンプルや設計開発テスト報告書などの実物資料を入手すること,c,要求事項の適合した例：供給者から設計開発サンプルや設計開発テスト報告書などの実物資料を入手し、その内容や品質や性能や信頼性などを評価する。適合していない例：供給者から設計開発計画書や設計レビュー記録などの文書資料や設計開発能力認証書や設計開発実績表などの証明書類だけを入手し、その内容や真偽や有効性などを評価しない。箇条要求事項の概要詳細解説：8.4.1.2項では、11番目の要求事項として、供給者が持つ設計開発能力を評価しなければならないことを明記している。この場合、最も有効な方法は、供給者から設計開発サンプルや設計開発テスト報告書などの実物資料を入手し、その内容や品質や性能や信頼性などを評価することである。
8.4.1.2,38,-,供給者が持つ製造能力を評価する場合、どのような方法が有効でしょうか？,選択肢a：供給者から製造工程図や製造設備リストなどの文書資料を入手すること,選択肢b：供給者から製造能力認証書や製造実績表などの証明書類を入手すること,選択肢c：供給者の工場を訪問し、製造工程や製造設備などの現場状況を観察すること,c,要求事項の適合した例：供給者の工場を訪問し、製造工程や製造設備などの現場状況を観察し、その内容や品質や能力や安全性などを評価する。適合していない例：供給者から製造工程図や製造設備リストなどの文書資料や製造能力認証書や製造実績表などの証明書類だけを入手し、その内容や真偽や有効性などを評価しない。箇条要求事項の概要詳細解説：8.4.1.2項では、12番目の要求事項として、供給者が持つ製造能力を評価しなければならないことを明記している。この場合、最も有効な方法は、供給者の工場を訪問し、製造工程や製造設備などの現場状況を観察し、その内容や品質や能力や安全性などを評価することである。
8.4.1.2,39,-,供給者が持つ変更管理プロセスを評価することの目的は何でしょうか？,選択肢a：自社製品に影響する可能性があるため,選択肢b：自社プロセスと整合性を保つため,選択肢c：自社変更管理プロセスに準拠させるため,a,要求事項の適合した例：自社製品に影響する可能性がある変更管理プロセスを持つ供給者を評価し、そのプロセスが自社変更管理プロセスと互換性があり、変更内容や承認状況や影響範囲などが明確にされていることを確認する。適合していない例：自社製品に影響する可能性がある変更管理プロセスを持つ供給者を評価せず、そのプロセスが自社変更管理プロセスと不整合があり、変更内容や承認状況や影響範囲などが不明確にされているリスクを無視する。箇条要求事項の概要詳細解説：8.4.1.2項では、13番目の要求事項として、供給者が持つ変更管理プロセスを評価しなければならないことを明記している。これは、そのようなプロセスが自社製品に影響する可能性があるためである
8.4.1.2,40,-,供給者が持つ事業継続計画（BCP）を評価する場合、どのような方法が有効でしょうか？,選択肢a：供給者からBCP書面やBCPテスト報告書などの文書資料を入手すること,選択肢b：供給者からBCP認証書やBCP実施表などの証明書類を入手すること,選択肢c：供給者にBCPテスト実施時に立ち会い、BCP内容や効果や改善点などを確認すること,c,要求事項の適合した例：供給者にBCPテスト実施時に立ち会い、BCP内容や効果や改善点などを確認し、その内容や品質や信頼性などを評価する。適合していない例：供給者からBCP書面やBCPテスト報告書などの文書資料やBCP認証書やBCP実施表などの証明書類だけを入手し、その内容や真偽や有効性などを評価しない。箇条要求事項の概要詳細解説：8.4.1.2項では、14番目の要求事項として、供給者が持つ事業継続計画（BCP）を評価しなければならないことを明記している。この場合、最も有効な方法は、供給者にBCPテスト実施時に立ち会い、BCP内容や効果や改善点などを確認し、その内容や品質や信頼性などを評価することである。
8.4.1.2,41,-,供給者が持つ財務状況の安定性を評価することの目的は何でしょうか？,選択肢a：自社の資金繰りを改善するため,選択肢b：自社製品のコストダウンを図るため,選択肢c：自社製品の途切れない供給を確保するため,c,要求事項の適合した例：供給者が持つ財務状況の安定性を評価し、その結果やリスクや対策などを記録する。適合していない例：供給者が持つ財務状況の安定性を評価せず、その結果やリスクや対策などを記録しない。箇条要求事項の概要詳細解説：8.4.1.2項では、7番目の要求事項として、供給者が持つ財務状況の安定性を評価しなければならないことを明記している。これは、そのような状況が自社製品の途切れない供給に影響する可能性があるためである。
8.4.1.2,42,-,供給者が持つ物流プロセスを評価する場合、どのような方法が有効でしょうか？,選択肢a：供給者から物流計画や物流実績表などの文書資料を入手すること,選択肢b：供給者から物流認証書や物流評価表などの証明書類を入手すること,選択肢c：供給者の倉庫や配送センターなどを訪問し、物流プロセスや物流管理などの現場状況を観察すること,c,要求事項の適合した例：供給者の倉庫や配送センターなどを訪問し、物流プロセスや物流管理などの現場状況を観察し、その内容や品質や効率や安全性などを評価する。適合していない例：供給者から物流計画や物流実績表などの文書資料や物流認証書や物流評価表などの証明書類だけを入手し、その内容や真偽や有効性などを評価しない。箇条要求事項の概要詳細解説：8.4.1.2項では、15番目の要求事項として、供給者が持つ物流プロセスを評価しなければならないことを明記している。この場合、最も有効な方法は、供給者の倉庫や配送センターなどを訪問し、物流プロセスや物流管理などの現場状況を観察し、その内容や品質や効率や安全性などを評価することである。
