8.4.2.3,30,-,供給者の品質マネジメントシステム開発の最終目標は何でしょうか？,選択肢a：ISO9001に対する認証,選択肢b：IATF16949に対する認証,選択肢c：顧客が定めた他のQMS要求事項に対する認証,b,要求事項の適合した例：自動車製品及びサービス供給者は、適格な組織としてIATF16949への認証取得を目標としてQMSを開発し、実施し、改善する。適合していない例：自動車製品及びサービス供給者は、ISO9001に対する認証を取得しただけで、IATF16949への認証取得を目指さない。箇条要求事項の概要詳細解説：この要求事項は、サプライチェーン全体の自動車産業QMSの底上げを意図しており、最終目標をIATF16949としている。ISO9001に対する認証は、開発初期の最低許容レベルである。
8.4.2.3,31,-,供給者に対するQMS開発レベルのターゲットを規定する際に用いるべきモデルは何でしょうか？,選択肢a：コストベースモデル,選択肢b：リスクベースモデル,選択肢c：パフォーマンスベースモデル,b,要求事項の適合した例：供給者に対するQMS開発レベルのターゲットは、納品される部品の重要度や顧客に対する現行のパフォーマンス及び潜在的なリスクを基にしてリスクベースモデルで決定する。適合していない例：供給者に対するQMS開発レベルのターゲットは、QMS取得費用や市場競争力などを基にしてコストベースモデルで決定する。箇条要求事項の概要詳細解説：この要求事項は、リスクに基づくアプローチを用いて、各供給者に対するQMS開発レベルの最低許容レベル及び目標レベルを規定することを求めている。コストやパフォーマンスだけではなく、製品や顧客に関連するリスクも考慮しなければならない。
8.4.2.3,32,-,供給者がIATF16949に対する認証を取得する場合、認証機関はどのような条件を満たさなければならないでしょうか？,選択肢a：IAF MLAメンバーの認定マークをもつ認証機関であること。,選択肢b：IATFが認めた認証機関であること。,選択肢c：ISO/IEC17021へのマネジメントシステム認証を含む主要適用範囲をもつ認証機関であること。,b,要求事項の適合した例：供給者は、IATFが公式に承認したIATFデータベースに登録された認証機関からIATF16949に対する認証を取得する。適合していない例：供給者は、IAF MLAメンバーの認定マークをもつが、IATFが承認していない認証機関からIATF16949に対する認証を取得する。箇条要求事項の概要詳細解説：この要求事項は、供給者がIATF16949に対する認証を取得する場合、IATFが認めた認証機関による第三者審査を受けることを求めている。IAF MLAメンバーやISO/IEC17021への適合だけでは不十分である。
8.4.2.3,33,-,供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、どのようなQMS開発レベルが必要でしょうか？,選択肢a：ISO9001に対する認証とAutomotive SPICEへの適合。,選択肢b：IATF16949に対する認証とAutomotive SPICEへの適合。,選択肢c：ISO9001に対する認証とISO/IEC15504への適合。,b,要求事項の適合した例：供給者は、IATF16949に対する認証とAutomotive SPICEへの適合を実証し、顧客との契約に基づいてソフトウェア開発プロセス及び成果物を提供する。適合していない例：供給者は、ISO9001に対する認証とISO/IEC15504への適合を実証し、顧客との契約に基づいてソフトウェア開発プロセス及び成果物を提供する。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、IATF16949に対する認証とAutomotive SPICEへの適合を実証しなければならないことを求めている。Automotive SPICEは、自動車産業で使用されるソフトウェア開発プロセスモデルであり、ISO/IEC15504の特殊版である。
8.4.2.3,34,-,供給者が第二者監査を通じて顧客が定めた他のQMS要求事項（例えばMinimum Automotive Quality Management System Requirements for Sub-Tier Suppliers〔MAQMSR〕又はそれに相当するもの）への適合を伴うISO9001に対する認証を取得した場合、どのようなアクションが必要でしょうか？,選択肢a：第二者監査報告書及び改善計画書を顧客及び自社に提出し、改善状況を定期的に報告する。,選択肢b：第二者監査報告書及び改善計画書を自社内で保管し、改善状況を定期的に確認する。,選択肢c：第二者監査報告書及び改善計画書は不要であり、改善状況は自己判断で行う。,a,要求事項の適合した例：供給者は、第二者監査報告書及び改善計画書を顧客及び自社に提出し、改善状況を定期的に報告し、QMS開発レベルの向上に努める。適合していない例：供給者は、第二者監査報告書及び改善計画書は不要だと考え、改善状況も報告せず、QMS開発レベルの向上に無関心である。箇条要求事項の概要詳細解説：この要求事項は、供給者が第二者監査を通じて顧客が定めた他のQMS要求事項（例えばMAQMSR又はそれに相当するもの）への適合を伴うISO9001に対する認証を取得した場合、第二者監査報告書及び改善計画書を顧客及び自社に提出し、改善状況を定期的に報告しなければならないことを求めている。これは、QMS開発レベルの向上やリスク低減のためである。
8.4.2.3,35,-,供給者がIATF16949に対する認証を取得していない場合、どのようなアクションが必要でしょうか？,選択肢a：IATF16949に対する認証を取得することを要求する。,選択肢b：IATF16949に対する適合を確認するための第二者監査を実施する。,選択肢c：IATF16949に対する認証を取得しなくてもよいことを承認する。,a,要求事項の適合した例：供給者は、IATF16949に対する認証を取得することを要求され、そのためのQMS開発計画を策定し、実施し、報告する。適合していない例：供給者は、IATF16949に対する認証を取得しなくてもよいことを承認され、そのためのQMS開発計画や報告は行わない。箇条要求事項の概要詳細解説：この要求事項は、供給者がIATF16949に対する認証を取得していない場合、IATF16949への認証取得を最終的な目標としてQMS開発計画を策定し、実施し、報告しなければならないことを求めている。これは、サプライチェーン全体の自動車産業QMSの底上げのためである。
8.4.2.3,36,-,供給者が自動車製品に関係しないサービス（例えばコンサルティングやトレーニング）を提供する場合、どのようなQMS開発レベルが必要でしょうか？,選択肢a：ISO9001に対する認証とAutomotive SPICEへの適合。,選択肢b：ISO9001に対する認証と顧客が定めた他のQMS要求事項への適合。,選択肢c：ISO9001に対する認証だけでよい。,c,要求事項の適合した例：供給者は、ISO9001に対する認証を実証し、顧客との契約に基づいてサービスを提供する。適合していない例：供給者は、ISO9001に対する認証もAutomotive SPICEへの適合も実証せず、顧客との契約も不十分でサービスを提供する。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車製品に関係しないサービス（例えばコンサルティングやトレーニング）を提供する場合、ISO9001に対する認証だけでよいことを示している。ただし、顧客との契約に基づいてサービスを提供しなければならない。
8.4.2.3,37,-,供給者がプレス製造や射出成型製造などの製造工程を持つ場合、どのようなQMS開発レベルが必要でしょうか？,選択肢a：ISO9001に対する認証だけでよい。,選択肢b：IATF16949に対する認証とAutomotive SPICEへの適合。,選択肢c：IATF16949に対する認証だけでよい。,c,要求事項の適合した例：供給者は、IATF16949に対する認証を実証し、顧客との契約に基づいて製造工程及び製品を管理する。適合していない例：供給者は、ISO9001に対する認証だけでよいと考え、IATF16949への認証取得や製造工程及び製品の管理に無関心である。箇条要求事項の概要詳細解説：この要求事項は、供給者がプレス製造や射出成型製造などの製造工程を持つ場合、IATF16949に対する認証だけでよいことを示している。ただし、顧客との契約に基づいて製造工程及び製品を管理しなければならない。
8.4.2.3,38,-,供給者が金型設計や金型加工などの製造工程を持つ場合、どのようなQMS開発レベルが必要でしょうか？,選択肢a：ISO9001に対する認証だけでよい。,選択肢b：IATF16949に対する認証とAutomotive SPICEへの適合。,選択肢c：IATF16949に対する認証だけでよい。,c,要求事項の適合した例：供給者は、IATF16949に対する認証を実証し、顧客との契約に基づいて製造工程及び製品を管理する。適合していない例：供給者は、ISO9001に対する認証だけでよいと考え、IATF16949への認証取得や製造工程及び製品の管理に無関心である。箇条要求事項の概要詳細解説：この要求事項は、供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証だけでよいことを示している。ただし、顧客との契約に基づいて製造工程及び製品を管理しなければならない。
8.4.2.3,39,-,供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、Automotive SPICEへの適合レベルはどれくらいであればよいでしょうか？,選択肢a：Capability Level 1以上であればよい。,選択肢b：Capability Level 2以上であればよい。,選択肢c：Capability Level 3以上であればよい。,b,要求事項の適合した例：供給者は、Automotive SPICE Capability Level 2以上を実証し、顧客との契約に基づいてソフトウェア開発プロセス及び成果物を提供する。適合していない例：供給者は、Automotive SPICE Capability Level 1以下を実証し、顧客との契約に基づいてソフトウェア開発プロセス及び成果物を提供する。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、Automotive SPICE Capability Level 2以上を実証しなければならないことを求めている。Capability Level 2は、プロセスが計画された結果を達成し、パフォーマンスが管理されることを意味する。
8.4.2.3,40,-,供給者が自動車部品脱脂処理などの加工外注先である場合、どのようなQMS開発レベルが必要でしょうか？,選択肢a：ISO9001に対する認証だけでよい。,選択肢b：IATF16949に対する認証とAutomotive SPICEへの適合。,選択肢c：IATF16949に対する認証だけでよい。,c,要求事項の適合した例：供給者は、IATF16949に対する認証を実証し、顧客との契約に基づいて加工外注先としての責任及び品質管理を行う。適合していない例：供給者は、ISO9001に対する認証だけでよいと考え、IATF16949への認証取得や加工外注先としての責任及び品質管理に無関心である。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車部品脱脂処理などの加工外注先である場合、IATF16949に対する認証だけでよいことを示している。ただし、顧客との契約に基づいて加工外注先としての責任及び品質管理を行わなければならない。
