8.5.5.1,30,-,サービスからの情報フィードバックとは、以下のうちどれに該当するか。,選択肢a：顧客からの苦情や賞賛などを社内に展開し、改善活動に反映させること,選択肢b：市場で発生した不具合や不満などを社内に伝達し、製造や設計などの関連部門に対応させること,選択肢c：製品やサービスの品質や性能に関する情報を社内に共有し、顧客満足度を向上させること,b,要求事項の適合した例：市場で発生した不具合品について、品質保証部門が原因分析を行い、製造部門や設計部門に対策を指示する。要求事項の適合していない例：市場で発生した不具合品について、営業部門が顧客に謝罪し、交換品を提供するが、社内には情報が伝わらない。箇条要求事項の概要詳細解説：この要求事項は、顧客のサイトや市場で特定される可能性がある不適合製品や不適合材料を組織が認識し、製造や設計などの関連部門に対応させるためのプロセスを確立することを目的としている。
8.5.5.1,31,-,サービスからの情報フィードバックのプロセスを確立する際に考慮すべきことは、以下のうちどれか。,選択肢a：顧客からのフィードバック情報は必ず書面で受け取り、記録として保管すること,選択肢b：市場で発生した不具合品は必ず試験解析し、その結果をサービスからの情報フィードバックに含めること,選択肢c：サービスからの情報フィードバックは必ず定期的にレビューし、改善活動やリスク分析に活用すること,c,要求事項の適合した例：サービスからの情報フィードバックは月次で管理会議でレビューし、改善案やリスク対策を決定する。要求事項の適合していない例：サービスからの情報フィードバックは不定期でレビューし、改善活動やリスク分析には関与しない。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックを組織の改善活動やリスク分析に活用することで、品質や顧客満足度を向上させることを目的としている。
8.5.5.1,32,-,サービスからの情報フィードバックに関するプロセスを記載する文書は、以下のうちどれか。,選択肢a：苦情処理管理規定やクレーム解析規定など,選択肢b：顧客満足度調査規定や市場調査規定など,選択肢c：製品保証規定や補償管理規定など,a,要求事項の適合した例：苦情処理管理規定にサービスからの情報フィードバックの方法や責任者を明記する。要求事項の適合していない例：製品保証規定にサービスからの情報フィードバックの方法や責任者を明記する。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスを文書化し、関係者が参照できるようにすることを目的としている。
8.5.5.1,33,-,サービスからの情報フィードバックに関するプロセスにおいて、以下のうちどれが必要ではないか。,選択肢a：顧客からのフィードバック情報を受け取ったら、速やかに社内に展開すること,選択肢b：社内に展開したフィードバック情報をもとに、原因分析や対策立案を行うこと,選択肢c：社内に展開したフィードバック情報をもとに、顧客満足度や市場シェアを分析すること,c,要求事項の適合した例：社内に展開したフィードバック情報をもとに、不具合原因や対策効果を検証する。要求事項の適合していない例：社内に展開したフィードバック情報をもとに、顧客満足度や市場シェアを分析する。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスは、不具合品や不満などの対応に重点を置くことを目的としている。顧客満足度や市場シェアの分析は、別途行うべきである。
8.5.5.1,34,-,サービスからの情報フィードバックに関するプロセスの実施や維持に必要なことは、以下のうちどれか。,選択肢a：プロセスの有効性や適合性を定期的に監視し、必要に応じて改善すること,選択肢b：プロセスの責任者や関係者を明確にし、必要な教育や訓練を行うこと,選択肢c：プロセスの入力や出力を明確にし、必要な資源や文書を確保すること,c,要求事項の適合した例：プロセスの入力として顧客からのフィードバック情報を受け取り、出力として社内に展開した情報や対応状況を記録する。プロセスに必要な資源や文書は品質マニュアルや規定に記載する。要求事項の適合していない例：プロセスの入力や出力が不明確で、顧客からのフィードバック情報が漏れたり、社内に展開した情報や対応状況が記録されなかったりする。プロセスに必要な資源や文書が不足している。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスを明確化し、効率的かつ効果的に実施し、維持することを目的としている。
8.5.5.1,35,-,サービスからの情報フィードバックに関するプロセスで対象となる製品や材料は、以下のうちどれか。,選択肢a：組織が製造した製品や材料だけでなく、外部提供者から提供された製品や材料も含む,選択肢b：組織が製造した製品や材料だけでなく、外部提供者から提供された製品や材料も含むが、外部提供者が責任を負う場合は除く,選択肢c：組織が製造した製品や材料だけであり、外部提供者から提供された製品や材料は含まない,a,要求事項の適合した例：市場で発生した不具合品について、組織が製造した部分だけでなく、外部提供者から提供された部分もサービスからの情報フィードバックの対象として扱う。要求事項の適合していない例：市場で発生した不具合品について、組織が製造した部分だけをサービスからの情報フィードバックの対象として扱い、外部提供者から提供された部分は無視する。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスで対象となる製品や材料は、組織が製造したものだけでなく、外部提供者から提供されたものも含むことを明示している。外部提供者が責任を負う場合でも、組織は情報を伝達することが求められる。
8.5.5.1,36,-,サービスからの情報フィードバックに関するプロセスで必要な文書は、以下のうちどれか。,選択肢a：プロセスの目的や範囲、入力や出力、責任や権限、資源や活動などを記載したプロセス規定,選択肢b：プロセスの有効性や適合性を評価するための指標や方法、監視や測定、分析や改善などを記載した品質計画,選択肢c：プロセスに関連する顧客からのフィードバック情報や市場不具合の試験解析などを記録した品質記録,a,要求事項の適合した例：プロセス規定にサービスからの情報フィードバックに関するプロセスの目的や範囲、入力や出力、責任や権限、資源や活動などを記載し、品質マニュアルに参照する。要求事項の適合していない例：プロセス規定にサービスからの情報フィードバックに関するプロセスの内容を記載しないか、不十分に記載する。品質マニュアルにも参照しない。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスで必要な文書を作成し、管理することを目的としている。文書には、プロセス規定が必要であり、品質計画や品質記録は別途行うべきである。
8.5.5.1,37,-,サービスからの情報フィードバックに関するプロセスで必要な教育や訓練は、以下のうちどれか。,選択肢a：プロセスの目的や内容、入力や出力、責任や権限などを理解し、実施できるようにする教育や訓練,選択肢b：プロセスの有効性や適合性を評価し、改善できるようにする教育や訓練,選択肢c：プロセスに関連する顧客からのフィードバック情報や市場不具合の試験解析などを扱えるようにする教育や訓練,a,要求事項の適合した例：プロセスに関与する人員に対して、プロセス規定に基づいてプロセスの目的や内容、入力や出力、責任や権限などを理解し、実施できるようにする教育や訓練を行う。教育や訓練の内容や結果を記録する。要求事項の適合していない例：プロセスに関与する人員に対して、プロセスの目的や内容、入力や出力、責任や権限などを理解し、実施できるようにする教育や訓練を行わないか、不十分に行う。教育や訓練の内容や結果を記録しない。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスで必要な教育や訓練を実施し、記録することを目的としている。教育や訓練は、プロセスの目的や内容、入力や出力、責任や権限などを理解し、実施できるようにすることが必要である。
8.5.5.1,38,-,サービスからの情報フィードバックに関するプロセスで必要な監視や測定は、以下のうちどれか。,選択肢a：プロセスの有効性や適合性を評価するための指標や方法、監視や測定、分析や改善などを行うこと,選択肢b：プロセスに関連する顧客からのフィードバック情報や市場不具合の試験解析などを監視や測定し、記録すること,選択肢c：プロセスに関与する人員の教育や訓練の効果を監視や測定し、記録すること,a,要求事項の適合した例：プロセスの有効性や適合性を評価するための指標や方法を品質計画に記載し、定期的に監視や測定、分析や改善を行う。監視や測定、分析や改善の内容や結果を品質記録として保持する。要求事項の適合していない例：プロセスの有効性や適合性を評価するための指標や方法を品質計画に記載しないか、不十分に記載する。定期的に監視や測定、分析や改善を行わないか、不十分に行う。監視や測定、分析や改善の内容や結果を品質記録として保持しないか、不十分に保持する。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスで必要な監視や測定を実施し、記録することを目的としている。監視や測定は、プロセスの有効性や適合性を評価するための指標や方法に基づいて行うことが必要である。
8.5.5.1,39,-,サービスからの情報フィードバックに関するプロセスで必要な改善は、以下のうちどれか。,選択肢a：プロセスの有効性や適合性を評価した結果に基づいて、プロセスの改善を計画し、実施し、評価すること,選択肢b：プロセスに関連する顧客からのフィードバック情報や市場不具合の試験解析などを改善案として提案し、実施し、評価すること,選択肢c：プロセスに関与する人員の教育や訓練の効果を改善案として提案し、実施し、評価すること,a,要求事項の適合した例：プロセスの有効性や適合性を評価した結果を品質記録として保持し、その内容に基づいてプロセスの改善を計画し、実施し、評価する。改善の内容や結果を品質記録として保持する。要求事項の適合していない例：プロセスの有効性や適合性を評価した結果を品質記録として保持しないか、不十分に保持する。その内容に基づいてプロセスの改善を計画しないか、不十分に計画する。改善を実施しないか、不十分に実施する。改善の内容や結果を品質記録として保持しないか、不十分に保持する。箇条要求事項の概要詳細解説：この要求事項は、サービスからの情報フィードバックに関するプロセスで必要な改善を実施し、記録することを目的としている。改善は、プロセスの有効性や適合性を評価した結果に基づいて行うことが必要である。
8.5.5.1,40,-,サービスからの情報フィードバックに関するプロセスを確立する際に、考慮しなければならない要求事項はどれか。,選択肢a：組織によって規定された要求事項,選択肢b：顧客固有要求事項,選択肢c：組織によって規定された要求事項と顧客固有要求事項,b,要求事項の適合した例：組織は、製品やプロセスに関する顧客からの苦情や市場不具合の試験分析結果など、サービスからの情報フィードバックを受け取る際に、自社の規定と顧客固有要求事項を確認し、それらに従って情報を伝達するプロセスを持っている。 適合していない例：組織は、サービスからの情報フィードバックを受け取る際に、自社の規定だけを考慮し、顧客固有要求事項を無視するプロセスを持っている。 箇条要求事項の概要詳細解説：この条項は、製造、材料の取扱い、物流、技術及び設計活動へのサービスの懸念事項に関する情報を伝達するプロセスを確立し、実施し、維持することを組織に求めている。このプロセスは、組織によって及び／又は顧客固有要求事項によって規定された要求事項を考慮に入れなければならない。
