8.6.1,30,-,コントロールプランには、製品及びサービスの初回リリースに対する計画した取り決めが記載されている必要があるが、その内容として正しいものはどれか。,選択肢a：初回出荷前に顧客からの承認を得ること,選択肢b：初回出荷前に工程能力指数を全工程で測定すること,選択肢c：初回出荷前にレイアウト検査及び機能試験を実施すること,c,要求事項の適合した例：コントロールプランにレイアウト検査及び機能試験の方法、範囲、基準、記録等を明記し、初回出荷前に実施する。適合していない例：コントロールプランに初回出荷に関する取り決めが記載されていない。箇条要求事項の概要詳細解説：本要求事項は、製品又はサービスの承認を網羅することを確実にするために、コントロールプランに初回リリースに対する計画した取り決めが記載されていることを求めている。選択肢aは顧客規定によって異なる可能性があり、選択肢bは附属書Aで規定された工程能力指数の測定方法と異なる可能性があるため、正しい答えではない。
8.6.1,31,-,コントロールプランには、製品及びサービスの要求事項が満たされていることを検証するための計画した取り決めが記載されている必要があるが、その内容として正しくないものはどれか。,選択肢a：製品特性の検査方法、範囲、基準、記録等,選択肢b：製品特性の変更管理方法、範囲、基準、記録等,選択肢c：製品特性の改善活動方法、範囲、基準、記録等,c,要求事項の適合した例：コントロールプランに製品特性の検査方法や変更管理方法などを明記し、それに従って実施する。適合していない例：コントロールプランに製品特性の改善活動方法などを明記し、それに従って実施する。箇条要求事項の概要詳細解説：本要求事項は、製品及びサービスの要求事項が満たされていることを検証するために、コントロールプラン（附属書A参照）に計画した取り決めが網羅されていることを求めている。選択肢cは改善活動であり、検証活動ではないため、正しくない答えである。
8.6.1,32,-,コントロールプランには、ISO9001:2015 8.5.6 に従って初回リリースに引き続く変更後に製品又はサービスの承認が遂行されることを確実にするための取り決めが記載されている必要があるが、その内容として正しいものはどれか。,選択肢a：変更後の製品又はサービスの承認方法、範囲、基準、記録等,選択肢b：変更後の製品又はサービスの保管方法、範囲、基準、記録等,選択肢c：変更後の製品又はサービスの廃棄方法、範囲、基準、記録等,a,要求事項の適合した例：コントロールプランに変更後の製品又はサービスを再リリースする際の承認方法やレイアウト検査及び機能試験などを明記し、それに従って実施する。適合していない例：コントロールプランに変更後の製品又はサービスを保管や廃棄する際の方法などを明記し、それに従って実施する。箇条要求事項の概要詳細解説：本要求事項は、何らかの品質に影響する変更が行われた後は変更後の製品又はサービスを再リリースすることを求めており、その際にISO9001:2015 8.5.6 で規定された変更管理プロセスや承認プロセスを遵守することを確実にするためにコントロールプラン（附属書A参照）に取り決めが記載されていることを求めている。選択肢bやcは保管や廃棄であり再リリースではないため正しい答えではない。
8.6.1,33,-,コントロールプランには、附属書Aに準拠した形で利用されていなければならないが、附属書Aにはどのような内容が記載されているか。,選択肢a：製品及びサービスの要求事項、製品特性、プロセス特性、検査方法、測定方法、合否判定基準等,選択肢b：製品及びサービスの要求事項、製品特性、プロセス特性、改善活動方法、測定方法、合否判定基準等,選択肢c：製品及びサービスの要求事項、製品特性、プロセス特性、変更管理方法、測定方法、合否判定基準等,a,要求事項の適合した例：コントロールプランに附属書Aに記載された内容を全て含める。適合していない例：コントロールプランに附属書Aに記載されていない内容を含める。箇条要求事項の概要詳細解説：本要求事項は、コントロールプランが附属書Aに準拠した形で利用されていることを求めており、附属書Aには製品及びサービスの要求事項や製品特性やプロセス特性などが記載されている。選択肢bやcは改善活動方法や変更管理方法などを含めており、附属書Aに記載されていない内容であるため正しい答えではない。
8.6.1,34,-,コントロールプランには、製品及びサービスの初回リリースに対する計画した取り決めが記載されている必要があるが、その取り決めに含まれるべきものとして正しくないものはどれか。,選択肢a：初回出荷前に顧客からの承認を得ること,選択肢b：初回出荷前に工程能力指数を全工程で測定すること,選択肢c：初回出荷前にレイアウト検査及び機能試験を実施すること,b,要求事項の適合した例：コントロールプランに初回出荷前に顧客からの承認を得ることやレイアウト検査及び機能試験を実施することなどを明記し、それに従って実施する。適合していない例：コントロールプランに初回出荷前に工程能力指数を全工程で測定することなどを明記し、それに従って実施する。箇条要求事項の概要詳細解説：本要求事項は、製品又はサービスの承認を網羅することを確実にするために、コントロールプランに初回リリースに対する計画した取り決めが記載されていることを求めており、その取り決めは顧客規定やレイアウト検査及び機能試験などが含まれる可能性がある。選択肢bは工程能力指数の測定方法として附属書Aで規定されたものと異なる可能性があるため正しい答えではない。
8.6.1,35,-,組織は、製品及びサービスの初回リリースに対する計画した取り決めが、製品又はサービスの承認を網羅することを確実にしなければならないが、その際に必要な検証および妥当性確認の方法として正しいものはどれか。,選択肢a：コントロールプランに従ってレイアウト検査や機能試験を実施し、工程能力指数や特殊特性の測定結果を記録すること,選択肢b：顧客からの承認や変更管理の手順を省略し、出荷承認者が確認して承認すること,選択肢c：コントロールプランに記載されていない検査項目や方法で検証を行い、出荷承認者が確認して承認すること,a,要求事項の適合した例：コントロールプランに基づいてレイアウト検査や機能試験を実施し、工程能力指数や特殊特性の測定結果を記録し、出荷承認者が確認して承認する。適合していない例：顧客からの承認や変更管理の手順を省略する。コントロールプランに記載されていない検査項目や方法で検証を行う。出荷承認者が不在や不明確である。箇条要求事項の概要詳細解説：本要求事項は、製品及びサービスの初回リリース（初物出荷）に対して、コントロールプランに定められた検証および妥当性確認を実施し、製品又はサービスの承認を得ることを求めている。また、初回リリース後に何らかの変更が発生した場合は、ISO9001の8.5.6に従って変更管理を行い、再度検証および妥当性確認を行うことも求めている。
8.6.1,36,-,組織は、製品又はサービスの承認が、ISO9001の8.5.6に従って、初回リリースに引き続く変更の後に遂行されることを確実にしなければならないが、その際に必要な変更管理の手順として正しいものはどれか。,選択肢a：変更の理由や内容、影響範囲、承認者、実施日などを文書化し、関係者に周知すること,選択肢b：変更の理由や内容、影響範囲、承認者、実施日などを口頭で伝え、関係者に了承を得ること,選択肢c：変更の理由や内容、影響範囲、承認者、実施日などを記録せずに実施し、関係者に後から報告すること,a,要求事項の適合した例：新規部品の仕様変更が発生した場合、変更申請書を作成し、変更内容や理由、影響範囲（製品・プロセス・顧客・サプライヤー等）、承認者（組織内外）、実施日などを明記し、関係者に配布して周知する。変更後の製品は初回リリースと同様に検証および妥当性確認を行い、承認を得る。適合していない例：新規部品の仕様変更が発生した場合、変更申請書を作成せずに口頭で伝えるだけで実施する。変更後の製品は検証および妥当性確認を行わずに出荷する。関係者には後から報告する。箇条要求事項の概要詳細解説：本要求事項は、製品又はサービスに何らかの変更が発生した場合は、ISO9001の8.5.6に従って変更管理を行うことを求めている。変更管理とは、変更の理由や内容、影響範囲、承認者、実施日などを文書化し、関係者に周知し、了承を得ることである。また、変更後の製品又はサービスは初回リリースと同様に検証および妥当性確認を行い、承認を得ることも求めている。
8.6.1,37,-,組織は、製品及びサービスの初回リリースに対する計画した取り決めが、製品又はサービスの承認を網羅することを確実にしなければならないが、その際に必要な承認プロセスとして正しいものはどれか。,選択肢a：出荷前に製品の検証および妥当性確認を行い、顧客要求に適合した意図した結果を得ること,選択肢b：出荷前に製品の検証および妥当性確認を行わずに、顧客要求に適合した意図した結果を得ること,選択肢c：出荷前に製品の検証および妥当性確認を行い、顧客要求に適合しない意図しない結果を得ること,a,要求事項の適合した例：新規製品の初回リリースに際して、コントロールプランに従って製品の検証および妥当性確認を行う。検査記録や承認書類を作成し、保持する。顧客要求に適合した意図した結果が得られたことを確認し、出荷承認を得る。適合していない例：新規製品の初回リリースに際して、コントロールプランに従わずに製品の検証および妥当性確認を省略する。検査記録や承認書類を作成せずに保持しない。顧客要求に適合しない意図しない結果が得られたことを無視し、出荷承認を得ないで出荷する。箇条要求事項の概要詳細解説：本要求事項は、製品又はサービスの初回リリース（初物出荷）に対して、計画した取り決め（コントロールプラン）が製品又はサービスの承認（出荷承認）を網羅することを求めている。つまり、初回リリース前には、コントロールプランに従って製品の検証および妥当性確認を行い、顧客要求に適合した意図した結果が得られたことを確認し、出荷承認を得ることである。
8.6.1,38,-,組織は、製品又はサービスの承認が、ISO9001の8.5.6に従って、初回リリースに引き続く変更の後に遂行されることを確実にしなければならないが、その際に必要な変更管理プロセスとして正しいものはどれか。,選択肢a：変更の理由、影響、承認者、実施日を記録し、関係者に通知すること,選択肢b：変更の理由、影響、承認者、実施日を記録し、関係者に通知しないこと,選択肢c：変更の理由、影響、承認者、実施日を記録せず、関係者に通知すること,a,要求事項の適合した例：製品の材料や仕様を変更する場合、変更の理由（顧客要求やコスト削減など）、影響（品質や性能や安全性など）、承認者（組織内外の関係者）、実施日（変更開始日や終了日）を記録する。関係者（顧客やサプライヤーなど）に変更内容や影響を通知する。変更後の製品やサービスを検証および妥当性確認し、出荷承認を得る。適合していない例：製品の材料や仕様を変更する場合、変更の理由や影響や承認者や実施日を記録しない。関係者に変更内容や影響を通知しない。変更後の製品やサービスを検証および妥当性確認せず、出荷承認を得ないで出荷する。箇条要求事項の概要詳細解説：本要求事項は、製品又はサービスに何らかの変更が発生した場合に、その変更管理プロセスを実施することを求めている。つまり、変更の理由や影響や承認者や実施日を記録し、関係者に通知し、変更後の製品又はサービスを検証および妥当性確認し、出荷承認を得ることである。
8.6.1,39,-,組織は、製品及びサービスの初回リリースに対する計画した取り決めが、製品又はサービスの承認を網羅することを確実にしなければならないが、その際に必要な承認プロセスとして正しいものはどれか。,選択肢a：出荷前に製品やサービスを検証および妥当性確認し、出荷承認者が文書化された承認を与えること,選択肢b：出荷前に製品やサービスを検証および妥当性確認せず、出荷承認者が文書化された承認を与えること,選択肢c：出荷前に製品やサービスを検証および妥当性確認し、出荷承認者が文書化された承認を与えないこと,a,要求事項の適合した例：新規開発した製品やサービスを初めて出荷する場合、出荷前に製品やサービスが顧客要求や法令規制に適合していることを検証および妥当性確認する。出荷承認者（組織内外の関係者）が文書化された承認（署名や捺印など）を与える。コントロールプランに初回リリースの対応方法を記述する。適合していない例：新規開発した製品やサービスを初めて出荷する場合、出荷前に製品やサービスが顧客要求や法令規制に適合していることを検証および妥当性確認しない。出荷承認者（組織内外の関係者）が文書化された承認（署名や捺印など）を与えない。コントロールプランに初回リリースの対応方法を記述しない。箇条要求事項の概要詳細解説：本要求事項は、製品又はサービスを初めて出荷する場合に、その承認プロセスを実施することを求めている。つまり、出荷前に製品又はサービスが顧客要求や法令規制に適合していることを検証および妥当性確認し、出荷承認者（組織内外の関係者）が文書化された承認（署名や捺印など）を与えることである。また、コントロールプランに初回リリースの対応方法を記述することも必要である。
8.6.1,40,-,組織は、製品又はサービスの承認が、ISO9001の8.5.6に従って、初回リリースに引き続く変更の後に遂行されることを確実にしなければならないが、その際に必要な変更管理プロセスとして正しいものはどれか。,選択肢a：変更の理由、影響、承認者、実施日を文書化し、関係者に通知すること,選択肢b：変更の理由、影響、承認者、実施日を口頭で伝え、関係者に確認すること,選択肢c：変更の理由、影響、承認者、実施日を記録せず、関係者に連絡しないこと,a,要求事項の適合した例：新規開発した製品やサービスに対して、顧客から仕様変更の要求があった場合、変更の理由（顧客要求）、影響（設計・開発・製造・検査・出荷など）、承認者（顧客・組織内外の関係者）、実施日（変更開始日・完了日）を文書化し（変更通知書や変更履歴表など）、関係者に通知する（メールや会議など）。変更後の製品やサービスは初回リリースと同様に検証および妥当性確認し、文書化された承認を得る。コントロールプランやその他の関連文書も必要に応じて更新する。適合していない例：新規開発した製品やサービスに対して、顧客から仕様変更の要求があった場合、変更の理由（顧客要求）、影響（設計・開発・製造・検査・出荷など）、承認者（顧客・組織内外の関係者）、実施日（変更開始日・完了日）を記録せず（変更通知書や変更履歴表などがない）、関係者に連絡しない（メールや会議などがない）。変更後の製品やサービスは初回リリースと同様に検証および妥当性確認せず、文書化された承認も得ない。コントロールプランやその他の関連文書も更新しない。箇条要求事項の概要詳細解説：本要求事項は、製品又はサービスに何らかの変更が発生した場合に、その変更管理プロセスを実施することを求めている。つまり、変更の理由、影響、承認者、実施日を文書化し（変更通知書や変更履歴表など）、関係者に通知する（メールや会議など）ことである。また、変更後の製品又はサービスは初回リリースと同様に検証および妥当性確認し、文書化された承認を得ることも必要である。コントロールプランやその他の関連文書も必要に応じて更新することも忘れずに行うことである。
