8.6.4,30,-,外部から提供される製品及びサービスの検証及び受入れの方法として、以下のうち正しいものを選びなさい。,選択肢a：供給者から提供された統計データの受領及び評価,選択肢b：供給者から提供された検査成績書の受領及び確認,選択肢c：供給者から提供された製品及びサービスの受入れ検査及び試験,a,要求事項の適合した例：供給者からXbarR管理図などの統計データを納品と同時に提供することを要求し、そのデータを受領して評価する。 適合していない例：供給者から検査成績書だけを受領して確認するだけで、製品やサービスの品質を保証するプロセスを持たない。 箇条要求事項の概要詳細解説：外部から提供されるプロセス、製品及びサービスの品質を確実にするプロセスを持つことが必要であり、その方法としてa)～e)の5つが挙げられている。その中で、検査成績書だけを受領することは望ましくなく、統計データや第三者評価などの他の方法を用いることが推奨されている。
8.6.4,31,-,外部から提供される製品及びサービスの検証及び受入れにおいて、以下のうち正しくないものを選びなさい。,選択肢a：供給者のパフォーマンスに基づいて、受入検査及び試験の程度を変更することができる。,選択肢b：指定された試験所による部品評価は、顧客と合意した場合に限り有効である。,選択肢c：外部から提供されるプロセス、製品及びサービスに関する法令・規制への適合は、供給者に委ねることができる。,c,要求事項の適合した例：外部から提供されるプロセス、製品及びサービスに関する法令・規制への適合は、自社で確認し、必要な場合は対策を講じる。 適合していない例：外部から提供されるプロセス、製品及びサービスに関する法令・規制への適合は、供給者の責任であるとして、自社で確認しない。 箇条要求事項の概要詳細解説：外部から提供されるプロセス、製品及びサービスに関する法令・規制への適合は、自社の責任であるとして、8.6.5項で要求されている。供給者に委ねることはできない。一方、指定された試験所による部品評価は、顧客と合意した場合に有効であるとして、8.6.4項d)で要求されている。また、供給者のパフォーマンスに基づいて、受入検査及び試験の程度を変更することは、8.6.4項b)で認められている。
8.6.4,32,-,外部から提供される製品及びサービスの検証及び受入れにおいて、以下のうち正しいものを選びなさい。,選択肢a：外部から提供される製品及びサービスの検証及び受入れは、ISO9001の要求事項だけで十分であり、IATF16949の要求事項は適用しなくてよい。,選択肢b：外部から提供される製品及びサービスの検証及び受入れは、自動車部品に限られるため、金型設計や金型加工などの外注工程には適用しなくてよい。,選択肢c：外部から提供される製品及びサービスの検証及び受入れは、製品に使用される部品や材料だけでなく、工程の一部を外注化した製品にも適用しなければならない。,c,要求事項の適合した例：金型設計や金型加工などの外注工程に対しても、外部から提供されるプロセス、製品及びサービスの品質を確実にするプロセスを持ち、その方法としてa)～e)の5つから最低一つを選んで実施する。 適合していない例：金型設計や金型加工などの外注工程に対しては、外部から提供されるプロセス、製品及びサービスの検証及び受入れを行わない。 箇条要求事項の概要詳細解説：外部から提供されるプロセス、製品及びサービスとは、自動車関係製品の設計・開発、生産、組立、取付け、サービスを提供する組織であり、顧客規定生産部品、サービス部品、アクセサリー部品を製造するサイトが対象であるとして8.6.4項(1)で要求されている。したがって、金型設計や金型加工などの外注工程も対象となる。また、IATF16949はISO9001を含む規格であるため、ISO9001だけでは不十分であり、IATF16949の要求事項も適用しなければならない。
8.6.4,33,-,外部から提供される製品及びサービスの検証及び受入れにおいて、以下のうち正しくないものを選びなさい。,選択肢a：外部から提供される製品及びサービスに関する法令・規制への適合は、受入れ検査及び試験の一環として確認することができる。,選択肢b：外部から提供される製品及びサービスに関する法令・規制への適合は、供給者から提供された統計データや第三者評価などを参考にして確認することができる。,選択肢c：外部から提供される製品及びサービスに関する法令・規制への適合は、自社で確認する必要はなく、供給者に任せることができる。,c,要求事項の適合した例：外部から提供されるプレス部品に対して、自社でプレス製造能力レベル3【プレス製造能力レベル3とは、プレス製品の寸法精度や変形量などを定量的に評価する指標である】を満たすかどうかを受入れ検査及び試験で確認する。 適合していない例：外部から提供されるプレス部品に対して、自社でプレス製造能力レベル3を満たすかどうかを確認しないで、供給者に任せる。 箇条要求事項の概要詳細解説：外部から提供されるプロセス、製品及びサービスに関する法令・規制への適合は、自社の責任であるとして、8.6.5項で要求されている。供給者に任せることはできない。受入れ検査及び試験や統計データや第三者評価などは、適合確認の方法として利用することができる。
8.6.4,34,-,外部から提供される製品及びサービスの検証及び受入れにおいて、以下のうち正しいものを選びなさい。,選択肢a：外部から提供される製品及びサービスの検証及び受入れは、ISO9001の要求事項だけで十分であり、IATF16949の要求事項は適用しなくてよい。,選択肢b：外部から提供される製品及びサービスの検証及び受入れは、自動車部品に限られるため、金型設計や金型加工などの外注工程には適用しなくてよい。,選択肢c：外部から提供される製品及びサービスの検証及び受入れは、製品に使用される部品や材料だけでなく、工程の一部を外注化した製品にも適用しなければならない。,c,要求事項の適合した例：金型設計や金型加工などの外注工程に対しても、外部から提供されるプロセス、製品及びサービスの品質を確実にするプロセスを持ち、その方法としてa)～e)の5つから最低一つを選んで実施する。 適合していない例：金型設計や金型加工などの外注工程に対しては、外部から提供されるプロセス、製品及びサービスの検証及び受入れを行わない。 箇条要求事項の概要詳細解説：外部から提供されるプロセス、製品及びサービスとは、自動車関係製品の設計・開発、生産、組立、取付け、サービスを提供する組織であり、顧客規定生産部品、サービス部品、アクセサリー部品を製造するサイトが対象であるとして8.6.4項(1)で要求されている。したがって、金型設計や金型加工などの外注工程も対象となる。また、IATF16949はISO9001を含む規格であるため、ISO9001だけでは不十分であり、IATF16949の要求事項も適用しなければならない。
8.6.3,35,-,外観品目として顧客に指定された製品に対して、外観検査を行う場合、以下のうち正しくないものを選びなさい。,選択肢a：外観検査は、照度計を用いて定期的に照明の明るさを測定し、適切な基準に従って管理する必要がある。,選択肢b：外観検査は、色や光沢などの外観特性を評価するために、マスターサンプルや評価設備を用意し、保全及び管理する必要がある。,選択肢c：外観検査は、外観品目担当者のスキルや力量を評価する必要はなく、任意の人員で行うことができる。,c,要求事項の適合した例：外観品目として顧客に指定されたヘッドランプに対して、外観検査を行う場合、照度計を用いて月に一度照明の明るさを測定し、JIS照度基準に従って管理する。また、色や光沢などの外観特性を評価するために、マスターサンプルや評価設備を用意し、保全及び管理する。さらに、外観品目担当者のスキルや力量を評価するために、資格制度を設けて定期的に試験や研修を行う。 適合していない例：外観品目として顧客に指定されたヘッドランプに対して、外観検査を行う場合、照度計を用いて照明の明るさを測定しないで、目分量で判断する。また、色や光沢などの外観特性を評価するために、マスターサンプルや評価設備を用意しないで、自分の感覚で判断する。さらに、外観品目担当者のスキルや力量を評価する必要はなく、任意の人員で行うことができる。 箇条要求事項の概要詳細解説：外観品目として顧客に指定された製造部品に対して、組織は次の事項を提供しなければならないとして8.6.3項で要求されている。a)照明を含む、評価のための適切な資源。b)必要に応じて、色、絞（シボ）、光沢、金属性光沢、風合い、イメージの明瞭さ（DOI）のマスター及び触感技術。c)外観マスター及び評価設備の保全及び管理。d)外観品目担当者のスキル育成と継続した力量の維持体制。
8.6.3,36,-,外観品目として顧客に指定された製品に対して、外観検査を行う場合、以下のうち正しいものを選びなさい。,選択肢a：外観検査は、顧客から提供されたマスターサンプルや評価設備を用いて行うことができる。,選択肢b：外観検査は、自社で作成したマスターサンプルや評価設備を用いて行うことができる。,選択肢c：外観検査は、マスターサンプルや評価設備を用いずに行うことができる。,b,要求事項の適合した例：外観品目として顧客に指定されたバンパーに対して、外観検査を行う場合、自社で作成した色や光沢などの外観特性を評価するためのマスターサンプルや評価設備を用いて行う。また、マスターサンプルや評価設備は、顧客と取り交わしたものと一致することを確認する。 適合していない例：外観品目として顧客に指定されたバンパーに対して、外観検査を行う場合、顧客から提供された色や光沢などの外観特性を評価するためのマスターサンプルや評価設備を用いて行う。また、マスターサンプルや評価設備は、顧客と取り交わしたものと一致しないことがある。 箇条要求事項の概要詳細解説：外観品目として顧客に指定された製造部品に対して、組織は必要に応じて、色、絞（シボ）、光沢、金属性光沢、風合い、イメージの明瞭さ（DOI）のマスター及び触感技術を提供しなければならないとして8.6.3項b)で要求されている。この場合、マスターサンプルや評価設備は自社で作成することができるが、顧客と取り交わしたものと一致することを確認しなければならない。
8.6.3,37,-,外観品目の評価方法について誤っているものはどれか。,選択肢a：外観品目は顧客と取り交わしたマスターサンプルと比較して評価することが必要である。,選択肢b：外観品目の検査は照度管理された環境で行うことが必要である。,選択肢c：外観品目の検査は計測機器と同じ管理を必要としない。,c,適合した例：外観品目のマスターサンプルや評価設備は校正や保全などの管理を行う。 適合していない例：外観品目のマスターサンプルや評価設備は特に管理しない。箇条要求事項の概要詳細解説：IATF16949の8.6.3項では、外観品目に対して、照明を含む適切な資源、必要に応じたマスターサンプルや触感技術、外観マスター及び評価設備の保全及び管理、外観品目担当者の力量評価などを提供することを求めている。したがって、選択肢cは誤りである。
8.6.3,38,-,外観品目の担当者について正しいものはどれか。,選択肢a：外観品目の担当者は特別な資格や教育を必要としない。,選択肢b：外観品目の担当者は定期的に力量評価を受けることが必要である。,選択肢c：外観品目の担当者は自分で評価方法や基準を決めることができる。,b,適合した例：外観品目の担当者はマスターサンプルや評価設備の使用方法などの教育を受ける。 適合していない例：外観品目の担当者は特に教育や評価を受けずに検査を行う。箇条要求事項の概要詳細解説：IATF16949の8.6.3項では、外観品目の担当者に対して、力量評価及び必要に応じて資格制度を提供することを求めている。したがって、選択肢bが正しいである。
8.6.3,39,-,外観品目の評価方法について正しいものはどれか。,選択肢a：外観品目の評価方法は顧客と合意したものを使用する。,選択肢b：外観品目の評価方法は自社で独自に開発したものを使用する。,選択肢c：外観品目の評価方法は国際規格や業界規格に準拠したものを使用する。,a,適合した例：外観品目の評価方法は顧客から提供されたマスターサンプルや評価設備を使用する。 適合していない例：外観品目の評価方法は自社で作成したチェックリストや判断基準を使用する。箇条要求事項の概要詳細解説：IATF16949の8.6.3項では、外観品目の評価方法について、顧客と合意したものを使用することを求めている。したがって、選択肢aが正しいである。
8.6.3,40,-,外観品目の検査環境について正しいものはどれか。,選択肢a：外観品目の検査環境は、顧客と合意したものを使用する。,選択肢b：外観品目の検査環境は、自社で独自に決めたものを使用する。,選択肢c：外観品目の検査環境は、国際規格や業界規格に準拠したものを使用する。,a,適合した例：外観品目の検査環境は、顧客から提供された照度基準や限度見本を使用する。 適合していない例：外観品目の検査環境は、自社で設定した照度や判断基準を使用する。箇条要求事項の概要詳細解説：IATF16949の8.6.3項では、外観品目の検査環境について、顧客と合意したものを使用することを求めている。したがって、選択肢aが正しいである。
