9.1.3.1,30,-,品質及び運用パフォーマンスの傾向を分析し、顧客満足を改善する処置の優先順位付けを支援する処置を導くためには、どのような指標管理が必要でしょうか？,選択肢a：目標への進展と比較した実績を定期的に管理すること,選択肢b：実績に対する分析による傾向と優先順位の判断を定期的に行うこと,選択肢c：目標と実績の差異を定期的に分析し、是正処置を実施すること,b,要求事項の適合した例：組織は、顧客から提供された品質及び運用パフォーマンスの指標（例：不良率、納期遵守率、顧客クレーム数など）を月次で管理し、目標との差異や傾向を分析して、改善の必要性や優先度を判断している。適合していない例：組織は、品質及び運用パフォーマンスの指標を不定期に管理し、目標との差異や傾向を分析せず、改善の必要性や優先度を判断していない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの指標を定期的に管理し、目標と比較して分析することで、顧客満足を改善するための処置の優先順位付けを支援する処置を導くことを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,31,-,製品安全関連の製品及び製造プロセスにおいて、安全関連の要求事項又は文書に対する特別承認レビューが必要な場合があります。特別承認レビューとは何でしょうか？,選択肢a：安全関連の内容を含む文書に対する組織内部の追加承認プロセスである,選択肢b：安全関連の内容を含む文書に対する責任者（通常は顧客）による追加承認プロセスである,選択肢c：安全関連の内容を含む文書に対するIATF認証機関による追加承認プロセスである,b,要求事項の適合した例：組織は、製品安全関連の製品及び製造プロセスにおいて、顧客から規定された安全関連の要求事項又は文書（例：設計仕様書、FMEA、コントロールプランなど）に対して、特別承認レビューが必要かどうかを確認し、必要な場合は顧客から正式な承認を得ている。適合していない例：組織は、製品安全関連の製品及び製造プロセスにおいて、安全関連の要求事項又は文書に対して特別承認レビューが必要かどうかを確認せず、顧客から正式な承認を得ていない。箇条要求事項の概要詳細解説：この要求事項は、組織が製品安全関連の製品及び製造プロセスにおいて、安全関連の内容を含む文書（例：設計仕様書、FMEA、コントロールプランなど）に対して特別承認レビューが必要かどうかを確認し、必要な場合は責任者（通常は顧客）から追加承認を得ることを求めている。この要求事項は、IATF 16949:2016 の 4.4.1.2 項（製品安全）に基づく公式解釈 SI-2 で明確化されている。
9.1.3.1,32,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が考慮しなければならない要素は何でしょうか？,選択肢a：顧客からのフィードバックや苦情、内部監査や外部監査の結果、製品やプロセスの不適合や故障などである,選択肢b：顧客からのフィードバックや苦情、内部監査や外部監査の結果、製品やプロセスの不適合や故障、リスク分析や機会分析の結果などである,選択肢c：顧客からのフィードバックや苦情、内部監査や外部監査の結果、製品やプロセスの不適合や故障、リスク分析や機会分析の結果、法令や規制の変更などである,c,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、顧客からのフィードバックや苦情（例：CS調査やクレーム対応など）、内部監査や外部監査（例：IATF 16949:2016 やISO 9001:2015 など）の結果、製品やプロセス（例：プレス製造や射出成型製造など）の不適合や故障（例：不良品や再作業など）、リスク分析や機会分析（例：SWOT分析やFMEAなど）の結果、法令や規制（例：自動車安全基準法や環境法など）の変更などを考慮している。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、顧客からのフィードバックや苦情、内部監査や外部監査の結果、製品やプロセスの不適合や故障だけを考慮し、リスク分析や機会分析の結果、法令や規制の変更などを考慮していない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、顧客からのフィードバックや苦情、内部監査や外部監査の結果、製品やプロセスの不適合や故障、リスク分析
9.1.3.1,33,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべき分析手法は何でしょうか？,選択肢a：統計的プロセス制御（SPC）や故障モードと影響分析（FMEA）などの予防的手法である,選択肢b：特性要因図やパレート図などの問題解決的手法である,選択肢c：ISO 9001:2015 やIATF 16949:2016 などの規格要求事項に基づく手法である,b,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、特性要因図やパレート図などの問題解決的手法を使用して、原因や効果、優先度などを明確にしている。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、統計的プロセス制御（SPC）や故障モードと影響分析（FMEA）などの予防的手法を使用して、現状や改善点を把握していない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、問題解決的手法（例：特性要因図やパレート図など）を使用することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,34,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべきデータ収集方法は何でしょうか？,選択肢a：顧客やサプライヤーから提供されたデータや情報を使用すること,選択肢b：自社の製品やプロセスから得られたデータや情報を使用すること,選択肢c：業界や市場から得られたデータや情報を使用すること,b,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、自社の製品やプロセス（例：金型設計や金型加工など）から得られたデータや情報（例：測定値や検査結果など）を使用して、現状や改善点を把握している。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、顧客やサプライヤーから提供されたデータや情報（例：不良率や納期遵守率など）だけを使用して、自社の製品やプロセスの状況や改善点を把握していない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、自社の製品やプロセスから得られたデータや情報を使用することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,35,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべきデータの品質は何でしょうか？,選択肢a：データは正確で信頼できること,選択肢b：データは最新でタイムリーであること,選択肢c：データは正確で信頼できるとともに、最新でタイムリーであること,c,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、正確で信頼できるとともに、最新でタイムリーなデータ（例：自動機設計や自動機組立などのプロセスから得られた測定値や検査結果など）を使用して、現状や改善点を把握している。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、不正確で信頼できないか、古くて時代遅れなデータ（例：プレス部品脱脂処理などのプロセスから得られた測定値や検査結果など）を使用して、現状や改善点を把握していない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、正確で信頼できるとともに、最新でタイムリーなデータを使用することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,36,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべきデータの範囲は何でしょうか？,選択肢a：組織の製品やプロセスに関連するデータだけである,選択肢b：組織の製品やプロセスに関連するデータと、競合他社やベンチマークとなる組織のデータである,選択肢c：組織の製品やプロセスに関連するデータと、業界や市場の動向や予測に関するデータである,b,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、自社の製品やプロセス（例：金型設計や金型加工など）に関連するデータと、競合他社やベンチマークとなる組織（例：同業界や同規模など）のデータ（例：不良率や納期遵守率など）を使用して、自社の強みや弱みを把握している。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、自社の製品やプロセス（例：プレス部品脱脂処理など）に関連するデータだけを使用して、競合他社やベンチマークとなる組織のデータを参考にしていない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、自社の製品やプロセスに関連するデータと、競合他社やベンチマークとなる組織のデータを使用することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,37,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべきデータの分析方法は何でしょうか？,選択肢a：データを単純に集計や平均化すること,選択肢b：データをグラフやチャートに表示すること,選択肢c：データを統計的な手法やツールによって分析すること,c,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：自動機設計や自動機組立などのプロセスから得られた測定値や検査結果など）を統計的な手法やツール（例：平均値や標準偏差、相関係数や回帰分析など）によって分析して、傾向や関係性を把握している。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：プレス部品脱脂処理などのプロセスから得られた測定値や検査結果など）を単純に集計や平均化したり、グラフやチャートに表示したりして、傾向や関係性を分析していない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、データを統計的な手法やツールによって分析することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,38,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべきデータの保護方法は何でしょうか？,選択肢a：データは紙やメモリカードなどの物理的な媒体に保存すること,選択肢b：データは暗号化やバックアップなどの技術的な手段によって保護すること,選択肢c：データは法令や規制に従って適切に廃棄すること,b,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：自動機設計や自動機組立などのプロセスから得られた測定値や検査結果など）を暗号化やバックアップなどの技術的な手段によって保護して、紛失や漏洩や改ざんを防止している。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：プレス部品脱脂処理などのプロセスから得られた測定値や検査結果など）を紙やメモリカードなどの物理的な媒体に保存して、紛失や漏洩や改ざんのリスクを高めている。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、データを暗号化やバックアップなどの技術的な手段によって保護することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,39,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべきデータの報告方法は何でしょうか？,選択肢a：データは経営陣や関係者に口頭で報告すること,選択肢b：データは経営陣や関係者に文書や電子メールなどの記録で報告すること,選択肢c：データは経営陣や関係者にSNSやブログなどのオンラインで報告すること,b,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：自動機設計や自動機組立などのプロセスから得られた測定値や検査結果など）を経営陣や関係者（例：顧客やサプライヤーなど）に文書や電子メールなどの記録で報告して、情報共有や意思決定を支援している。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：プレス部品脱脂処理などのプロセスから得られた測定値や検査結果など）を経営陣や関係者（例：顧客やサプライヤーなど）に口頭で報告して、情報共有や意思決定を支援していない。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、データを経営陣や関係者に文書や電子メールなどの記録で報告することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
9.1.3.1,40,-,品質及び運用パフォーマンスの傾向を分析する際に、組織が使用するべきデータの改善方法は何でしょうか？,選択肢a：データは定期的に見直しや更新を行うこと,選択肢b：データは分析結果に基づいて改善活動や是正措置を実施すること,選択肢c：データは経営陣や関係者にフィードバックや提案を行うこと,b,要求事項の適合した例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：自動機設計や自動機組立などのプロセスから得られた測定値や検査結果など）を分析結果に基づいて改善活動や是正措置（例：品質目標や品質方針の策定や改訂、プロセスの改善や最適化など）を実施して、品質及び運用パフォーマンスの向上を図っている。適合していない例：組織は、品質及び運用パフォーマンスの傾向を分析する際に、データ（例：プレス部品脱脂処理などのプロセスから得られた測定値や検査結果など）を分析結果に基づいて改善活動や是正措置（例：品質目標や品質方針の策定や改訂、プロセスの改善や最適化など）を実施せず、そのまま放置している。箇条要求事項の概要詳細解説：この要求事項は、組織が品質及び運用パフォーマンスの傾向を分析する際に、データを分析結果に基づいて改善活動や是正措置を実施することを求めている。この要求事項は、ISO 9001:2015 の 9.1.3 項（分析及び評価）に基づいており、自動車産業固有の追加要求事項である。
