7.1.5.2.1,1,-,校正/検証の記録の適切な管理に関して、以下のどの記述が正しいですか？,選択肢a：校正/検証の記録は内部要求事項にのみ適合していれば良い,選択肢b：測定に関連するすべての機器の校正/検証の記録を保持しなければならない,選択肢c：校正/検証の記録を文書化しなくても良い,c,適合した例：内部要求事項、法令・規制要求事項及び顧客が定めた要求事項への適合の証拠を提供するために必要な、全てのゲージ、測定機器及び試験設備に対する校正／検証の活動の記録を保持している。適合していない例：顧客が定めた要求事項に適合しない記録を保持している。箇条要求事項の概要詳細解説：組織は、校正／検証の記録をマネジメントする文書化したプロセスを持たなければならない。内部要求事項、法令・規制要求事項及び顧客が定めた要求事項への適合の証拠を提供するために必要な、全てのゲージ、測定機器及び試験設備に対する校正／検証の活動の記録を保持しなければならない。
7.1.5.2.1,2,-,校正/検証の活動及び記録には次のうちどの詳細事項を含めなければならないか？,選択肢a：検査測定及び試験設備の販売価格,選択肢b：検査測定及び試験設備の製造元,選択肢c：仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価,c,適合した例：検査測定及び試験設備の仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価を記録に含めている。適合していない例：仕様外れ状態によるリスク評価が記録から欠落している。箇条要求事項の概要詳細解説：組織は、校正／検証の活動及び記録には、測定システムに影響する設計変更による改訂、校正／検証のために受け入れた状態での仕様外れの値、仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価などの詳細事項を含めなければならないことを確実にしなければならない。
7.1.5.2.1,3,-,校正／検証後の仕様への適合表明に関連して、以下のどの記述が正しいですか？,選択肢a：仕様への適合表明は必要ない,選択肢b：仕様への適合表明は文書化しなくても良い,選択肢c：校正／検証後の仕様への適合表明を含めなければならない,c,適合した例：校正／検証後の仕様への適合表明を文書化して保持している。適合していない例：校正／検証後の仕様への適合表明が文書化されていない。箇条要求事項の概要詳細解説：組織は、校正／検証の活動及び記録には校正／検証後の仕様への適合表明を含めなければならない。
7.1.5.2.1,4,-,製品及び工程の管理に使用されるソフトウェアのバージョンが指示どおりであることの検証に関連して、以下のどの記述が正しいですか？,選択肢a：ソフトウェアのバージョンは検証しなくても良い,選択肢b：ソフトウェアのバージョンが指示どおりであることの検証を含めなければならない,選択肢c：ソフトウェアのバージョン検証は組織の裁量に任せられる,b,適合した例：製品及び工程の管理に使用されるソフトウェアのバージョンが指示どおりであることを検証し、記録に含めている。適合していない例：ソフトウェアのバージョンの検証が行われておらず、記録に含まれていない。箇条要求事項の概要詳細解説：組織は、校正／検証の活動及び記録には製品及び工程の管理に使用されるソフトウェアのバージョンが指示どおりであることの検証を含めなければならない。
7.1.5.2.1,5,-,仕様外れの値に関して、以下のどの記述が正しいですか？,選択肢a：仕様外れの値は記録に含める必要がない,選択肢b：仕様外れの値は校正／検証のために受け入れた状態で記録に含める,選択肢c：仕様外れの値は常に顧客に報告しなければならない,b,適合した例：校正／検証のために受け入れた状態での仕様外れの値を記録に含めている。適合していない例：仕様外れの値が記録から欠落している。箇条要求事項の概要詳細解説：組織は、校正／検証の活動及び記録には、校正／検証のために受け入れた状態での仕様外れの値を含めなければならない。
7.1.5.2.1,6,-,製品及び工程の管理に使用される（従業員所有の機器、顧客所有の機器、サイト内供給者所有の機器にインストールされたソフトウェアを含む）生産に関係するソフトウェアの検証に関して、以下のどの記述が正しいですか？,選択肢a：生産に関係するソフトウェアの検証は必要ない,選択肢b：生産に関係するソフトウェアの検証は任意である,選択肢c：生産に関係するソフトウェアの検証を含めなければならない,c,適合した例：製品及び工程の管理に使用される（従業員所有の機器、顧客所有の機器、サイト内供給者所有の機器にインストールされたソフトウェアを含む）生産に関係するソフトウェアの検証を行い、記録に含めている。適合していない例：生産に関係するソフトウェアの検証が行われておらず、記録に含まれていない。箇条要求事項の概要詳細解説：組織は、校正／検証の活動及び記録には製品及び工程の管理に使用される（従業員所有の機器、顧客所有の機器、サイト内供給者所有の機器にインストールされたソフトウェアを含む）生産に関係するソフトウェアの検証を含めなければならない。
7.1.5.2.1,7,-,校正／検証の記録には、次の詳細事項を含める必要がありますが、どれが正しくないでしょうか？,選択肢a：検査測定及び試験設備の製造元の名前,選択肢b：仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価,選択肢c：校正／検証後の仕様への適合表明,a,適合した例：校正／検証の記録には仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価や校正／検証後の仕様への適合表明が含まれている。適合していない例：検査測定及び試験設備の製造元の名前が記録に含まれている。箇条要求事項の概要詳細解説：校正／検証の記録には、仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価や校正／検証後の仕様への適合表明などが含まれるべきであり、検査測定及び試験設備の製造元の名前は必要事項ではありません。
7.1.5.2.1,8,-,校正／検証の記録において、次のうちどれが必要でないでしょうか？,選択肢a：計画した検証または校正が行われていること,選択肢b：顧客への通知が適切に行われていること,選択肢c：従業員の昼食メニュー,c,適合した例：校正／検証の記録には計画した検証または校正が行われていることや顧客への通知が適切に行われていることが含まれている。適合していない例：記録に従業員の昼食メニューが含まれている。箇条要求事項の概要詳細解説：校正／検証の記録には、計画した検証または校正が行われていることや顧客への通知が適切に行われていることが含まれるべきであり、従業員の昼食メニューは関係ありません。
7.1.5.2.1,9,-,次のうち、IATF 16949：2016における校正／検証の記録要求事項に関連があるのはどれでしょうか？,選択肢a：顧客所有の機器の校正／検証,選択肢b：サプライヤー所有の機器の校正／検証は除外される,選択肢c：顧客の承認が必要である,a,適合した例：顧客所有の機器の校正／検証が行われ、記録に含まれている。適合していない例：サプライヤー所有の機器の校正／検証が除外されている。箇条要求事項の概要詳細解説：組織は、顧客所有の機器を含む全てのゲージ、測定機器及び試験設備（測定に関連する従業員所有の機器、サイト内供給者所有の機器も含む）に対する校正／検証の活動の記録を保持しなければならない。サプライヤー所有の機器の校正／検証も含まれるべきであり、顧客の承認は必ずしも必要ではありません。
7.1.5.2.1,10,-,校正／検証の記録に関連する要求事項のうち、どの詳細事項が含まれるべきではありませんか？,選択肢a：検査測定及び試験設備の製造元の名前,選択肢b：仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価,選択肢c：校正／検証後の仕様への適合表明,a,適合した例：記録に仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価や校正／検証後の仕様への適合表明が含まれている。適合していない例：記録に検査測定及び試験設備の製造元の名前が含まれている。箇条要求事項の概要詳細解説：校正／検証の記録には、仕様外れ状態によって引き起こされ得る製品の意図した用途に対するリスクの評価や校正／検証後の仕様への適合表明などが含まれるべきであり、検査測定及び試験設備の製造元の名前は必要事項ではありません。
7.1.5.2.1,11,-,校正／検証の記録には次のうちどれが含まれるべきではありませんか？,選択肢a：設計変更による改訂が測定システムに与える影響,選択肢b：校正／検証のために受け入れた状態での仕様外れの値,選択肢c：計画された校正／検証活動の予算,c,適合した例：記録に設計変更による改訂が測定システムに与える影響や校正／検証のために受け入れた状態での仕様外れの値が含まれている。適合していない例：記録に計画された校正／検証活動の予算が含まれている。箇条要求事項の概要詳細解説：校正／検証の記録には、設計変更による改訂が測定システムに与える影響や校正／検証のために受け入れた状態での仕様外れの値が含まれるべきであり、計画された校正／検証活動の予算は必要事項ではありません。
