7.1.5.3.2,1,-,組織が外部試験所を選択する際の基準は何か?,選択肢a：試験所はISO 9001に認定されていること,選択肢b：試験所はISO/IEC 17025またはこれに相当する国内基準に認定されていること,選択肢c：試験所はISO 14001に認定されていること,b,適合した例：組織がISO/IEC 17025に認定された試験所を選択した場合。適合していない例：組織がISO 9001またはISO 14001にしか認定されていない試験所を選択した場合。要求事項の概要詳細解説：ISO/IEC 17025またはこれに相当する国内基準に認定されていることが求められています。これは、試験所が適切な検査、試験、校正サービスを提供できる能力を保証するためのものです。
7.1.5.3.2,2,-,非認定試験所を利用する場合、組織が満たさなければならない条件は何か?,選択肢a：試験所がISO 9001に準拠していることを確認する,選択肢b：試験所が評価され、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠があることを確認する,選択肢c：試験所がISO 14001に準拠していることを確認する,b,適合した例：組織が試験所の評価を行い、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠を確認した場合。適合していない例：組織が試験所のISO 9001やISO 14001の準拠を確認しただけで、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠を確認しなかった場合。要求事項の概要詳細解説：非認定試験所を利用する場合でも、試験所の能力とサービスの品質を確保するために、試験所が評価され、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠があることを確認する責任が組織にあります。
7.1.5.3.2,3,-,ILAC MRAに認定された試験所の校正または試験報告書は何を含んでいなければならないか?,選択肢a：組織のロゴ,選択肢b：国家認定機関のマーク,選択肢c：試験所のロゴ,b,適合した例：試験所の校正または試験報告書に国家認定機関のマークが含まれている場合。適合していない例：試験所の校正または試験報告書に国家認定機関のマークが含まれていない場合。要求事項の概要詳細解説：ILAC MRAに認定された試験所の校正または試験報告書は、国家認定機関のマークを含んでいなければならない。これは、試験所が認定を受けた証拠を示し、その信頼性を保証するためのものです。
7.1.5.3.2,4,-,一体型測定機器の自己校正は何に該当するか?,選択肢a：外部試験所による校正,選択肢b：内部試験所による校正,選択肢c：校正の要求事項に該当しない,c,適合した例：組織が一体型測定機器の自己校正を行い、その校正を外部または内部の試験所に依存しない場合。適合していない例：組織が一体型測定機器の自己校正を行い、それを外部または内部の試験所による校正と同等と扱った場合。要求事項の概要詳細解説：一体型測定機器の自己校正は、校正の要求事項に該当しないとされています。つまり、一体型測定機器の自己校正は、外部または内部の試験所による校正とは異なり、その規格に合致する要求を満たす必要はありません。これは、一体型測定機器が自己校正機能を持つことで、校正の要求が適用されない特例となります。
7.1.5.3.2,5,-,ある機器に対して認定された試験所を利用できない場合、校正サービスはどのように実行されるべきか?,選択肢a：組織自身が校正を行う,選択肢b：機器の製造業者によって校正が行われる,選択肢c：第三者の非認定試験所によって校正が行われる,b,適合した例：機器の製造業者が校正を行い、その結果を組織に報告した場合。適合していない例：組織自身または第三者の非認定試験所が校正を行った場合。要求事項の概要詳細解説：認定試験所が利用できない場合、校正サービスは機器の製造業者によって実行されます。ただし、この場合でも、組織は7.1.5.3.1に記載された要求事項を満たすことを確認しなければならない。
7.1.5.3.2,6,-,IATF16949の7.1.5.3.2項の要求事項を満たすために、非認定試験所を利用する場合にはどのような証拠が必要か?,選択肢a：試験所がISO/IEC 17025に認定されている証拠,選択肢b：試験所が評価され、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠,選択肢c：試験所が国家認定機関のマークを含んでいる証拠,b,適合した例：組織が試験所を評価し、IATF16949の7.1.5.3.1項の要求事項を満たしていることを証明できる文書を持っている場合。適合していない例：試験所がISO/IEC 17025に認定されている証拠しか持っていない場合。要求事項の概要詳細解説：非認定試験所を利用する場合でも、組織は試験所が評価され、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠があることを確認する責任があります。
7.1.5.3.2,7,-,組織が使用する外部試験所施設は、要求される検査、試験、または校正を実行する能力を含む定められた試験所適用範囲を持つ必要があります。どのような試験所がこの要求に適合するか?,選択肢a：ISO/IEC 17025に認定され、適用範囲に含まれる検査、試験、または校正サービスが明記されている試験所,選択肢b：顧客が認めた試験所,選択肢c：任意の試験所,a,適合した例：試験所がISO/IEC 17025に認定され、認定の適用範囲に含まれる検査、試験、または校正サービスが明記されている場合。適合していない例：試験所がISO/IEC 17025に認定されているが、適用範囲に含まれる検査、試験、または校正サービスが明記されていない場合。要求事項の概要詳細解説：組織が使用する外部試験所は、その能力と適用範囲を明確に示すことが求められています。その適用範囲は、組織が必要とする検査、試験、または校正を含む必要があります。また、試験所はISO/IEC 17025に認定され、その認定の適用範囲に含まれる検査、試験、または校正サービスが明記されていなければなりません。
7.1.5.3.2,8,-,非認定試験所を利用する場合、どのようなケースが想定されますか?,選択肢a：特殊な専用機器のために試験所が利用される場合,選択肢b：組織が自社で検査、試験、または校正を行う場合,選択肢c：試験所がISO/IEC 17025に認定されていない場合,a,適合した例：特殊な専用機器のために国際的にトレーサブルな標準器がない場合、非認定試験所を利用する。適合していない例：組織が自社で検査、試験、または校正を行う場合。要求事項の概要詳細解説：非認定試験所を利用する場合の一つの例として、特殊な専用機器がある。これは、国際的にトレーサブルな標準器がない特性値のために、または当初の機器製造業者のために利用される場合があります。
7.1.5.3.2,9,-,外部試験所の校正または試験報告書に含まれていなければならないマークは何ですか?,選択肢a：試験所自身のマーク,選択肢b：国家認定機関のマーク,選択肢c：ISOのマーク,b,適合した例：認定試験所が行った校正または試験報告書には、国家認定機関のマークが含まれている。適合していない例：認定試験所が行った校正または試験報告書に国家認定機関のマークが含まれていない場合。要求事項の概要詳細解説：認定試験所が提供する校正または試験報告書には、その試験所が認定されている国家認定機関のマークが含まれていなければなりません。
7.1.5.3.2,10,-,試験所がISO/IEC 17025に認定されていない場合、組織はどのような措置を取るべきですか?,選択肢a：試験所にISO/IEC 17025認定を取得するよう求める,選択肢b：試験所を変更する,選択肢c：試験所が評価され、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠があることを確認する,c,適合した例：非認定試験所を利用する場合、組織は試験所がIATF16949の7.1.5.3.1項の要求事項を満たしている証拠があることを確認する。適合していない例：非認定試験所を利用するが、組織が試験所の評価やIATF16949の要求事項の遵守を確認していない場合。要求事項の概要詳細解説：非認定試験所を利用する場合、組織は試験所が評価され、IATF16949の7.1.5.3.1項の要求事項を満たしている証拠があることを確認する責任があります。
