7.2.4, 1, -, 第二者監査員が理解するべきリスクに基づく考え方とは何か?, 選択肢a：危険や不確実性を避けるための戦略, 選択肢b：組織の目標達成に影響を与える不確実性の影響を管理するアプローチ, 選択肢c：組織の成功を保証するための唯一の戦略,b, 要求事項の適合した例：監査員が不確実性の影響を評価し、その結果に基づいて監査計画を作成している。適合していない例：監査員が不確実性の影響を評価せず、その結果に基づいて監査計画を作成していない。箇条要求事項の概要詳細解説：「リスクに基づく考え方」はISO9001:2015の重要な概念であり、それは組織の目標達成に影響を与える不確実性の影響を管理するアプローチを指します。リスクは常に存在し、その影響は良い（機会）も悪い（危険）もあり得ます。リスクに基づく考え方は、これらの不確実性を認識し、理解し、管理することを意味します。第二者監査員は、組織がリスク管理を適切に行っているかを評価するために、このリスクに基づく考え方を理解しておく必要があります。
7.2.4, 2, -, 第二者監査員はどのコアツールの要求事項を理解しているべきか?, 選択肢a：PFMEA及びコントロールプラン, 選択肢b：自動車産業プロセスアプローチ, 選択肢c：監査範囲に関係する全てのコアツール要求事項,c, 要求事項の適合した例：監査員がPFMEA、コントロールプランだけでなく、他の関連コアツール（APQP、PPAP、MSA、SPC等）の要求事項も理解している。適合していない例：監査員がPFMEA及びコントロールプランのみを理解しており、他のコアツールについての理解が不足している。箇条要求事項の概要詳細解説：第二者監査員は監査範囲に関係する全てのコアツールの要求事項を理解している必要があります。これは、特定の製造工程を監査する際、その工程に関連する全ての要求事項を理解し評価できるようにするためです。PFMEAやコントロールプランは一例であり、その他にもAPQP、PPAP、MSA、SPC等のコアツールも含まれます。これらの理解により、監査員は組織がこれらの要求事項をどのように満たしているかを評価することができます。
7.2.4, 3, -, 第二者監査員は何を含む、最低限の核となる力量を実証しなければならないか?, 選択肢a：IATF16949要求事項に関する全ての理解, 選択肢b：自動車産業プロセスアプローチを含むリスクに基づく考え方等6項目, 選択肢c：監査に対する深い理解と長年の経験,b, 要求事項の適合した例：監査員が自動車産業プロセスアプローチ、顧客及び組織の固有要求事項、ISO9001及びIATF16949要求事項、製造工程、コアツール要求事項、監査の計画、実施、報告、完了の方法についての理解を示している。適合していない例：監査員がこれら6項目の中で一部のみを理解している、または一部のみを実証している。箇条要求事項の概要詳細解説：IATF16949:2016の7.2.4節は、第二者監査員が具体的にどのような力量を持つべきかを明示しています。その中で挙げられている6項目の理解が必要とされています。これらは、監査員が監査を適切に実施するために最低限必要な力量であり、監査員はこれら全てを実証しなければなりません。
7.2.4, 4, -, 第二者監査員の顧客固有要求事項への対応とは何を意味するか?, 選択肢a：特定の顧客からのみの要求事項に対応する, 選択肢b：全ての顧客からの要求事項に対応する, 選択肢c：該当する顧客及び組織の固有要求事項を理解し、これを満たす,c, 要求事項の適合した例：監査員が顧客固有の要求事項を理解し、これに対応している。適合していない例：監査員が一部の顧客固有要求事項を無視または理解していない。箇条要求事項の概要詳細解説：IATF16949の7.2.4では、第二者監査員が該当する顧客及び組織の固有要求事項を理解し、これを満たすことが必要とされています。これは、監査員が監査対象の組織が特定の顧客から受ける要求を理解し、その組織がこれらの要求に対して適切に対応しているかを評価するためです。
7.2.4, 5, -, 第二者監査員が製造工程を理解するためには何が必要か?, 選択肢a：PFMEA及びコントロールプラン, 選択肢b：ISO9001及びIATF16949要求事項, 選択肢c：製造工程に関する全ての情報,a, 要求事項の適合した例：監査員がPFMEA及びコントロールプランを用いて製造工程を理解している。適合していない例：監査員が製造工程の理解にPFMEAやコントロールプランを用いていない。箇条要求事項の概要詳細解説：IATF16949の7.2.4節では、第二者監査員がPFMEA及びコントロールプランを用いて製造工程を理解することが要求されています。これは、監査対象となる製造工程のリスクを理解し、それに対する適切な対策が計画され、実施されているかを確認するためのものです。
7.2.4, 6, -, 第二者監査員が監査範囲に関係するコアツール要求事項を理解するためには何が必要か?, 選択肢a：製造工程の理解, 選択肢b：該当するISO9001及びIATF16949要求事項の理解, 選択肢c：関連する全てのコアツール（APQP, PPAP, FMEA, MSA, SPC）の理解,c, 要求事項の適合した例：監査員が関連する全てのコアツール（APQP, PPAP, FMEA, MSA, SPC）を理解している。適合していない例：監査員が一部のコアツールを理解していない。箇条要求事項の概要詳細解説：7.2.4節では、第二者監査員が監査範囲に関係するコアツール要求事項を理解することが要求されています。これは、監査対象の組織が品質管理のためにこれらのツールを適切に使用しているかを確認するためです。
7.2.4, 7, -, 第二者監査員が監査の計画、実施、報告、完了の方法について理解するためには何が必要か?, 選択肢a：ISO19011の理解, 選択肢b：IATF16949の理解, 選択肢c：該当するISO9001及びIATF16949要求事項の理解,a, 要求事項の適合した例：監査員がISO19011を理解し、監査の計画、実施、報告、完了の方法を適切に行っている。適合していない例：監査員が監査の計画、実施、報告、完了の方法を適切に行えていない。箇条要求事項の概要詳細解説：7.2.4節では、第二者監査員が監査の計画、実施、報告、完了の方法について理解することが要求されています。これは、監査プロセス全体が適切に行われるためのもので、ISO19011のガイダンスに基づくことが求められています。
7.2.4, 8, -, 第二者監査員はどの項目についてもリスクに基づく考え方を適用しなければならない。これは何を意味するか?, 選択肢a：すべての監査活動がリスク管理の原則に基づいて行われること, 選択肢b：リスクに基づく考え方は主に組織の製造工程に適用されること, 選択肢c：監査報告の準備と監査所見の完了はリスクに基づく考え方には適用されないこと,a, 要求事項の適合した例：監査員がリスクに基づく考え方を適用し、監査活動全体をリスク管理の原則に基づいて行っている。適合していない例：監査員が一部の活動に対してのみリスクに基づく考え方を適用している。箇条要求事項の概要詳細解説：7.2.4節では、第二者監査員は全ての項目についてリスクに基づく考え方を適用しなければならないとされています。これは、監査活動全体がリスク管理の原則に基づいて行われ、リスクと機会を考慮して監査計画が作成され、監査所見が評価され、監査報告が作成されることを意味します。リスクに基づく考え方は、単にリスクを避けるためだけでなく、リスクから生じる機会を活用するためにも重要な考え方であり、これを監査活動全体に適用することで、監査の効果と有効性が高まると考えられます。
7.2.4, 9, -, 第二者監査員が該当する顧客及び組織の固有要求事項を理解するためには何が必要か?, 選択肢a：顧客からの明確な指示の理解, 選択肢b：組織の全体的なビジョンとミッションの理解, 選択肢c：監査対象組織の製品やサービスの特性と顧客要求の理解,c, 要求事項の適合した例：監査員が監査対象組織の製品やサービスの特性と顧客要求を理解し、それを監査に適用している。適合していない例：監査員が顧客要求を理解せずに監査活動を行っている。箇条要求事項の概要詳細解説：7.2.4節では、第二者監査員が該当する顧客及び組織の固有要求事項を理解しなければならないとされています。これは、監査員が監査対象組織の製品やサービスの特性を理解し、それに基づいた顧客の要求を理解することが求められています。つまり、監査員は顧客からの要求だけでなく、その要求が監査対象組織の製品やサービスにどのように関連しているかを理解する必要があります。これにより、監査員は監査対象組織が顧客要求を満たしているか、またその過程で適切な品質管理が行われているかを評価することができます。
7.2.4, 10, -, 第二者監査員がPFMEAとコントロールプランを含む、監査対象となる製造工程を理解するためには、どのようなスキルが必要とされるか?, 選択肢a：リスク分析と問題解決のスキル, 選択肢b：高度な数学的なスキル, 選択肢c：統計的なプロセス制御(SPC)の理解,a, 要求事項の適合した例：監査員が製造工程のリスクを評価し、適切な問題解決策を提案するためのスキルを持っている。適合していない例：監査員がリスク分析や問題解決のスキルを持たずに、製造工程の監査を試みる。箇条要求事項の概要詳細解説：7.2.4節では、第二者監査員がPFMEA（製品／プロセスの失敗モードと影響の解析）とコントロールプランを含む、監査対象となる製造工程を理解するために必要なスキルとしてリスク分析と問題解決のスキルが挙げられています。これは、監査員が製造プロセスに関連するリスクを適切に評価し、そのリスクを軽減または排除するための対策を提案する能力を持つことを意味します。この能力を持つことで、監査員は製造工程の潜在的な問題点を発見し、その問題が品質にどのような影響を及ぼすかを評価することができます。
7.2.4, 11, -, 監査範囲に関係する、該当するコアツール要求事項の理解とは具体的には何を意味するか?, 選択肢a：監査対象組織が使用している特定のソフトウェアツールの使い方を理解すること, 選択肢b：品質管理のための様々なツール（例えば、FMEA、SPC、MSA、APQP、PPAP）を理解し、それらを使用することができること, 選択肢c：組織の特定の製品やサービスの製造に関連するツールや装置の操作を理解すること,b, 要求事項の適合した例：監査員が品質管理のための様々なコアツール（例えば、FMEA、SPC、MSA、APQP、PPAP）を理解し、それらを使用して監査を行う。適合していない例：監査員がこれらのコアツールを理解せずに、監査を行う。箇条要求事項の概要詳細解説：7.2.4節では、第二者監査員が監査範囲に関係する、該当するコアツール要求事項を理解することが求められています。コアツールとは、品質管理のための様々なツール（例えば、FMEA、SPC、MSA、APQP、PPAP）を指します。これらのツールは、製品の品質を確保し、プロセスを改善するための重要な手段です。したがって、監査員はこれらのツールを理解し、それらを使用して監査を行う能力を持つ必要があります。
