8.3.3.2,1,-,製造工程設計へのインプットには以下のうちどれが含まれませんか？,選択肢a：過去の開発からの経験,選択肢b：製品の取扱い及び人間工学的要求事項,選択肢c：顧客からのフィードバック,a,適合した例：製品設計からのアウトプットデータ、生産性とコストの目標、製造技術の代替案などをインプットとして使用。適合していない例：過去の開発からの経験を考慮せずに新製品の設計を行った場合。この箇条は、組織が製造工程設計へのインプットを特定し、文書化し、レビューしなければならないことを要求しています。これには製品設計からのアウトプットデータ、生産性とコストの目標、製造技術の代替案などが含まれますが、それに限定されません。
8.3.3.2,2,-,工程能力とは何を指しますか？,選択肢a：製造ラインの生産可能な最大数量,選択肢b：製造工程で達成しなければならない品質水準,選択肢c：製造工程で達成可能な製品の品質水準,a,適合した例：生産ラインが1時間あたり1000個の製品を生産できる能力。適合していない例：製品の欠陥率を工程能力と誤解した場合。工程能力は、ある特定の製造工程が一定の時間内に生産できる製品の数量を指します。
8.3.3.2,3,-,ポカヨケ手法の採用はどのような場合に必要ですか？,選択肢a：製造工程設計に問題がある場合,選択肢b：リスクが遭遇する程度に適切な場合,選択肢c：生産性が低下した場合,b,適合した例：リスクが高い工程に対してポカヨケ手法を導入して問題を防ぐ。適合していない例：リスクが低い工程に無理にポカヨケ手法を導入し、生産性を阻害した場合。この箇条は、製造工程設計には問題の大きさに対して適切な程度で、遭遇するリスクに見合う程度のポカヨケ手法の採用を含めなければならないと要求しています。
8.3.3.2,4,-,DFAとDFMとは何を指しますか？,選択肢a：DFAはDesign for Assembly、DFMはDesign for Manufacturingという意味で、組立や製造を容易にするための設計指針を指す,選択肢b：DFAはDesign for Ability、DFMはDesign for Materialsという意味で、製品の性能や材料特性を最大限に活用する設計指針を指す,選択肢c：DFAはDesign for Affordability、DFMはDesign for Marketabilityという意味で、製品のコストや市場性を考慮した設計指針を指す,a,適合した例：製品設計段階で組み立てや製造を容易にする要素を考慮する。適合していない例：製品設計段階で組み立てや製造の容易さを考慮せず、製造工程で問題を引き起こす。DFAとDFMは製品の設計段階で考慮するべき重要な要素で、それぞれ組立し易い設計、製造し易い設計を意味します。
8.3.3.2,5,-,製品の特殊特性とは何を指しますか？,選択肢a：製品が特定の機能を果たすために必要な特性,選択肢b：製品が他の製品と区別するための特性,選択肢c：製品が特定の市場で競争力を持つための特性,a,適合した例：車のエンジン部品の耐熱性など、製品の機能を果たすために必要な特性。適合していない例：製品の色や形状など、見た目の特性を特殊特性と誤解した場合。この箇条は、特殊特性を含む製品設計からのアウトプットデータを製造工程設計へのインプットとして要求しています。
8.3.3.2,6,-,顧客の要求事項がない場合、製造工程設計へのインプット要求事項はどのようにすべきか？,選択肢a：顧客要求がなければ、製造工程設計へのインプット要求事項は考慮しなくてよい,選択肢b：顧客要求がなければ、内部要求や過去の経験など他の要素を考慮してインプット要求事項を定義する,選択肢c：顧客要求がなければ、インプット要求事項はランダムに定義する,b,適合した例：顧客要求がない場合でも、内部の品質要求、生産性やコストの目標、新しい製造技術の代替案などを考慮に入れてインプット要求事項を定義する。適合していない例：顧客要求がない場合、何も考慮せずに製造工程設計を進める。この箇条では、顧客要求がある場合はそれを考慮するが、それがない場合も他の要素を考慮することを求めています。
8.3.3.2,7,-,ポカヨケ手法の採用はどの程度必要とされていますか？,選択肢a：全ての製造工程でポカヨケ手法を採用する必要がある,選択肢b：リスクが高いと判断される製造工程でポカヨケ手法を採用する必要がある,選択肢c：ポカヨケ手法の採用は任意である,b,適合した例：リスクが高いと判断される製造工程で、適切なポカヨケ手法を採用する。適合していない例：全ての製造工程に無差別にポカヨケ手法を採用する、または全く採用しない。この箇条では、問題の大きさに対して適切な程度で、遭遇するリスクに見合う程度のポカヨケ手法の採用を要求しています。
8.3.3.2,8,-,新材料についての考慮はなぜ重要ですか？,選択肢a：新材料は製品の品質を向上させ、コストを削減する可能性があるから,選択肢b：新材料は常に既存の材料より優れているから,選択肢c：新材料は常に既存の材料を置き換えるべきだから,a,適合した例：新材料の使用を検討し、それによって品質が向上し、コストが削減される可能性がある場合はそれを採用する。適合していない例：新材料が出たからといって、それが既存の材料より必ずしも優れているわけではなく、無差別に新材料を採用する。この箇条では、新材料の採用を検討する際には、品質改善やコスト削減の観点からその有用性を評価することが求められています。
8.3.3.2,9,-,過去の開発からの経験はどのように製造工程設計に反映すべきか？,選択肢a：過去の開発で成功した手法は全て新しい開発に反映させるべきである,選択肢b：過去の開発で得られた経験を分析し、その中で有効と考えられるものを新しい開発に反映させるべきである,選択肢c：過去の開発で失敗した手法は全て新しい開発で避けるべきである,b,適合した例：過去の開発の成功と失敗を分析し、その中から有効と考えられるものを新しい開発に反映させる。適合していない例：過去の開発で成功した全ての手法を無差別に新しい開発に反映させる、または過去の失敗を全て避ける。この箇条では、過去の開発から得られた経験を活用することを求めており、その中でも有効と考えられるものを選び出す分析能力が重要とされています。
8.3.3.2,10,-,製品の取扱い及び人間工学的要求事項はどのように考慮すべきか？,選択肢a：製品の取扱いや人間工学的要求事項は、製品設計の段階で考慮するべきである,選択肢b：製品の取扱いや人間工学的要求事項は、製造工程設計の段階で考慮するべきである,選択肢c：製品の取扱いや人間工学的要求事項は、製品の市場投入後に考慮するべきである,b,適合した例：製品の取扱いや人間工学的要求事項を製造工程設計の段階で考慮し、それによって生産性や安全性を向上させる。適合していない例：製品の取扱いや人間工学的要求事項を製品設計の段階や製品の市場投入後に考慮する。この箇条では、製品の取扱いや人間工学的要求事項を製造工程設計の段階で考慮することを求めています。
8.3.3.2,11,-,どのような状況で工程能力に関する目標を設定すべきか？,選択肢a：すべての製品に対して同じ工程能力の目標を設定する,選択肢b：顧客要求がある場合や特殊特性が関与する場合など、製品ごとに工程能力の目標を設定する,選択肢c：工程能力の目標は設定しなくてもよい,b,適合した例：顧客から特定の製品に対して高い精度を求められる場合、その製品の製造工程に対して高い工程能力の目標を設定する。適合していない例：すべての製品に対して一律の工程能力の目標を設定する、または工程能力の目標を設定しない。この箇条では、製品設計からのアウトプットデータや顧客要求などに基づいて工程能力の目標を設定することが求められています。
