8.3.5.1, 1, -, 設計・開発からのアウトプットには必ず含まれるべき事項は次のうちどれか？ 選択肢a: 設計リスク分析（FMEA） 選択肢b: 製品の3Dモデル、技術データパッケージ、製品製造の情報及び幾何寸法と公差（GD&T）を含む製品の定義 選択肢c: 全ての上記,c, 本条項では、設計・開発からのアウトプットに必要な事項が具体的に挙げられています。それらは、設計リスク分析（FMEA）や製品の定義（製品の3Dモデル、技術データパッケージ、製品製造の情報及び幾何寸法と公差（GD&T））を含むように指定されています。したがって、適合した例としては、製品設計・開発のアウトプットがこれらの要素を全て含んでいる場合を挙げることができます。適合していない例としては、これらのいずれかが欠けている場合、特に重要な設計リスク分析（FMEA）や製品の定義が欠けている場合を挙げることができます。
8.3.5.1, 2, -, 設計・開発からのアウトプットは、次のどの要素と対比した検証及び妥当性確認ができるように表現されるべきか？ 選択肢a: 製品設計へのインプット要求事項 選択肢b: 製品の生産ライン 選択肢c: 顧客からのフィードバック,a, 本条項は、製品設計・開発からのアウトプットが製品設計へのインプット要求事項と対比した検証及び妥当性確認ができるように表現されるべきであることを示しています。したがって、適合した例としては、製品設計・開発のアウトプットが、明確に製品設計へのインプット要求事項と対比して検証及び妥当性確認が可能な形で表現されている場合を挙げることができます。一方、適合していない例としては、製品設計・開発のアウトプットが製品設計へのインプット要求事項との対比や検証、妥当性確認が難しい形で表現されている場合が該当します。例えば、射出成型製造において、設計インプット要求に対するアウトプットが明確な関連性を持たない場合などです。
8.3.5.1, 3, -, 暫定設計のアウトプットにはどのような情報を含めることが望ましいか？ 選択肢a: サービス故障診断の指針 選択肢b: 信頼性調査の結果 選択肢c: トレードオフプロセスを通じて解決された技術題,c, 本条項の注記によると、暫定設計のアウトプットには、トレードオフプロセスを通じて解決された技術題を含めることが望ましいとされています。適合した例としては、暫定設計のアウトプットにおいて、材料の選択、製造方法、品質とコストなどの間で行われたトレードオフプロセスを通じて解決された技術的な問題点が明確に記述されている場合を挙げることができます。一方、適合していない例としては、トレードオフプロセスを通じて解決された技術題が記載されていない場合、または不適切に記載されている場合が該当します。
8.3.5.1, 4, -, DFSS、DFMA及びFTAは何の略で、これらは何を目的としていますか？ 選択肢a: デザインフォーシックスシグマ、デザインフォーマニファクチャリングアセンブリ、故障ツリーアナリシス; 究極的なバラつき抑制を目的とした設計配慮 選択肢b: データフローシステムシグマ、データフォーマニファクチャリングアセンブリ、フィードバックテストアナリシス; データ分析を目的とした設計配慮 選択肢c: デザインフォーシックスシグマ、データフォーマニファクチャリングアセンブリ、フィードバックテストアナリシス; 究極的なバラつき抑制を目的とした設計配慮,a, 適合した例としては、DFSS(Design for Six Sigma)、DFMA(Design for Manufacturing Assembly)及びFTA(Fault Tree Analysis)を使用して、設計開発のプロセスにおいて製品の品質改善とバラつきの抑制を行い、製品の生産性を向上させることが挙げられます。適合していない例としては、これらの手法を適用せずに製品の設計開発を進める場合や、これらの手法を適用したにも関わらず、その結果が設計のアウトプットに反映されていない場合が該当します。
8.3.5.1, 5, -, 製品デザインレビューの結果は、どのような場合に設計開発のアウトプットに含めるべきでしょうか？ 選択肢a: デザインレビューが正常に終了した場合 選択肢b: デザインレビューで問題が発見され、改善が必要な場合 選択肢c: 全ての場合において、デザインレビューの結果は設計開発のアウトプットに含めるべき,c, 本条項によれば、製品設計からのアウトプットには製品デザインレビューの結果を含めることが求められています。適合した例としては、金型設計や自動機設計において、全てのデザインレ
8.3.5.1, 6, -, サービス故障診断の指針並びに修理及びサービス可能性の指示書は、どのような状況で製品設計のアウトプットに含まれるべきですか？ 選択肢a: 製品が特殊特性を有する場合 選択肢b: OEMが顧客の場合 選択肢c: 製品が複数の構成部品からなる場合,b, 要求事項によれば、サービス時の情報（故障診断の方法/修理方法など）はOEMが顧客の場合に必要とされます。適合した例としては、自動車製造業者（OEM）が顧客の場合、製品設計のアウトプットにサービス故障診断の指針及び修理可能性の指示書を含めているケースがあります。一方、適合していない例としては、OEMが顧客であるにも関わらずこれらの情報が製品設計のアウトプットに含まれていないケースが考えられます。
8.3.5.1, 7, -, 製品設計のアウトプットに含めるべきでないものは何ですか？ 選択肢a: サービス部品要求事項 選択肢b: 出荷のための包装及びラベリング要求事項 選択肢c: 顧客からの特別な要求事項,c, 製品設計のアウトプットには、通常、サービス部品要求事項や出荷のための包装及びラベリング要求事項などが含まれますが、特別な要求事項は必ずしも含まれるべきではありません。これは顧客からの特別な要求事項が必ずしも製品設計のアウトプットと直接関連しないからです。したがって、製品設計のアウトプットには、通常、製品の性能、品質、信頼性、耐久性、サービス性、保守性等の要素が含まれるべきです。
8.3.5.1, 8, -, 2D図はどのような場合に製品設計のアウトプットに含めるべきですか？ 選択肢a: 2D図は製品設計のアウトプットに必ず含めるべき 選択肢b: 2D図は必要に応じて製品設計のアウトプットに含めるべき 選択肢c: 2D図は製品の形状や寸法が複雑な場合に製品設計のアウトプットに含めるべき,a,要求事項によれば、製品設計からのアウトプットには必ず2D図を含めるべきです。適合した例としては、射出成型製造やプレス製造などにおいて、製品の形状、寸法、材料、表面処理などを明確に示した2D図が製品設計のアウトプットに含まれているケースがあります。一方、適合していない例としては、2D図が製品設計のアウトプットに含まれていない、または2D図が不完全で必要な情報が不足しているケースが考えられます。
8.3.5.1, 9, -, 設計リスク分析（FMEA）は何を目的としていますか？ 選択肢a: プロセスの改善と効率化 選択肢b: 潜在的な問題や不具合を予測し、予防策を策定すること 選択肢c: 製品のライフサイクルコストを最小化すること,b,設計リスク分析（FMEA）は、潜在的な問題や不具合を予測し、それらに対する予防策を策定することを目的としています。適合した例としては、金型設計や自動機設計の初期段階でFMEAを実施し、潜在的な問題を予測し、それに対する対策を設計に反映させるケースがあります。一方、適合していない例としては、設計リスク分析（FMEA）が行われず、問題が発生した後に対策を策定する場合が該当します。
8.3.5.1, 10, -, 製品の特殊特性とは何を指しますか？ 選択肢a: 製品の特殊な機能や性能を指す 選択肢b: 製品の特定の部分や機能を指す 選択肢c: 製品の形状、サイズ、カラーなどの物理的な特性を指す,a,特殊特性は、製品の安全性、法規制遵守、主要な性能、機能などを左右する特性を指します。適合した例としては、自動車のエンジン制御システムにおける特殊特性（たとえば、燃料噴射量や点火タイミングなど）を設定し、これらの特性が適切に管理されているケースがあります。一方、適合していない例としては、製品の特殊特性が明確に特定または管理されていないケースが該当します。
