"8.3.6.1", 1, - ,設計・開発の変更に関連する要求事項の中で、組込みソフトウェアを持つ製品ではない場合、どのような変更記録を文書化する必要があるか?, 選択肢a：ハードウェアの改訂レベル, 選択肢b：ソフトウェアの改訂レベル, 選択肢c：ハードウェアおよびソフトウェアの改訂レベルは文書化の対象外,a, 適合例：ハードウェア改訂レベルを文書化し変更履歴に記録, 不適合例：ソフトウェア改訂レベルを文書化せず変更履歴に記録しない, 箇条要求事項解説：組込みソフトウェアを持たない製品の場合、ハードウェアの改訂レベルのみ文書化する必要がある。
"8.3.6.1", 2, - ,設計変更が提案された際、どのような潜在的な影響を評価する必要があるか?, 選択肢a：取付時の適合性、形状、機能、性能および耐久性, 選択肢b：取付時の適合性、機能、性能および耐久性, 選択肢c：取付時の適合性、形状、機能、性能,a, 適合例：提案された設計変更に対し、すべての要素を評価し、影響を判断, 不適合例：提案された設計変更に対し、形状や耐久性を評価せずに影響を判断, 箇条要求事項解説：設計変更が提案された際、取付時の適合性、形状、機能、性能および耐久性に関する潜在的な影響を評価する必要がある。
"8.3.6.1", 3, - ,設計・開発の変更が顧客要求事項に対する妥当性確認を実施した場合、どのような手続きが必要か?, 選択肢a：内部で承認するだけで良い, 選択肢b：生産前に顧客から文書化した承認または文書化した免除申請を得る, 選択肢c：文書化した承認と免除申請の両方を得る,b, 適合例：設計変更に対して顧客要求事項の妥当性確認を実施し、顧客から文書化した承認または免除申請を得る, 不適合例：顧客要求事項の妥当性確認を実施せず、内部でのみ承認する, 箇条要求事項解説：設計・開発の変更が顧客要求事項に対する妥当性確認を実施した場合、生産前に顧客から文書化した承認または文書化した免除申請を得る必要がある。
"8.3.6.1", 4, - ,設計・開発の変更が提案された場合、どのような変更管理フロー及び基準の決定が求められるか?, 選択肢a：工程設計変更のフローと基準の決定, 選択肢b：品質管理のフローと基準の決定, 選択肢c：設計開発のフローと基準の決定,a, 適合例：設計変更が提案された際に工程設計変更のフローと基準を決定する, 不適合例：設計変更が提案された際に品質管理のフローと基準を決定する, 箇条要求事項解説：設計・開発の変更が提案された場合、工程設計変更のフローと基準の決定が求められる。8.5.6.1と関連する。
"8.3.6.1", 5, - ,変更規模により、デザインレビュー、FMEA、コントロールプラン及び作業指示書の見直しが求められる場合、どのような変更規模が該当するか?, 選択肢a：大規模な変更, 選択肢b：中規模な変更, 選択肢c：小規模な変更,a, 適合例：大規模な設計変更が提案された際に、デザインレビュー、FMEA、コントロールプラン及び作業指示書の見直しを実施, 不適合例：小規模な設計変更が提案された際に、デザインレビュー、FMEA、コントロールプラン及び作業指示書の見直しを実施しない, 箇条要求事項解説：大規模な設計変更が提案された場合、デザインレビュー、FMEA、コントロールプラン及び作業指示書の見直しが求められる。
"8.3.6.1", 6, - ,PPAP承認を取得した部品の設計変更が提案された場合、どのような対応が必要か?, 選択肢a：PPAP再承認を取得する, 選択肢b：顧客承認を得るだけで良い, 選択肢c：変更を実施する前に内部で承認するだけで良い,a, 適合例：PPAP承認済みの部品に対する設計変更が提案された際に、PPAP再承認を取得, 不適合例：PPAP承認済みの部品に対する設計変更が提案された際に、顧客承認のみを得る, 箇条要求事項解説：PPAP承認を取得した部品の設計変更が提案された場合、PPAP再承認を取得する必要がある。
"8.3.6.1", 7, - ,変更前後の実力把握に関して、どのような要素が評価対象となるか?, 選択肢a：製品品質のみ, 選択肢b：工程能力のみ, 選択肢c：製品品質及び工程能力,c, 適合例：変更前後の製品品質と工程能力を評価し、影響を把握, 不適合例：変更前後の製品品質のみを評価し、工程能力の影響を無視, 箇条要求事項解説：変更前後の実力把握に関して、製品品質及び工程能力が評価対象となる。
"8.3.6.1", 8, - ,設計・開発の変更に関連する要求事項の中で、顧客要求事項に対する妥当性確認を実施する前に必要なアクションは何か?, 選択肢a：変更内容の社内共有化, 選択肢b：顧客からの文書化した承認または免除申請の取得, 選択肢c：内部での変更承認,a, 適合例：設計変更が提案された際に変更内容を社内で共有し、その後顧客要求事項に対する妥当性確認を実施, 不適合例：設計変更が提案された際に顧客要求事項に対する妥当性確認を実施せず、内部でのみ承認する, 箇条要求事項解説：設計・開発の変更に関連する要求事項の中で、顧客要求事項に対する妥当性確認を実施する前に変更内容の社内共有化が必要である。
"8.3.6.1", 9, - ,組込みソフトウェアを持つ製品において、変更記録の一部として文書化しなければならないものは何か?, 選択肢a：ソフトウェアの改訂レベルのみ, 選択肢b：ハードウェアの改訂レベルのみ, 選択肢c：ソフトウェア及びハードウェアの改訂レベル,c, 適合例：組込みソフトウェアを持つ製品の変更記録として、ソフトウェア及びハードウェアの改訂レベルを文書化, 不適合例：組込みソフトウェアを持つ製品の変更記録として、ソフトウェアの改訂レベルのみを文書化, 箇条要求事項解説：組込みソフトウェアを持つ製品において、変更記録の一部としてソフトウェア及びハードウェアの改訂レベルを文書化しなければならない。
"8.3.6.1", 10, - ,設計・開発の変更時において、どのような工程FMEA主要アウトプット文書の見直しが求められるか?, 選択肢a：リスクレベルの見直しのみ, 選択肢b：リスク軽減措置の見直しのみ, 選択肢c：リスクレベルとリスク軽減措置の見直し,c, 適合例：設計・開発の変更時に、工程FMEAのリスクレベルとリスク軽減措置を見直す, 不適合例：設計・開発の変更時に、工程FMEAのリスクレベルのみを見直す, 箇条要求事項解説：設計・開発の変更時には、工程FMEAのリスクレベルとリスク軽減措置の見直しが求められる。
"8.3.6.1", 11, - ,初回の製品承認後の全ての設計変更を評価する際に、どのような潜在的な影響について評価しなければならないか?, 選択肢a：取付時の合いのみ, 選択肢b：形状及び機能のみ, 選択肢c：取付時の合い、形状、機能、性能及び／又は耐久性,c, 適合例：設計変更の評価時に、取付時の合い、形状、機能、性能及び／又は耐久性に関する潜在的な影響を評価, 不適合例：設計変更の評価時に、取付時の合いのみを評価, 箇条要求事項解説：初回の製品承認後の全ての設計変更を評価する際には、取付時の合い、形状、機能、性能及び／又は耐久性に関する潜在的な影響について評価しなければならない。
