8.5.1.4, 1, - ,シャットダウン後の検証の目的は何ですか？, 選択肢a：生産性の向上, 選択肢b：コスト削減, 選択肢c：再稼働時の製品要求事項の維持,c, 適合例：計画的、非計画的シャットダウン後に製品要求事項の維持を確認している, 不適合例：シャットダウン後の製品要求事項の維持を確認せず、品質問題が発生している, 箇条要求事項解説：シャットダウン後の検証の目的は、再稼働時の製品要求事項の維持です。組織は、計画的または非計画的シャットダウン後に、製品が要求事項に適合することを確実にするために必要な処置を定め、実施しなければなりません。
8.5.1.4, 2, - ,計画的シャットダウン時に実施すべき手順はどれですか？, 選択肢a：停止と立上げの手順, 選択肢b：緊急処置と立上げの手順, 選択肢c：保守と修理の手順,a, 適合例：計画的シャットダウン時に停止と立上げの手順を適切に実施している, 不適合例：計画的シャットダウン時に手順を遵守せず、再稼働時に製品要求事項の維持ができていない, 箇条要求事項解説：計画的シャットダウン時には、「停止」と「立上げ」の手順を実施することが求められています。これにより、シャットダウン後の製品要求事項の維持が確実にされます。
8.5.1.4, 3, - ,非計画的シャットダウン時に実施すべき手順はどれですか？, 選択肢a：停止と立上げの手順, 選択肢b：緊急処置と立上げの手順, 選択肢c：保守と修理の手順,b, 適合例：非計画的シャットダウン時に緊急処置と立上げの手順を適切に実施している, 不適合例：非計画的シャットダウン時に手順を遵守せず、再稼働時に製品要求事項の維持ができていない, 箇条要求事項解説：非計画的シャットダウン時には、「緊急処置」と「立上げ」の手順を実施することが求められています。これにより、シャットダウン後の製品要求事項の維持が確実にされます。
8.5.1.4, 4, - ,シャットダウン後の検証に関する適切な全体の体系は何ですか？, 選択肢a：不測から予測への移行, 選択肢b：リスク管理と再稼働計画, 選択肢c：継続的改善と品質保証,a, 適合例：シャットダウン後の検証において不測から予測への移行を実施している, 不適合例：シャットダウン後の検証において不測から予測への移行が実施されておらず、品質問題が発生している, 箇条要求事項解説：シャットダウン後の検証に関する全体の体系は、可能な限り「不測」から「予測」への移行を目指すことが求められています。これにより、シャットダウン後の製品要求事項の維持が確実にされます。
8.5.1.4, 5, - ,シャットダウン後の検証で確認するべきインフラと製品適合性に関する詳細検証は、どのようなシャットダウン時に実施されることが望ましいですか？, 選択肢a：計画された事象の発生時, 選択肢b：緊急事態・不測の事態時, 選択肢c：両方のシャットダウン時,b, 適合例：緊急事態・不測の事態時にインフラと製品適合性に関する詳細検証を実施している, 不適合例：緊急事態・不測の事態時にインフラと製品適合性に関する詳細検証を実施していない, 箇条要求事項解説：シャットダウン後の検証で、インフラと製品適合性に関する詳細検証は、緊急事態・不測の事態時に実施されることが望ましいです。これにより、緊急事態や不測の事態に対応して、製品要求事項の維持が確実にされます。
8.5.1.4, 6, - ,通常生産の再開に関する通常検証は、どのようなシャットダウン時に実施されることが望ましいですか？, 選択肢a：計画された事象の発生時, 選択肢b：緊急事態・不測の事態時, 選択肢c：両方のシャットダウン時,a, 適合例：計画された事象の発生時に通常生産の再開に関する通常検証を実施している, 不適合例：計画された事象の発生時に通常生産の再開に関する通常検証を実施していない, 箇条要求事項解説：通常生産の再開に関する通常検証は、計画された事象の発生時に実施されることが望ましいです。これにより、計画されたシャットダウン後に、製品要求事項の維持が確実にされます。
8.5.1.4, 7, - ,緊急事態・不測の事態に対する管理はどの箇条で規定されていますか？, 選択肢a：8.5.1.3, 選択肢b：6.1.2.3, 選択肢c：7.1.5,b, 適合例：組織が緊急事態・不測の事態に対して6.1.2.3に基づいて管理を実施している, 不適合例：組織が緊急事態・不測の事態に対して適切な管理を実施していない, 箇条要求事項解説：緊急事態・不測の事態に対する管理は、IATF16949：2016の6.1.2.3で規定されています。組織は、緊急事態や不測の事態に対して適切な管理を実施することが求められており、これによりシャットダウン後の検証や製品要求事項の維持に関連するリスクを最小限に抑えることができます。
8.5.1.4, 8, - ,シャットダウン後の検証で、計画された事象の発生時に実施するインフラ・製品適合性に関する検証はどの箇条と関連していますか？, 選択肢a：8.5.1.1, 選択肢b：8.5.1.3, 選択肢c：7.1.5,b, 適合例：計画された事象の発生時に8.5.1.3に基づくインフラ・製品適合性に関する検証を実施している, 不適合例：計画された事象の発生時にインフラ・製品適合性に関する検証を実施していない, 箇条要求事項解説：計画された事象の発生時に実施するインフラ・製品適合性に関する検証は、8.5.1.3と関連しています。これにより、計画されたシャットダウン後に、製品要求事項の維持が確実にされます。
8.5.1.4, 9, - ,どのようなシャットダウンにおいても実施すべき共通の要素は何ですか？, 選択肢a：検証, 選択肢b：リスク評価, 選択肢c：品質管理,a, 適合例：計画的・非計画的シャットダウンにおいて検証を適切に実施している, 不適合例：シャットダウン後に検証を実施していない場合, 箇条要求事項解説：シャットダウン後の検証は、計画的・非計画的シャットダウンにおいて共通の要素として実施すべきです。検証によって、製品要求事項の維持が確実にされます。
8.5.1.4, 10, - ,シャットダウン後の検証の目的は何ですか？, 選択肢a：コスト削減, 選択肢b：再稼働時の製品要求事項の維持, 選択肢c：生産効率向上,b, 適合例：シャットダウン後の検証を実施し、再稼働時に製品要求事項の維持が確保されている, 不適合例：シャットダウン後の検証が不十分で、再稼働時に製品要求事項の維持が確保できていない, 箇条要求事項解説：シャットダウン後の検証の目的は、再稼働時の製品要求事項の維持を確実にすることです。これにより、製品の品質や信頼性が保たれ、顧客満足度が向上します。
8.5.1.4, 11, - ,計画的シャットダウン時に実施すべき手順はどれですか？, 選択肢a：停止と立上げ手順, 選択肢b：緊急処置と立上げ手順, 選択肢c：リスク評価と改善手順,a, 適合例：計画的シャットダウン時に停止と立上げ手順を適切に実施している, 不適合例：計画的シャットダウン時に停止と立上げ手順を実施していない, 箇条要求事項解説：計画的シャットダウン時には、「停止」と「立上げ」の手順を実施することが求められています。これにより、計画的シャットダウン後に、製品要求事項の維持が確実にされます。
8.5.1.4, 12, - ,非計画的シャットダウン時に実施すべき手順はどれですか？, 選択肢a：停止と立上げ手順, 選択肢b：緊急処置と立上げ手順, 選択肢c：リスク評価と改善手順,b, 適合例：非計画的シャットダウン時に緊急処置と立上げ手順を適切に実施している, 不適合例：非計画的シャットダウン時に緊急処置と立上げ手順を実施していない, 箇条要求事項解説：非計画的シャットダウン時には、「緊急処置」と「立上げ」の手順を実施することが求められています。これにより、非計画的シャットダウン後に、製品要求事項の維持が確実にされます。
