8.5.1.5, 1, - , TPMシステムにおいて、予防保全の方法はどのようなものか?, 選択肢a：年次保全計画, 選択肢b：設備条件のモニタリング結果から最適な保全タイミングを見極める, 選択肢c：予知保全の方法,a, 適合例：年次保全計画に従って予防保全を実施している, 不適合例：予防保全の方法が不明確で実施されていない, 箇条要求事項解説：予防保全の方法は、年次保全計画に基づいて行われる。これにより、設備の劣化を未然に防ぎ、生産性向上に寄与する。
8.5.1.5, 2, - , TPMシステムにおいて、どの保全活動の成熟レベルが最も高いとされるか?, 選択肢a：レベル1(予防段階):設備総点検, 選択肢b：レベル4(予知段階)：予備品管理、保全情報管理, 選択肢c：レベル5(予知段階)：設備診断技術の導入,c, 適合例：設備診断技術の研究と診断装置の導入を行っている, 不適合例：設備診断技術を導入せず、予防保全にのみ依存している, 箇条要求事項解説：保全活動の成熟レベル5(予知段階)：設備診断技術の導入が最も高いとされる。これにより、設備の状態をリアルタイムで把握し、適切な保全活動を実施することが可能になる。
8.5.1.5, 3, - , TPMシステムで求められる保全目標の例は何か?, 選択肢a：OEE（総合設備効率）, 選択肢b：設備リストの作成, 選択肢c：年次保全計画の策定,a, 適合例：保全目標としてOEEを設定し、改善活動を行っている, 不適合例：保全目標が設定されておらず、改善活動が行われていない, 箇条要求事項解説：保全目標は、組織の設備効率や保全活動の効果を測定する指標であり、例としてOEE（総合設備効率）が挙げられる。保全目標を設定することで、組織は保全活動の効果を評価し、改善策を立案することができる。
8.5.1.5, 4, - , TPMシステムにおける文書化した保全目標のパフォーマンスは、どこへのインプットとして必要とされるか?, 選択肢a：マネジメントレビュー, 選択肢b：品質管理計画, 選択肢c：生産管理計画,a, 適合例：保全目標のパフォーマンスがマネジメントレビューにインプットされ、経営陣により評価される, 不適合例：保全目標のパフォーマンスがマネジメントレビューにインプットされず、経営陣の評価が行われない, 箇条要求事項解説：文書化した保全目標のパフォーマンスは、マネジメントレビュー（ISO9001の9.3参照）へのインプットとして必要とされる。これにより、組織の経営陣が保全活動の効果を評価し、適切な意思決定が行われる。
8.5.1.5, 5, - , TPMシステムにおいて、保全目標が未達の場合、どのような文書化した処置計画が必要か?, 選択肢a：保全計画及び目標の見直し, 選択肢b：予防保全の方法の見直し, 選択肢c：設備リストの更新,a, 適合例：保全目標が未達の場合、保全計画及び目標を見直し、是正処置に取り組む文書化した処置計画が実施される, 不適合例：保全目標が未達の場合でも、保全計画や目標の見直しが行われず、是正処置が適切に実施されない,箇条要求事項解説：保全目標が未達の場合、組織は保全計画及び目標を見直し、是正処置に取り組む文書化した処置計画を実施する必要がある。これにより、保全活動の効果が向上し、組織の設備効率が改善される。
8.5.1.5, 6, - , TPMシステムにおいて、どの保全方法が必ず使用されるべきか?, 選択肢a：予防保全の方法, 選択肢b：予知保全の方法, 選択肢c：故障保全の方法,a, 適合例：組織が予防保全の方法を適用し、設備の故障を未然に防ぐ, 不適合例：組織が予防保全の方法を適用せず、設備の故障が頻繁に発生する, 箇条要求事項解説：TPMシステムにおいて、組織は必ず予防保全の方法を使用することが求められる。予防保全は、設備の故障を未然に防ぐことを目的とした保全活動であり、効果的な保全活動の基盤となる。
8.5.1.5, 7, - , TPMシステムにおいて、どの保全方法が該当する場合に使用されるべきか?, 選択肢a：予防保全の方法, 選択肢b：予知保全の方法, 選択肢c：故障保全の方法,b, 適合例：組織が予知保全の方法を適用し、設備の故障を予測し、適切なタイミングで保全活動を行う, 不適合例：組織が予知保全の方法を適用せず、設備の故障が突発的に発生し、生産に影響を与える, 箇条要求事項解説：TPMシステムにおいて、該当する場合には、組織は予知保全の方法を使用することが求められる。予知保全は、設備の故障を予測し、適切なタイミングで保全活動を行うことを目的とした保全活動であり、設備の寿命を延ばし、ダウンタイムを減らす効果がある。
8.5.1.5, 8, - , TPMシステムにおいて、顧客固有要求事項はどのように取り扱われるべきか?, 選択肢a：無視してもよい, 選択肢b：該当する場合には考慮する, 選択肢c：必ず全ての顧客固有要求事項を適用する,b, 適合例：組織が顧客固有要求事項がある場合、それを考慮し、TPMシステムに組み込む, 不適合例：組織が顧客固有要求事項を無視し、TPMシステムに反映しない, 箇条要求事項解説：TPMシステムにおいて、顧客固有要求事項がある場合、それを考慮し、TPMシステムに組み込むことが求められる。これにより、顧客のニーズに合わせた効果的な保全活動が実施される。
8.5.1.5, 9, - , TPMシステムの年次保全計画にはどのような要素が含まれるべきか?, 選択肢a：法定検査とメーカー推奨整備, 選択肢b：予備品管理と保全情報管理, 選択肢c：設備診断技術の導入,a, 適合例：組織が年次保全計画に法定検査とメーカー推奨整備を含める, 不適合例：組織が年次保全計画に法定検査とメーカー推奨整備を含めず、無計画な保全活動を行う, 箇条要求事項解説：TPMシステムの年次保全計画には、法定検査とメーカー推奨整備が含まれるべきである。これにより、設備の安全性や性能が維持され、長期的な稼働が確保される。
8.5.1.5, 10, - , 保全活動の成熟レベルの最高段階は何であるか?, 選択肢a：レベル3（予防段階）, 選択肢b：レベル4（予知段階）, 選択肢c：レベル5（予知段階）,c, 適合例：組織が設備診断技術の研究と診断装置の導入を行い、振動／有効電力／油／SPCなどの技術を活用する, 不適合例：組織がレベル3（予防段階）で止まり、予知段階の技術や手法を導入しない, 箇条要求事項解説：保全活動の成熟レベルは、レベル1からレベル5まで存在し、レベル5が最高段階である。レベル5では、設備診断技術の導入が求められ、予知保全の方法を活用して設備の状態を最適に管理することができる。
8.5.1.5, 11, - , 保全目標に対するパフォーマンスはどのような目的でマネジメントレビューへのインプットが必要か?, 選択肢a：保全目標を達成するために追加予算を要求する目的, 選択肢b：保全目標に対するパフォーマンスを評価し、改善策を検討する目的, 選択肢c：保全目標に対するパフォーマンスを報告し、経営陣に認識させる目的,b, 適合例：組織がマネジメントレビューで保全目標に対するパフォーマンスを評価し、改善策を検討する, 不適合例：組織がマネジメントレビューで保全目標に対するパフォーマンスを報告しない, 箇条要求事項解説：保全目標に対するパフォーマンスは、マネジメントレビューへのインプットが必要であり、その目的は保全目標に対するパフォーマンスを評価し、改善策を検討するためである。
