8.5.1.6,1,-,組織が治工具及びゲージの設計、製作、および検証活動に対して資源を提供する必要があるのはどのような場合か？,選択肢a：顧客所有の治工具の場合のみ,選択肢b：組織所有の治工具の場合のみ,選択肢c：該当する場合には必ず,c,適合した例：組織が顧客所有および組織所有の治工具に対して資源を提供している,適合していない例：組織が顧客所有の治工具に対してのみ資源を提供している,箇条要求事項の概要詳細解説：この要求事項は、組織が該当する場合には必ず、生産及びサービス用材料並びにバルク材のための治工具及びゲージの設計、製作、及び検証活動に対して資源を提供しなければならないことを求めています。
8.5.1.6,2,-,治工具の運用管理システムに含まれるべき項目は次のうちどれか？,選択肢a：治工具の修理及び保全用施設と要員,選択肢b：顧客とのコミュニケーション手段,選択肢c：製品の品質検査方法,a,適合した例：組織が治工具の修理及び保全用施設と要員を含む運用管理システムを確立している,適合していない例：組織が顧客とのコミュニケーション手段だけを含む運用管理システムを確立している,箇条要求事項の概要詳細解説：この要求事項は、組織が組織所有又は顧客所有の生産治工具であっても、これらの運用管理システムを確立し、実施しなければならないことを求めています。運用管理システムには、保全及び修理用施設並びに要員、保管及び補充、段取り替え、消耗する治工具の交換プログラム、製品の技術変更レベルを含む治工具設計変更の文書化、治工具の改修及び文書の改訂、生産中、修理中又は廃却のような状況、所有者及び場所に関する治工具の識別（シリアル番号又は資産番号など）が含まれます。
8.5.1.6,3,-,顧客所有の治工具、製造設備及び試験／検査設備に何を検証する必要があるか？,選択肢a：生産効率,選択肢b：所有権及び各品目の適用が明確になる恒久的マーク,選択肢c：関連文書の改定管理,b,適合した例：組織が顧客所有の治工具、製造設備及び試験／検査設備において、所有権及び各品目の適用が明確になる恒久的マークを検証している,適合していない例：組織が顧客所有の治工具、製造設備及び試験／検査設備の生産効率のみを検証している,箇条要求事項の概要詳細解説：この要求事項は、組織が顧客所有の治工具、製造設備及び試験／検査設備に、所有権及び各品目の適用が明確になるように、見やすい位置に恒久的マークが付いていることを検証しなければならないことを求めています。
8.5.1.6,4,-,作業がアウトソースされる場合、組織が実施しなければならないシステムは何か？,選択肢a：顧客とのコミュニケーションシステム,選択肢b：アウトソース先との競争分析システム,選択肢c：アウトソースされた活動を監視するシステム,c,適合した例：組織がアウトソースされた活動を監視するシステムを実施している,適合していない例：組織が顧客とのコミュニケーションシステムのみを実施している,箇条要求事項の概要詳細解説：この要求事項は、作業がアウトソースされる場合、組織がこれらの活動を監視するシステムを実施しなければならないことを求めています。
8.5.1.6,5,-,運用管理において力量管理が必要とされる理由は何か？,選択肢a：治工具の段取り替えに関する手順を定めるため,選択肢b：設備及び治工具の高度化に伴う要員のスキル要求,選択肢c：顧客とのコミュニケーションを円滑にするため,b,適合した例：組織が設備及び治工具の高度化に伴い、要員のスキル向上プログラムを実施している,適合していない例：組織が治工具の段取り替えに関する手順を定めるためだけに力量管理を実施している,箇条要求事項の概要詳細解説：運用管理の要点には、設備及び治工具の高度化により要員の力量管理が必要とされる理由が含まれています。これは、技術進歩に伴って要員のスキル要求が高まるためです。
8.5.1.6,6,-,適正在庫と入出庫管理に関連する運用管理の要点は何か？,選択肢a：顧客とのコミュニケーションの改善,選択肢b：アウトソース先との競争分析,選択肢c：交換用部品の保管と補充の手順,c,適合した例：組織が適正在庫を維持し、入出庫管理の手順を確立している,適合していない例：組織が顧客とのコミュニケーション改善のみに焦点を当てている,箇条要求事項の概要詳細解説：運用管理の要点には、交換用部品の保管と補充（適正在庫と入出庫管理）の手順が含まれています。これは、生産効率を維持し、機器のダウンタイムを最小限に抑えるために重要です。
8.5.1.6,7,-,治工具の段取り替えに関する手順を定める目的は何か？,選択肢a：要員のスキル向上,選択肢b：全てのシフトで実施できることを確認するため,選択肢c：コスト削減,b,適合した例：組織が治工具の段取り替えに関する手順を定め、全てのシフトで実施できることを確認している,適合していない例：組織がコスト削減のためだけに治工具の段取り替えに関する手順を定めている,箇条要求事項の概要詳細解説：治工具の段取り替えに関する手順を定める目的は、全てのシフトで実施できることを確認するためです。これにより、生産の効率と安定性が向上します。
8.5.1.6,8,-,消耗治工具の交換手順に関連する要点は何か？,選択肢a：治工具の仕様変更時の管理,選択肢b：金型ショット数管理などの消耗度合いに関する交換手順,選択肢c：治工具の改修及び文書の改訂,b,適合した例：組織が金型ショット数管理などの消耗度合いに関する交換手順を確立している,適合していない例：組織が治工具の仕様変更時の管理のみに焦点を当てている,箇条要求事項の概要詳細解説：消耗治工具の交換手順に関連する要点は、金型ショット数管理などの消耗度合いに関する交換手順です。これは、治工具の寿命を適切に管理し、生産効率を維持するために重要です。
8.5.1.6,9,-,治工具の仕様（設計）変更時に関連する運用管理の要点は何か？,選択肢a：顧客とのコミュニケーションの改善,選択肢b：アウトソース先との競争分析,選択肢c：治工具設計変更の文書化,c,適合した例：組織が治工具設計変更の文書化を含む運用管理システムを確立している,適合していない例：組織が顧客とのコミュニケーション改善のみに焦点を当てている,箇条要求事項の概要詳細解説：治工具の仕様（設計）変更時に関連する運用管理の要点は、治工具設計変更の文書化です。これは、設計変更が適切に管理され、関連する情報が全ての関係者に伝わることを確保するために重要です。
8.5.1.6,10,-,治工具の改修及び文書の改訂に関連する運用管理の要点は何か？,選択肢a：顧客とのコミュニケーションの改善,選択肢b：アウトソース先との競争分析,選択肢c：治工具の改修及び文書の改訂,c,適合した例：組織が治工具の改修及び文書の改訂を含む運用管理システムを確立している,適合していない例：組織が顧客とのコミュニケーション改善のみに焦点を当てている,箇条要求事項の概要詳細解説：治工具の改修及び文書の改訂に関連する運用管理の要点は、治工具の改修及び文書の改訂です。これは、治工具が適切に保守され、文書が最新の状態であることを確保するために重要です。
8.5.1.6,11,-,どの治工具がどの状態かを管理する識別方法に関連する運用管理の要点は何か？,選択肢a：シリアル番号又は資産番号のような識別方法,選択肢b：顧客とのコミュニケーションの改善,選択肢c：アウトソース先との競争分析,a,適合した例：組織がシリアル番号又は資産番号のような識別方法を使用して治工具の状態を管理している,適合していない例：組織が顧客とのコミュニケーション改善のみに焦点を当てている,箇条要求事項の概要詳細解説：どの治工具がどの状態かを管理する識別方法に関連する運用管理の要点は、シリアル番号又は資産番号のような識別方法です。これにより、治工具の状況、所有者及び場所に関する情報が容易に管理されます。
8.5.1.6,12,-,“見やすい位置の恒久的マーク”が必要とされる理由は何か？,選択肢a：治工具の改修及び文書の改訂を容易にするため,選択肢b：保管及び取扱い時の識別のため,選択肢c：アウトソース先との競争分析を容易にするため,b,適合した例：組織が治工具に見やすい位置に恒久的マークを付けて保管及び取扱い時の識別を容易にしている,適合していない例：組織が治工具に恒久的マークを付けず、保管及び取扱い時の識別が困難になっている,箇条要求事項の概要詳細解説：“見やすい位置の恒久的マーク”が必要とされる理由は、保管及び取扱い時の識別のためです。これにより、治工具の管理が容易になり、適切な使用や保守が確保されます。
8.5.1.6,13,-,顧客所有の治工具、製造設備及び試験／検査設備に対する要求事項は何か？,選択肢a：見やすい位置に恒久的マークが付いていることを確認する,選択肢b：顧客とのコミュニケーションを最適化する,選択肢c：アウトソース先との競争分析を行う,a,適合した例：組織が顧客所有の治工具に見やすい位置に恒久的マークが付いていることを確認している,適合していない例：組織が顧客所有の治工具に関してマークの確認を行っていない,箇条要求事項の概要詳細解説：顧客所有の治工具、製造設備及び試験／検査設備に対する要求事項は、見やすい位置に恒久的マークが付いていることを確認することです。これにより、所有権及び各品目の適用が明確になります。
8.5.1.6,14,-,作業がアウトソースされる場合に組織が実施しなければならないシステムは何か？,選択肢a：顧客とのコミュニケーション最適化システム,選択肢b：アウトソース先との競争分析システム,選択肢c：これらの活動を監視するシステム,c,適合した例：組織がアウトソースされた作業に対して監視システムを実施している,適合していない例：組織がアウトソースされた作業の監視を行っていない,箇条要求事項の概要詳細解説：作業がアウトソースされる場合、組織はこれらの活動を監視するシステムを実施しなければならない。これにより、アウトソース先が適切に治工具や設備を管理し、品質を確保することができます。
8.5.1.6,15,-,組織が治工具及びゲージの設計、製作、及び検証活動に対して資源を提供しなければならない場合はどのような場合か？,選択肢a：該当する場合には必ず,選択肢b：組織の裁量による,選択肢c：顧客の要求に応じて,a,適合した例：組織が該当する場合には必ず治工具及びゲージの設計、製作、及び検証活動に対して資源を提供している,適合していない例：組織が資源提供を適当に判断している,箇条要求事項の概要詳細解説：組織は、該当する場合には必ず、生産及びサービス用材料並びにバルク材のための治工具及びゲージの設計、製作、及び検証活動に対して資源を提供しなければならない。これにより、品質管理が適切に行われることが保証されます
8.5.1.6,16,-,組織所有または顧客所有の治工具に関して組織が実施しなければならない運用管理システムには、次のうちどれが含まれているか？,選択肢a：消耗治工具の消耗度合いに関する交換手順,選択肢b：顧客の満足度向上策,選択肢c：アウトソース先との競争分析,a,適合した例：組織が消耗治工具の消耗度合いに関する交換手順を運用管理システムに含めている,適合していない例：組織が運用管理システムに消耗治工具の交換手順を含めていない,箇条要求事項の概要詳細解説：組織所有または顧客所有の治工具に関して実施すべき運用管理システムには、消耗治工具の消耗度合いに関する交換手順が含まれていなければなりません。これにより、治工具の効率的な管理と品質維持が可能になります。
8.5.1.6,17,-,治工具の改修及び文書の改訂に関する要求事項はどれか？,選択肢a：治工具の改修及び文書の改訂は禁止されている,選択肢b：治工具の改修及び文書の改訂は組織の裁量による,選択肢c：治工具の改修及び文書の改訂が運用管理システムに含まれていること,c,適合した例：組織が治工具の改修及び文書の改訂を運用管理システムに含めている,適合していない例：組織が運用管理システムに治工具の改修及び文書の改訂に関する規定を含めていない,箇条要求事項の概要詳細解説：治工具の改修及び文書の改訂は、組織所有または顧客所有の治工具に関して実施すべき運用管理システムに含まれていなければなりません。これにより、治工具の適切な管理が確保され、品質が維持されます。
