4, 組織の状況*
4.1, 組織及びその状況の理解*組織の目的及び戦略的な方向性に関連し. かつ、 その品質*マネジメントシステムの意図した結果を茅する組織の部力に か*与える、 外部及び内部の課題を明確にしなければならない.*組織は、 これらの外部及び内部の課量に関する情報を監視し レビューレしなければならない.   *注記1 課題には、 検討の対象となる、 好ましい要因は状態*及び好ましくない要因又は状態が含まれ得る. *注記2 外部の状況の理解は、 国際 国内、 地方又は地域を問わ*ず、 法令、技術、競争、市場、 文化社会及び経済の環*境から生じる課題を検討するこ とによって容易になり得*注記3 内作の状況の理角は 組織の価値観、 文化、知識及び*パフォーマンスマンス関する課題を検討することによって容易*になり得る.*
4.2, 利害関係者のニーズ及び期待の理解*次の事項は 顧客要求事項及び適用される法令・ 規制要求事項を満*たした製品及びサービスを一貫して提供する組織の能力に影響又は潜*在的影響を与えるため、 組織は、 これらを明確にしなければならな*い.*a) 品質マネジメントシステムに密接に関連する利害関係者*b) 品質マネジメント システムに密接に関連するそれらの利害関係者の要求事項*組織は、これらの利害及びその関連する要求事項に関する情報を監視し、 レビューしなければならない.*
4.3, 品質てマネジメントシステムの適用範囲の決定*組織は、 品質マネジメントシステムの適用範囲を定めるために、 そ*の境界及び適用可能性を決定しなければならない.*この適用範囲を決定するとき、 組織は、 次の事項を考慮しをなければ*ならない。*a) 4.1に規定する外部及び内部の課題*b) 4.2 に規定する、 密接に関連する利害関係者の要求事項*c) 組織の製品及びサービス*決定した品質マネジメントシステムの適用範囲内でこの規格の要求*事項が適用可能ならば、組織は、これらを全て適用しなければならない。*組織の品質マネジメントシステムの適用範囲は、 文書化した情報と*して利用可能な状態にし、 維持しなければならない。適用範囲では、*対象となる製品及びサービスの種類を明確に記載し、 組織が自らの品*質マネジメントシステムの適用範囲への適用が不可能であることを決*定したこの規格の要求事項全てについて、 その正当性を示さきなければ*ならない.*適用不可能なことを決定した要求事項が、 組織の製品及びサービス*の適合並びに顧客満足の向上を確実にする組織の能力又は貴任に影響*を及ぼさない場合に限り、この規格への適合を表明してよい.*
4.8.1, 品質マネジメントシステムの適用範囲の決定一補足*支援部門 (設計センター、 本社及び配給センターのような) は、 サイト*内にあろうと遠隔地にあろうと、 品質マネジメントシステム (QMS) の*適用範時に含めなければならない.*この自動車産業 QMS 規格における唯一の許可きれる除外は、 ISO*9001の8.3における製品の設計・開発の要求事項に関連するものである.*除外は、 文書化した情報 (ISO 9001 の 7.5 参照) として正当性を示し維*持しなければならない.*許可される除外に、 製造工程設計は含めない.*
4.3.2, 顧客固有要求事項*顧客固有要求事項は、 評価し、 組織の品質マネジメントシステムの適用*範囲に含めなければならない.*
4.4, 品質マネジメントシステム及びそのプロセス*
4.4.1,*組織は、この規格の要求事項に従って必要なプロス及び*それらの相互作用を含む、品質マネジメントシステムを確立し、 実施*し、 礁持し、 かつ、 継続的に改善しなければならない。*組織は、 品質マネジメントシステムに必要なプロセス及びそれらの*組織全体にわたる適用を決定しなければならない. また、次の事項を*実施しなければぱならない.*a)これらのプロセスに必要なインプット、 及びこ れらのプロセスか*ら期待されるアウトプットを明確にする.*b)これらのプロセスの順序及び相互作用を明確にする.*c)これらのプロセスの効果的な運用及び管理を確実にするために必要*な判断基準及び方法（監視、測定及び関連するパフォーマンス指標を*含む）を決定し、適用する。*d)これらのプロセスに必要な資源を明確にし、及びそれが利用できる*ことを確実にする。*e)これらのプロセスに関する責任及び権限を割り当てる。*f)6.1の要求事項に従って、決定したとおりにリスク及び機会に取り込む。*g)これらのプロセスを評価し、これらのプロセスの意図した結果の達成を*確実するために必要な変更を実施する。*h)これらのプロセス及び品質マネジメントシステムを改善する。*
4.4.1.1, 製品及びプロセスの適合*組織は、 全ての製品及びプロセスが、 サービス部品及びアウトソースし*たものを含めて、 該当する、 全ての顧客、 法令、 規制の要求事項 (8.4.2.2*参照) に適合することを確実にしなければならない.*
4.4.1.2, 製品安全*組織は、 製品安全に関係する製品及び製造工程の運用管理に対する文書*化したプロセスをもたなければならない. それには、 該当する場合には、*必ず、 次の事項を含めなければならない. しかし、 それに限定されない.*a) 法令・規制の製品安全要求事項の組織による特定*b) a)における要求事項の顧客からの通知*c) 設計 TIMEA に対する特別承認*d) 製品安全に関係する特性の特定*e) 安全に関係する製品特性及び製造時点での特性の特定及び管理*f) コントロールプラン及び工程 FMEA の特別承認*g) 対応計画 (9.1.1.1 参照)*h) 定められた責任 トップマネジメントを含めた上申プロセス及び情報*フローの明確化、 並びに顧客への通知*i) 製品安全に関係する製品及び関連する製造工程に携わる要員に対す*る、 組織又は顧客によって特定された教育訓練*j) 製品又は工程の変更は、 工程及び製品の変更 (ISO 9001 の 8.3.6 参*照) による製品安全に関する潜在的影響の評価を含めて、 実施前に承*認しなければならない.*k) 顧客指定の供給者 (8.4.3.1 参照) を含む.。 サプライチェーン全体に*わたって製品安全に関する要求事項の連絡*) サプライチェーン全体にわたって、 (最低限) 製造ロット単位での製*品トレーサビリティ (8.5.2.1 参照)*m) 新製品導入に活かす学んだ教訓*注記 特別承認は、 安全に関係する内容をもつ文書を承認する貢任の*ある機能 (通常は顧客) による追加の承認である.*
4.4.2, 組織は、必要な程度まで、次の事項を行わなければならない。*a)プロセスの運用を支援するための文書化した情報を維持する。*b)プロセスが計画どおりに実施されたと確信するための文書化した情報を保持する。*
5,リーダーシップ*
5.1, リーダーシップ及びコミットメント*
5.1.1, 一般*トップマネジメントは、次に示す事項によって、品質マネジメントシステムに関するリーダーシップ及びコミットメントを実証しなければならない。*a)品質マネジメントシステムの有効性に説明責任(accountability)を負う。*b)品質マネジメントシステムに関する品質方針及び品質目標を確率し、それらが組織の状況及び戦略的な方向性と両立することを確実にする。*c)組織の事業プロセスへの品質マネジメントシステム要求事項の統合を確実にする。*d)プロセスアプローチ及びリスクに基づく考え方の利用を促進する。*e)品質マネジメントシステムに必要な資源が利用可能であることを確実にする。*f)有効な品質マネジメントシステム及び品質マネジメントシステム要求事項への適合の重要性を伝達する。*g)品質マネジメントシステムがその意図した結果を達成することを確実にする。*h)品質マネジメントシステムの有効性に寄与するよう人々を積極的に参加させ、指揮し、支援する。*i)改善を促進する。*j)その他の関連する管理層がその責任の領域においてリーダーシップを実証するよう、管理層の役割を支援する。*注記 この規格で【事業】という場合、それは組織が公的か私的か、営利か、非営利かを問わず、組織の存在の目的の中核となる活動という広義の意味で解釈され得る。*
5.1.1.1, 企業責任*組織は、企業責任方針を定め、実施しなければならない。それには、最低限、賄賂防止方針、従業員行動規範及び倫理上申方針（内部告発方針）を含める。*
5.1.1.2, プロセスの有効性及び効率*トップマネジメントは、プロセスの有効性及び効率を評価し改善するために、製品実現プロセス及び支援プロセスをレビューしなければならない。*プロセスレビュー活動の結果は、マネジメントレビュー(9.3.2.1参照）へのインプットとして含めなければならない*
5.1.1.3, プロセスオーナー*トップマネジメントは、組織のプロセス及び関係するアウトプットをマネジメントする責任をもつプロセスオーナーを特定しなければならない。*プロセスオーナーは、自らの役割を理解し、その役割を実行する力量がないければならない(ISO9001の7.2参照）*
