4.4, 品質マネジメントシステム及びそのプロセス *
4.4.1,取引先企業はISO9001及びIATF16949の要求事項に合致した品質マネジメント *システムを確立し、文書化し、 実行し、維持し、有効性を継続的に改善してください。 *品質マネジメントシステムに必要なプロセスは、次の通りとする。 *(1) プロセスに必要なインプット、及びこれらのプロセスから期待されるアウトプットを明確にする。 *当社としてはタートルチャート分析の実施を推奨します。 *(2) これらのプロセスの順序及び相互作用を明確にする。 *(3) これらのプロセスの効果的な運用及び管理を確実にするために必要な判断基準及び方法を決定し *適用する。 *(4) これらのプロセスに必要な資源を明確にし、それが利用できることを確実にする。 *(5) これらのプロセスに関する責任及び権限を割り当てる。 *(6) 6. 1 項の要求事項に従って決定した通りにリスク及び機会に取り組む。 *(7) これらのプロセスを評価し、 意図した結果の達成を確実にするために必要な変更を実施する。 *(8) これらのプロセス及び品質マネジメントシステムを改善する。 *
4.4.1.1, 製品及びプロセスの適合【IATF】【全体】 *取引先企業はすべての製品及びプロセスが当社、法令、規制の要求事項(8.4.2.2) に適合することを確実にしてください。 *
4.4.1.2, 製品安全【IATF】【全体】 *取引先企業は、製品安全に関係する製品及び製造工程の運用管理に対して次の事項を文書化し、実施して下さい。 *(1) 法令・規制の製品安全要求事項の特定 *(2) 当社からの製品安全要求事項の通知に従う事とする。 *(3) 設計FME Aの特別承認 *設計FMEAを特別承認する。通常、当社の受領を以って特別承認とするが、当社からの提出要求が無い場合、通常承認者の上位職の承認でも可とする。 *(4) 安全に関係する製品特性及び製造時点での特性の特定及び管理特殊特性は、図面、FMEA、QC 工程表に指定の記号を表示する。 *(5) QC 工程表及び工程FMEAの特別承認 *QC 工程表及び工程FMEAを特別承認する、通常、当社の受領を以って特別承認とするが、当社からの提出要求が無い場合、品質管理責任者の承認でも可とする。 *(6) 対応計画 9. 1. 1. 1項による。 *(7)定められた責任、トップマネジメントを含めた上申プロセス及び情報フローの明確化並びに当社への *通知 *重大な社内不良又はクレームが発生した際は、品質管理部署がトップマネジメント及び当社へ通知を行う。 *(8) 製品安全に関係する製品及び関連する製造工程に携わる要員に対する、取引先企業又は該当する場合当社によって特定された教育訓練 *(9) 製品または工程変更の実施前の承認*8. 3. 6及び8. 5. 6による。 *(10) 顧客指定の供給者を含む、サプライチェーン全体に対しての製品安全要求事項の連絡 *8. 4. 3. 1による *(11) サプライチェーン全体に渡る、製造ロット単位での製品トレーサビリティ *8. 5. 2. 1による *(12) 新製品導入に対する学んだ教訓 *過去トラ(工程内不良、クレームやリコール等)から学んだ教訓を参考とし、DRのインプットとする。 *
4.4.2, 文書化に関する要求事項 *(1) プロセスの運用を支援するための文書化した情報の維持。手順書、作業指示書などがこれにあたる。 *(2) プロセスが計画通りに実施されたことを示す記録の維持。 *
5., リーダーシップ *
5.1, リーダーシップ及びコミットメント *
5.1.1, 一般 *経営者は、次に示す事項によって、品質てマネジメントシステムに関するリーダーシップ及びコミットメント *実証してください。 *(1) 品質マネジメントシステムの有効性に説明責任を負う。 *(2) 品質てネジメントシステムに関する品質方針及び品質目標を確立し、それが自社の状況及び戦略的な *方向性と両立することを確実にする。 *(3) 自社の事業プロセスへの品質マネジメントシステム要求事項の統合を確実にする。 *(4) プロセスアプローチ及びリスクに基づく考え方の利用を促進する。 *(5) 品質マネジメントシステムに必要な資源が利用可能であることを確実にする。 *(6) 有効な品質マネジメント及び品質てマネジメントシステム要求事項への適合の重要性を伝達する。 *(7) 品質マネジメントシステムがその意図した結果を達成することを確実にする。 *(8) 品質マネジメントシステムの有効性に寄与するよう人々を積極的に参加させ、指揮し、支援する。 *(9) 改善を促進する。 *(10) その他の関連する管理層がその責任の領域においてリーダーシップを実証するよう、管理層の役割を支援 *する。              *
5.1.1.1, 企業責任【IATF】【全体】 *取引先企業は、企業責任方針を定め実行してください。 *それには最低限、贈軒防止方針、従業員行動規範及び倫理的上申方針 (内部告発方針) が含まれます。 *企業行動憲章を設定し、従業員へ周知徹底及びサプライチェーンにもその精神に基づく行動を取って *ください。 *
5.1.1.2, プロセスの効率性及び評価 【IATF】【全体】 *取引先企業は、適切な頻度で、製品実現プロセス及び支援プロセスの活動結果をレビューしてください。 *プロセスレビューの結果はマネジメントレビューのインプットに含めてください。 *
5.1.1.3, プロセスオーナー【IATF】【限定】 * 経営者は、自社のプロセスをマネジメントする責任をもつプロセスオーナーを特定してください。 *プロセスオーナーは自らの役割を理解し、その役割を遂行してください。プロセスオーナーは *力量を上兼ね備えている部長クラスが望ましい。 *
