no,supplier_name,manufacturer_name,iso_existence,target,qms,second_party_audit,supplier_development,automotive_related,departments,transaction_details,address1,address2,postal_code,tel,fax,filename,document_name,issue_date,feedback_date
85,（株）ミヤタ,三菱アルミニウム,ISO9001取得有り,〇,〇,△,？,〇,加工課,材料,大田区中央３丁目２１－１１,,143-0024,033-773-7711,033-773-7710,,,,
85,（株）ミヤタ,同和メタニクス,ISO9001取得有り,〇,〇,△,？,,加工課,材料,,,,,,,,,
85,（株）ミヤタ,片木アルミ,ISO9001取得無し,〇,〇,〇,？,,加工課,材料,,,,,,"取引先評価表_片木アルミニューム製作所.pdf,購買先品質監査チェックシート兼対策書_片木アルミニューム製作所 .xls","取引先評価表_片木アルミニューム製作所,購買先品質監査チェックシート兼対策書_片木アルミニューム製作所",,
589,㈱東電化,製品めっき(材料先メッキ）,ISO9001取得有り,〇,〇,△,？,〇,加工課,フープメッキ,,,,,,,,,
1055,阪和興業（株）,ＣＳＡＣ(台湾メーカー),ISO9001取得有り,〇,〇,△,？,〇,加工課,材料,-,-,-,03-3544-2329,03-3544-2148,,,,
79,（株）ミスミ,金型パーツ,ISO9001取得無し,〇,×,×,？,〇,工場全般,消耗品・自動機部品・金型部品,横浜市神奈川区鶴屋町3-31-5,久保田ビル4F,221-0831,045-324-1141,045-324-0252,,,,
95,新日本精機㈱,システム管理,ISO9001取得無し,〇,×,△,？,〇,加工課,内職,平塚市大島1294-1,,254-0001,0463-51-1010,0463-54-5827,供給先評価表様式　新日本化成.xls,供給先評価表,,
969,東栄電化工業㈱,アルマイト外注,ISO9001取得有り,〇,〇,△,？,〇,加工課,アルマイト,相模原市中央区小町通2-5-9,,,042-771-1528,042-773-4032,,,,
259,日本パ－カライジング㈱,表面処理用薬品,ISO9001取得有り,〇,×,×,？,〇,加工課,薬品,平塚市堤町３－９,,254-0027,0463-22-5751,0463-23-6910,,,,
928,新日本化成㈱,表面処理用薬品,ISO9001取得有り,〇,×,×,？,〇,加工課,薬品,厚木市中依知348-1,,243-0805,046-210-3999,046-245-4125,,,,
377,東海鋼鉄㈱,金型のプレートの購入,ISO9001取得無し,〇,×,×,？,〇,技術部,プレート,綾瀬市吉岡278,,,0467-78-0721,0467-76-2747,供給先評価表様式　東海鋼鉄.xlsx,供給先評価表,,
363,藤沢紙工㈱,製品保護のためのジャバラ紙,ISO9001取得無し,×,×,×,？,〇,加工課,パーチメント紙 ・コーナーアングル,茅ヶ崎市中島1158-6,,253-0073,0467-58-2600,0467-58-2607,221221 藤沢紙工㈱供給先評価表様式.xls,供給先評価表,,
260,パンチ工業　㈱,金型のパンチ等購入,ISO9001取得有り,〇,×,×,？,〇,技術部,金型パーツ,本）品川区南大井6-22-7大森ベルポートＥ-5Ｆ,,,（045）904-8007,045-904-8011,,,,
473,㈱橋本工商,工作機械・工具など,ISO9001取得無し,〇,×,×,？,〇,技術部,消耗品工具,相模原市中央区高根1-14-7,,252-0221,042-759-4001,042-759-4003,,,,
1056,東京プロト㈱,梱包製品トレイ,ISO9001取得有り,〇,×,×,？,〇,加工課,トレイ,横浜市港北区樽町3-1-1,,222-0001,045-543-0141,045-562-9882,,,,
62,日興運送（株）,運送,ISO9001取得無し,〇,×,△,？,〇,加工課,輸送,茨城県土浦市荒川沖東2-10-34,,300-1171,0298-41-2138,0298-41-1966,,,,
683,日本アレックス㈱,超音波振動子ユニット,ISO9001取得無し,〇,×,×,？,〇,加工課,超音波,,,,,,,,,
983,タイヨー㈱,製品梱包段ボール,ISO9001取得有り,〇,×,△,？,〇,加工課,段ボール,神奈川県厚木市温水1961,,243-0033,046-248-8511,046-247-3357,,,,
447,㈱キーエンス,測定器,ISO9001取得無し,〇,×,×,？,〇,生産技術,自動機部品,海老名市中央2-9-50,海老名プライムタワー13Ｆ,243-0432,046-236-0755,046-236-0766,,,,
130,ミドリ安全厚木㈱,作業着、帽子、安全靴の商社,ISO9001取得無し,×,×,×,×,〇,工場全般,作業,厚木市水引2-11-2,,243-0004,046-223-1771,046-223-6377,,,,
83,リヒト精光（株）,金型パーツの焼き入れ業者,ISO9001取得有り,〇,×,×,？,〇,技術部,熱処理,厚木市下依知1-12-23,,243-0806,046-245-1611,046-245-1610,,,,
141,新共立化工㈱,表面処理ライン保守などのパーツ,ISO9001取得無し,〇,×,×,？,〇,加工課,塩ビ板　,埼玉県川口市上青木,2丁目22番6号,333,048-269-2726,048-267-7382,,,,
